option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
NKE230616P00140000,NKE230616C00140000,114.73514581952315,0.48,19.825,140.0,120.505,70,0.23092085770026136,0.3120326262536806
NKE230519P00145000,NKE230519C00145000,110.77119602165197,0.055,24.85,145.0,120.505,42,0.24181496332298597,0.4293126647667299
NKE230519P00140000,NKE230519C00140000,103.98598236573413,0.145,19.9,140.0,120.505,42,0.23557419753500722,0.37263882367809653
NKE230616P00135000,NKE230616C00135000,92.6017477545413,1.03,15.2,135.0,120.505,70,0.23423047914726425,0.2812934656817572
NKE230519P00135000,NKE230519C00135000,73.70076870981386,0.395,14.875,135.0,120.505,42,0.23321389038899104,0.30272648370414745
NKE230616P00130000,NKE230616C00130000,71.96834968955929,2.065,11.075,130.0,120.505,70,0.2408327840077866,0.266711205536609
NKE230616P00125000,NKE230616C00125000,63.83495162457598,3.8,7.775,125.0,120.505,70,0.25191454983787753,0.2705786539867866
NKE230428P00133000,NKE230428C00133000,58.595072616670585,0.1149999999999999,12.825,133.0,120.505,21,0.22917005905081914,0.3421530612311833
NKE230421P00135000,NKE230421C00135000,53.11361197142279,0.025,14.8,135.0,120.505,14,0.2503141920379596,0.438775978351712
NKE230519P00130000,NKE230519C00130000,51.415555053896256,1.04,10.325,130.0,120.505,42,0.2365762222665764,0.2668483318813801
