symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
NSC230421C00190000,2023-04-07,10:00:00,2023-04-21,15.7,14.7,16.7,190.0,14,c,5,0.4114344291243658,0.8505824456445765,0.015452579802399669,-0.13146195936287874,5,1.1613067441196954,-0.07552631578947366,0.37176840481937706,9.443330763443425e-07,15.125575959854618,0.0032264154119673654,2.271933178753658e-10
NSC230421C00195000,2023-04-07,10:00:00,2023-04-21,10.75,9.8,11.7,195.0,14,c,1,0.3146511796725983,0.8094609664762942,0.023613710204983818,-0.11946707933795508,1,1.211306744119696,-0.04794871794871791,0.2846973242074791,5.929475279790554e-05,10.951983394775956,0.0009860830943873784,2.8530974839736685e-09
NSC230421C00200000,2023-04-07,10:00:00,2023-04-21,6.95,5.9,8.0,200.0,14,c,58,0.302437403180253,0.6715341702483446,0.03298244018345997,-0.1492441496951189,13,2.4113067441196963,-0.021749999999999936,0.2714922446580037,0.04958733904371127,7.410333369154049,0.07988404748195545,0.00013838822701894184
NSC230421C00202500,2023-04-07,10:00:00,2023-04-21,6.0,5.1,6.9,202.5,14,c,67,0.3395880178853538,0.5769394766448332,0.031541792155920234,-0.1807157849648071,5,3.961306744119696,-0.009135802469135701,0.3076329633783434,0.1454687805335616,5.92612374368163,0.08824913402806214,0.0004689698780119164
NSC230421C00205000,2023-04-07,10:00:00,2023-04-21,4.6,3.6,5.6,205.0,14,c,22,0.3343398671566372,0.49616290727891865,0.032942903711585814,-0.17894524876373907,1,5.061306744119696,0.003170731707317076,0.30021848409548435,-0.026693272149632033,4.6455937416500515,0.030264523586375634,-2.8256921368938622e-05
NSC230421C00207500,2023-04-07,10:00:00,2023-04-21,3.475,2.55,4.4,207.5,14,c,82,0.3291990923581868,0.41416213023186543,0.032500553768244345,-0.17216592928629293,27,6.436306744119696,0.015180722891566245,0.29730802089324454,-0.16747581444489265,3.5675452432388766,0.11128942469324629,-0.0006607943162983465
NSC230421C00210000,2023-04-07,10:00:00,2023-04-21,2.2,1.55,2.85,210.0,14,c,273,0.2989690153906773,0.3197042682388185,0.03279958808999339,-0.14284263753872706,111,7.661306744119696,0.026904761904761987,0.2703023215807891,-0.04235626859398594,2.682595361183503,0.3739213997833743,-0.000556391758789105
NSC230421C00212500,2023-04-07,10:00:00,2023-04-21,1.45,0.95,1.95,212.5,14,c,175,0.2952615712690072,0.23858083913586015,0.029218418267085156,-0.11947060117479524,1,9.411306744119695,0.03835294117647059,0.2630554637713619,-0.001667347111366828,1.9745826533274051,0.21352269119786388,-1.403991304759958e-05
NSC230421C00215000,2023-04-07,10:00:00,2023-04-21,1.0,0.25,1.75,215.0,14,c,84,0.2945896674244555,0.1770945285231751,0.024250116187340964,-0.1001546853887898,60,11.461306744119696,0.04953488372093029,0.2656813546342463,-2.2964035935757604e-05,1.4225915222363006,0.085063332688586,-9.281706938510822e-08
NSC230421C00217500,2023-04-07,10:00:00,2023-04-21,0.725,0.05,1.4,217.5,14,c,47,0.3068469006388762,0.13337346267739414,0.01949326631112136,-0.08480681647346255,1,13.686306744119696,0.060459770114942524,0.27401943118891553,-2.1496458416200547e-07,1.0032008093192895,0.03825883646642495,-4.861442135765714e-10
NSC230421C00230000,2023-04-07,10:00:00,2023-04-21,0.15,0.05,0.25,230.0,14,c,169,0.3537116268084486,0.031121615120048574,0.00554352973497485,-0.030125091871819554,1,25.611306744119695,0.11152173913043484,0.3139321778605,-9.400891071957202e-20,0.1282425937654292,0.039122119029894986,-7.644623006949404e-22
NSC230421P00177500,2023-04-07,10:00:00,2023-04-21,0.425,0.05,0.8,177.5,14,p,38,0.5115431447073409,-0.05284177977799842,0.005847362155031455,-0.06737241637027813,5,27.463693255880305,-0.1512676056338027,0.4572689125436028,3.439574447609333e-15,0.03427198843853897,-0.009278822636332878,-6.2891022914411405e-18
NSC230421P00180000,2023-04-07,10:00:00,2023-04-21,0.35,0.05,0.65,180.0,14,p,153,0.4506246361052224,-0.0499495808809286,0.00633236332758802,-0.056715077012937876,1,24.888693255880305,-0.13527777777777783,0.40376017057527097,1.2547268381472027e-15,0.06726698800954964,-0.0404581984241043,-9.237213174166839e-18
NSC230421P00182500,2023-04-07,10:00:00,2023-04-21,0.35,0.05,0.65,182.5,14,p,21,0.412399261746091,-0.05415188683602079,0.007399160575904951,-0.0552319007644374,20,22.388693255880305,-0.11972602739726024,0.36844771003839744,6.992749355677086e-15,0.12548417614849328,-0.006488600434139674,-7.065901916743562e-18
NSC230421P00185000,2023-04-07,10:00:00,2023-04-21,0.6499999999999999,0.15,1.15,185.0,14,p,741,0.4296991131859911,-0.08764223648322633,0.01021576461535112,-0.08501045218357806,1,20.188693255880303,-0.10459459459459453,0.3866468712596856,7.758477234892521e-11,0.22296838737286193,-0.3161100982323611,-2.7662730524830627e-12
NSC230421P00187500,2023-04-07,10:00:00,2023-04-21,1.125,0.15,2.1,187.5,14,p,2,0.4583022452456133,-0.13130051482354022,0.01293184554329585,-0.12131820807109128,1,18.163693255880304,-0.08986666666666654,0.4086181718198246,1.0757263886762068e-07,0.3782227153444985,-0.0010800398716489235,-1.0352188374700763e-11
NSC230421P00190000,2023-04-07,10:00:00,2023-04-21,0.775,0.3,1.25,190.0,14,p,237,0.3636668091093055,-0.11777566586574917,0.015111298614645108,-0.08865561283742351,1,15.313693255880304,-0.07552631578947366,0.3240936706622676,2.0419377216542478e-08,0.6139285633076014,-0.1495544768104274,-2.328580123839156e-10
NSC230421P00192500,2023-04-07,10:00:00,2023-04-21,1.2999999999999998,0.95,1.65,192.5,14,p,9,0.3745555099143891,-0.17250430217979895,0.01875236754544929,-0.12047154045126063,1,13.338693255880305,-0.06155844155844159,0.33789500179492665,1.1692445534164231e-05,0.9558663637977429,-0.007047707967197388,-5.063469670554278e-09
NSC230421P00195000,2023-04-07,10:00:00,2023-04-21,1.825,1.25,2.4,195.0,14,p,330,0.376952139454771,-0.22544054351812948,0.022144330158457848,-0.14138441090934117,108,11.363693255880303,-0.04794871794871791,0.33631695480308593,0.0005956487239413244,1.4310346604617417,-0.30515871107747977,-9.458113112680331e-06
NSC230421P00197500,2023-04-07,10:00:00,2023-04-21,2.2,1.6,2.8,197.5,14,p,21,0.3462800943342695,-0.27454315050525757,0.026427255601646493,-0.1459922801609106,1,9.238693255880303,-0.03468354430379739,0.3129085525224719,0.007480938673258483,2.0651735744211535,-0.02317504808969378,-7.5591982812173796e-06
NSC230421P00200000,2023-04-07,10:00:00,2023-04-21,2.55,2.15,2.95,200.0,14,p,680,0.3140302644493777,-0.3320392400688599,0.032107426268801476,-0.1419592184006122,4,7.088693255880304,-0.021749999999999936,0.2804243229016802,0.05364871404151903,2.8800832970726438,-0.9117246371586745,-0.0017553696170880648
NSC230421P00202500,2023-04-07,10:00:00,2023-04-21,3.625,2.55,4.7,202.5,14,p,57,0.3161985757822383,-0.4180821271185797,0.033853918544046735,-0.1552526930056466,1,5.663693255880304,-0.009135802469135701,0.28602842324600497,0.1573669490719529,3.8912230027166275,-0.08058108016572313,-0.00043160724753031854
NSC230421P00205000,2023-04-07,10:00:00,2023-04-21,4.65,4.0,5.3,205.0,14,p,102,0.3058254692402665,-0.5053138330246565,0.03600561469419006,-0.15089336968139566,17,4.188693255880304,0.003170731707317076,0.27466217480528204,-0.0364572109012749,5.1060423318014525,-0.15336267870511347,0.0001789303289460293
NSC230421P00207500,2023-04-07,10:00:00,2023-04-21,6.05,5.3,6.8,207.5,14,p,36,0.3027968998851862,-0.5943171560641503,0.03520229892473026,-0.1438632568848135,2,3.0886932558803037,0.015180722891566245,0.27297644019225553,-0.17444555936536535,6.523343164506682,-0.05292036261430719,0.00030217794777952445
NSC230421P00210000,2023-04-07,10:00:00,2023-04-21,7.0,5.7,8.3,210.0,14,p,191,0.2471663291415041,-0.7165589028535813,0.03744605033162429,-0.09811843378896068,2,1.538693255880304,0.026904761904761987,0.22392608842513778,-0.014876642834067037,8.133742613567712,-0.29866798232231506,0.00013672207835054855
NSC230421P00212500,2023-04-07,10:00:00,2023-04-21,8.85,7.6,10.1,212.5,14,p,16,0.2375029503172485,-0.8076946795879891,0.03120137925805011,-0.07207813472067137,16,0.8886932558803036,0.03835294117647059,0.21669334074555613,-9.153161397890767e-05,9.92107923682802,-0.020846975653280354,7.046791973309181e-08
NSC230421P00220000,2023-04-07,10:00:00,2023-04-21,16.15,15.2,17.1,220.0,14,p,122,0.335699975951137,-0.8784653406511467,0.016195985779177136,-0.07293961224582546,1,0.6886932558803025,0.07113636363636366,0.3074809837476826,-3.3360962534474446e-08,16.125137025313485,-0.08251188362557874,1.9583880530751005e-10
NSC230421P00230000,2023-04-07,10:00:00,2023-04-21,26.0,24.3,27.7,230.0,14,p,9,0.4523202463372563,-0.9187566464170516,0.008972687695063541,-0.06975477411944553,1,0.5386932558803039,0.11152173913043484,0.4122406672472148,-1.424159873541811e-11,25.54218449508086,-0.0033722079306737584,6.1673927020903825e-15
NSC230421P00240000,2023-04-07,10:00:00,2023-04-21,35.9,34.3,37.5,240.0,14,p,5,0.5420064683848183,-0.9392394539784021,0.00583924013142223,-0.06542835252510315,1,0.4386932558803025,0.14854166666666668,0.5049546872280473,-3.7937150843371676e-14,35.41296223147401,-0.0012192018805347535,9.127147387667036e-18
NSC230428C00200000,2023-04-07,10:00:00,2023-04-28,9.1,8.2,10.0,200.0,21,c,9,0.3591334029976736,0.6256598094306121,0.02279732880694496,-0.15611210286029298,4,4.466894787698044,-0.021749999999999936,0.33609924693218163,0.1471481330327627,8.485527916786507,0.008567926981706088,6.37232054246501e-05
NSC230428C00205000,2023-04-07,10:00:00,2023-04-28,5.6,4.2,7.0,205.0,21,c,6,0.3160303244936778,0.5033752715287498,0.027470200656409816,-0.14325403588320107,3,5.966894787698044,0.003170731707317076,0.29381954227764795,-0.009347352218810855,5.7840399785777565,0.006882755881622799,-2.698610501492499e-06
NSC230428C00210000,2023-04-07,10:00:00,2023-04-28,3.4499999999999997,1.8,5.1,210.0,21,c,8,0.3108256764309963,0.3673176047213289,0.02648624021439616,-0.13124793832778892,4,8.816894787698043,0.026904761904761987,0.287870428636119,-0.18464009545802818,3.7390706993706653,0.008848294819434822,-7.107491532513022e-05
NSC230428C00215000,2023-04-07,10:00:00,2023-04-28,2.1,0.8,3.4,215.0,21,c,4,0.3155093373258209,0.252296895313453,0.02216278055300336,-0.1115571816963159,1,12.466894787698044,0.04953488372093029,0.2917266202243656,-0.020791629977532568,2.289331571391561,0.0037019753419894976,-4.00174007833658e-06
NSC230428C00220000,2023-04-07,10:00:00,2023-04-28,1.35,0.2,2.5,220.0,21,c,7,0.3277040777067588,0.17242863522584084,0.016914027471948145,-0.09251045200220309,4,16.716894787698045,0.07113636363636366,0.3057382899604843,-0.000606747737511374,1.3273724516164358,0.004944180936547675,-2.043650159804857e-07
NSC230428P00170000,2023-04-07,10:00:00,2023-04-28,0.525,0.15,0.9,170.0,21,p,3,0.5223206378552597,-0.05018430170888877,0.004322562485725712,-0.05635743409508942,3,35.158105212301955,-0.20205882352941162,0.48471256681182157,1.206408970558482e-10,0.025000689445427483,-0.000541516655528482,-1.7414706543806942e-14
NSC230428P00175000,2023-04-07,10:00:00,2023-04-28,1.05,0.15,1.95,175.0,21,p,4,0.5359578411616532,-0.08764184221962124,0.006443501641140159,-0.09032257450229852,1,30.683105212301957,-0.1677142857142857,0.5004544769271689,1.5567999409007066e-07,0.08101664547793219,-0.0010762947426439786,-2.9963541695318815e-11
NSC230428P00180000,2023-04-07,10:00:00,2023-04-28,0.85,0.15,1.55,180.0,21,p,28,0.4362811736279923,-0.08793249546059645,0.00793547962230079,-0.07347575165559228,1,25.483105212301957,-0.13527777777777783,0.4073668486349957,2.0006661496727207e-07,0.22536070346303907,-0.009278558199343662,-2.695460695586478e-10
NSC230428P00185000,2023-04-07,10:00:00,2023-04-28,1.6,0.95,2.25,185.0,21,p,10,0.4448644686067308,-0.1452005582814775,0.01113220004844706,-0.10759787726892012,4,21.233105212301957,-0.10459459459459453,0.4150277638679467,6.952181468597049e-05,0.5457152025495051,-0.00464868679077597,-3.345195067055452e-08
NSC230428P00190000,2023-04-07,10:00:00,2023-04-28,1.875,0.8,2.95,190.0,21,p,6,0.3862295317264491,-0.18497746915281388,0.014991538186404085,-0.10920566977632928,1,16.508105212301956,-0.07552631578947366,0.3605393560872405,0.0009986658094279508,1.1663602440632823,-0.0037561828876910325,-2.8831801538196726e-07
NSC230428P00195000,2023-04-07,10:00:00,2023-04-28,2.4,1.4,3.4,195.0,21,p,53,0.3356024042405522,-0.2498098837911078,0.020491565844160675,-0.1127364519737939,1,12.033105212301956,-0.04794871794871791,0.3138709999786801,0.016954291883859544,2.230182873351237,-0.04535240262946749,-4.323703190241625e-05
NSC230428P00200000,2023-04-07,10:00:00,2023-04-28,4.2,2.5,5.9,200.0,21,p,23,0.3435559365562675,-0.36863589423528076,0.02377468692138507,-0.136342575060433,12,8.833105212301955,-0.021749999999999936,0.32107997233248836,0.15031333034998404,3.865344913077855,-0.0228345220980733,-0.00016635110159057763
NSC230428P00205000,2023-04-07,10:00:00,2023-04-28,6.2,4.5,7.9,205.0,21,p,30,0.3284279759894839,-0.4942526202287745,0.02639948226246247,-0.13547964130563894,12,5.833105212301956,0.003170731707317076,0.3057278912508701,-0.006732171666335307,6.149911458847802,-0.03307241801514885,9.7179975309275e-06
NSC230428P00210000,2023-04-07,10:00:00,2023-04-28,8.75,7.3,10.2,210.0,21,p,9,0.3060824467934241,-0.6327760818912509,0.02670993726638926,-0.11585500642560831,3,3.383105212301956,0.026904761904761987,0.2850727746699636,-0.18413716155459223,9.090996663619402,-0.0100384038025831,7.974148179945113e-05
NSC230428P00215000,2023-04-07,10:00:00,2023-04-28,11.95,10.0,13.9,215.0,21,p,6,0.2751678066700605,-0.7741493628675933,0.02334255286839948,-0.07860195403947579,11,1.5831052123019553,0.04953488372093029,0.25979934542998856,-0.008793132390935505,12.627312019618989,-0.005848559137101879,2.538605463420867e-06
NSC230428P00225000,2023-04-07,10:00:00,2023-04-28,20.75,19.2,22.3,225.0,21,p,0,0.266303003316665,-0.9226694146535763,0.01078984109170733,-0.02873775085881647,1,0.38310521230195604,0.09177777777777785,0.2682135775194307,-4.965325247061967e-08,21.03947699770322,-0.0,0.0
NSC230428P00230000,2023-04-07,10:00:00,2023-04-28,25.9,23.9,27.9,230.0,21,p,0,0.3464440608400586,-0.9165249860171087,0.009080917493520246,-0.04295918895383011,1,0.5331052123019546,0.11152173913043484,0.3380351308734906,-1.0538979556916043e-07,25.676578138484462,-0.0,0.0
NSC230505C00210000,2023-04-07,10:00:00,2023-05-05,3.95,2.2,5.7,210.0,28,c,1,0.2881484316009208,0.381882851760329,0.024658345258998793,-0.10894476288562904,1,9.222439252150235,0.026904761904761987,0.2709937967038882,-0.2647880993370393,4.657249167694626,0.0010297059286487728,-1.2740861954168765e-05
NSC230505C00215000,2023-04-07,10:00:00,2023-05-05,2.4499999999999997,0.8,4.1,215.0,28,c,36,0.2855418956271186,0.2698665308449977,0.02143621502082027,-0.09329332018834302,10,12.722439252150235,0.04953488372093029,0.2703317105224056,-0.08410040430446225,3.0900076746669485,0.032225516702919704,-0.0001456803353011935
