symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
NUE230421C00125000,2023-04-07,10:00:00,2023-04-21,24.025,23.35,24.7,125.0,14,c,338,0.6393552588170152,0.9844192718997391,0.003089953750645691,-0.02595905128293552,4,0.022720159537747975,-0.19044000000000016,0.4186704534878663,1.119855597492236e-26,24.071576089717542,0.023126170743380702,2.699164388088099e-28
NUE230421C00130000,2023-04-07,10:00:00,2023-04-21,19.35,18.65,20.05,130.0,14,c,425,0.5978828133364814,0.9369880126877561,0.009011745625286949,-0.06831134486501966,1,0.3477201595377508,-0.14465384615384624,0.4648601876586022,9.411382457989942e-14,19.272969670580213,0.08480723477314346,2.8522852925320795e-15
NUE230421C00132000,2023-04-07,10:00:00,2023-04-21,17.475,17.0,17.95,132.0,14,c,11,0.5760863750797439,0.9188725489279292,0.011243488238221744,-0.07947278010681913,5,0.4727201595377508,-0.12731060606060618,0.453040836342392,1.3438772897656266e-11,17.41133231308635,0.0027386012588976596,1.0541512059826582e-14
NUE230421C00133000,2023-04-07,10:00:00,2023-04-21,16.450000000000003,16.05,16.85,133.0,14,c,4,0.5451119861508301,0.9181686130006028,0.012051800624135467,-0.07583230999117774,3,0.44772015953775224,-0.11883458646616551,0.42543903715888587,1.689775373591789e-11,16.49788158001913,0.0010674486151675269,4.819917201117882e-15
NUE230421C00134000,2023-04-07,10:00:00,2023-04-21,15.775,15.25,16.3,134.0,14,c,2,0.573506570699915,0.8842751731872767,0.014187166392787276,-0.10345906360698542,1,0.7727201595377498,-0.11048507462686574,0.4667040688777551,9.454065014793769e-09,15.597989742054859,0.0006282908086283751,1.3483392910512197e-12
NUE230421C00135000,2023-04-07,10:00:00,2023-04-21,14.8,14.3,15.3,135.0,14,c,171,0.5478481806156591,0.8771920113363585,0.015447059755757664,-0.10354997450804859,5,0.7977201595377501,-0.10225925925925927,0.4470947996695987,2.8314230904399744e-08,14.713259495872933,0.058489375635204344,3.452641527184124e-10
NUE230421C00137000,2023-04-07,10:00:00,2023-04-21,13.0,12.7,13.3,137.0,14,c,1,0.5198818795674095,0.8491023562031685,0.01853878384139307,-0.11378805326253882,1,0.9977201595377494,-0.08616788321167879,0.4291978563740476,9.988601253764256e-07,12.996067617684554,0.0004105029562709998,7.122874399540828e-11
NUE230421C00138000,2023-04-07,10:00:00,2023-04-21,12.25,11.7,12.8,138.0,14,c,3,0.5286974922261602,0.8237034429615875,0.020107114337974963,-0.12737241820054024,3,1.2477201595377494,-0.07829710144927549,0.43799400825264884,1.1954670227713397e-05,12.16712609660303,0.0013356911567286754,2.5574636234831037e-09
NUE230421C00139000,2023-04-07,10:00:00,2023-04-21,11.45,11.1,11.8,139.0,14,c,7,0.5258036226163995,0.8020071375413274,0.021685930260417763,-0.13582807224373994,7,1.4477201595377487,-0.07053956834532382,0.4364614940449058,6.980017382984366e-05,11.360337943796022,0.003361329950381201,3.48421666895663e-08
NUE230421C00140000,2023-04-07,10:00:00,2023-04-21,10.65,10.35,10.95,140.0,14,c,1600,0.5136917271670761,0.7800220139982272,0.023302898810584338,-0.14272384192268817,7,1.6477201595377498,-0.06289285714285708,0.4322700056154436,0.0003173691376297477,10.577475988321593,0.8255910578186035,3.621056359258098e-05
NUE230421C00142000,2023-04-07,10:00:00,2023-04-21,9.05,8.65,9.45,142.0,14,c,7,0.489776024312503,0.7341244082891052,0.0267814528953636,-0.1520059125159321,1,2.04772015953775,-0.04792253521126755,0.4169378440435435,0.0037519145385479513,9.090336622373849,0.004151138487068749,1.8728439283800527e-06
NUE230421C00143000,2023-04-07,10:00:00,2023-04-21,8.399999999999999,8.1,8.7,143.0,14,c,15,0.4949024744398011,0.7039217233852924,0.02794689709872955,-0.1610445082590264,1,2.397720159537748,-0.040594405594405636,0.4209583150564885,0.01212734384961629,8.389216876418706,0.009282391964688748,1.2972018530868994e-05
NUE230421C00144000,2023-04-07,10:00:00,2023-04-21,7.75,7.45,8.05,144.0,14,c,116,0.4971794779229418,0.6740606225577928,0.02908607001472774,-0.16774229102683158,109,2.7477201595377494,-0.033368055555555554,0.42176076308217814,0.02973462541400666,7.718270385463503,0.07470988756448234,0.0002459637302984693
NUE230421C00145000,2023-04-07,10:00:00,2023-04-21,7.0,6.75,7.25,145.0,14,c,577,0.4784165737050791,0.6465000717177816,0.030831845396761537,-0.16827534399223332,18,2.9977201595377494,-0.02624137931034487,0.4104998675423499,0.0564713930410574,7.078679884775714,0.39392213142858734,0.0023235655250158447
NUE230421C00146000,2023-04-07,10:00:00,2023-04-21,6.5,6.25,6.75,146.0,14,c,111,0.4841847809215911,0.6128086012761713,0.03109283317925815,-0.17638580221686428,2,3.4977201595377494,-0.01921232876712331,0.41931149208201773,0.08909912346214076,6.471416064816422,0.07642198675716261,0.000705256374582812
NUE230421C00147000,2023-04-07,10:00:00,2023-04-21,5.9,5.65,6.15,147.0,14,c,51,0.4801973810302528,0.581247843408006,0.03196568990837534,-0.17825306915602468,2,3.8977201595377498,-0.012278911564625794,0.416157484399478,0.1053901094207547,5.8972144190507105,0.036098512516441826,0.00038328395695868953
NUE230421C00148000,2023-04-07,10:00:00,2023-04-21,5.275,5.05,5.5,148.0,14,c,27,0.4738283953185658,0.5490871266035757,0.03303673261179085,-0.17691846404577216,14,4.27272015953775,-0.005439189189189175,0.4081362087671089,0.08673969122523713,5.356557922512517,0.01975130979490949,0.0001670060660107544
