symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
NVDA230421C00215000,2023-04-07,10:00:00,2023-04-21,53.825,53.25,54.4,215.0,14,c,2720,0.613853749029389,0.9568270443512716,0.002548420425796394,-0.1387374636927845,3,0.5671307904753604,-0.24541860465116283,0.6809376191944915,3.69536360388897e-17,53.29050790352783,0.4969899417848709,9.45094232837223e-18
NVDA230421C00220000,2023-04-07,10:00:00,2023-04-21,48.925,48.25,49.6,220.0,14,c,11211,0.6021084392771601,0.9490189543601701,0.0031007024148266282,-0.14788935701126604,6,0.6671307904753547,-0.21711363636363634,0.6395097161423631,1.1587191087372258e-15,48.393234617969014,2.492367377456451,1.2214383555450036e-15
NVDA230421C00225000,2023-04-07,10:00:00,2023-04-21,44.05,43.45,44.65,225.0,14,c,4103,0.5738166869523578,0.9390171416804094,0.003810619801924986,-0.15847817775141237,1,0.7921307904753547,-0.1900666666666666,0.5994102637032611,4.436886906001867e-14,43.55165624774002,1.1209977863854959,1.7117049547462367e-14
NVDA230421C00230000,2023-04-07,10:00:00,2023-04-21,39.15,38.9,39.4,230.0,14,c,8172,0.5342736824025653,0.9287430983842881,0.004664268473675293,-0.16459148742558227,2,0.8921307904753562,-0.16419565217391296,0.5525253060090415,1.017135297149816e-12,38.791988590888515,2.732873417855344,7.815488269107236e-13
NVDA230421C00232500,2023-04-07,10:00:00,2023-04-21,36.875,36.2,37.55,232.5,14,c,114,0.554664381738298,0.9150147556226784,0.005352921732537652,-0.1841916939737871,2,1.1171307904753576,-0.1516774193548387,0.5503379461763092,2.974782891998562e-11,36.45326899114007,0.043752549300706045,3.188666935557398e-13
NVDA230421C00235000,2023-04-07,10:00:00,2023-04-21,34.45,34.05,34.85,235.0,14,c,3428,0.5293104687205341,0.9074334844605403,0.005955652255806854,-0.1878680436348077,2,1.1921307904753604,-0.1394255319148936,0.5271526402016721,1.5413022563369284e-10,34.14855228778442,1.4637865865487951,4.9679550688528813e-11
NVDA230421C00237500,2023-04-07,10:00:00,2023-04-21,31.875,31.3,32.45,237.5,14,c,114,0.4847116339376383,0.906059971741513,0.006522203648273717,-0.1774630342937087,2,1.1171307904753576,-0.12743157894736834,0.4866303185980798,2.1977229256332841e-10,31.883410991683526,0.053309771920587924,2.3557371011284914e-12
NVDA230421C00240000,2023-04-07,10:00:00,2023-04-21,29.8,29.5,30.1,240.0,14,c,5328,0.5053384904100313,0.8815207874832254,0.007539290223235184,-0.20950133493694878,4,1.5421307904753583,-0.11568749999999994,0.49790756367615896,1.440924795066098e-08,29.663861686570947,2.880065043232391,7.218626354129711e-09
NVDA230421C00242500,2023-04-07,10:00:00,2023-04-21,27.425,26.85,28.0,242.5,14,c,267,0.4871714500050204,0.8693196831210059,0.00845346797007096,-0.21401117420102267,51,1.6671307904753583,-0.10418556701030912,0.47556910987634704,8.349017368443474e-08,27.496284404444513,0.1618280462504026,2.0960211364362016e-09
NVDA230421C00245000,2023-04-07,10:00:00,2023-04-21,25.3,25.1,25.5,245.0,14,c,3616,0.4905229998529295,0.846192839785509,0.009505420202060577,-0.23468887885424294,7,2.0421307904753583,-0.0929183673469387,0.47227954972060815,1.3016678666200805e-06,25.387313525232067,2.4643782104483365,4.42565583451588e-07
NVDA230421C00247500,2023-04-07,10:00:00,2023-04-21,23.075000000000003,22.85,23.3,247.5,14,c,454,0.4717247923704633,0.8259666820400469,0.010639867085160404,-0.2450602728668798,2,2.3171307904753604,-0.08187878787878788,0.45716235559209895,9.719829123988133e-06,23.343701889568084,0.3463376243677409,4.1491918369563906e-07
NVDA230421C00250000,2023-04-07,10:00:00,2023-04-21,21.025,20.85,21.2,250.0,14,c,17846,0.4699600282194527,0.798603408274623,0.011799348307306445,-0.2626876030473113,15,2.767130790475356,-0.0710599999999999,0.4511851264926489,8.929180066773237e-05,21.372162068010972,15.09755179056995,0.00014983093912550498
NVDA230421C00252500,2023-04-07,10:00:00,2023-04-21,18.950000000000003,18.85,19.05,252.5,14,c,256,0.4661377275124731,0.7709401395377569,0.013057102066227344,-0.27436183412554627,8,3.1921307904753604,-0.06045544554455451,0.4393711955711126,0.0005547322262976218,19.47919090893001,0.23965935291056958,1.335280151761537e-05
NVDA230421C00255000,2023-04-07,10:00:00,2023-04-21,17.025,16.95,17.1,255.0,14,c,4682,0.4560573639117589,0.7378221399228835,0.014257721048238636,-0.28881954004845056,32,3.767130790475356,-0.05005882352941171,0.4326685746182581,0.0031150777569259954,17.670885345866,4.786181248672727,0.001371353227671374
NVDA230421C00257500,2023-04-07,10:00:00,2023-04-21,15.2,15.1,15.3,257.5,14,c,1087,0.4511850979733869,0.7013097018704784,0.015391167238476555,-0.30192696130909624,33,4.442130790475357,-0.03986407766990285,0.426947865098046,0.01322860427139132,15.952758759734877,1.1995233858512648,0.001352049528036382
NVDA230421C00260000,2023-04-07,10:00:00,2023-04-21,13.425,13.35,13.5,260.0,14,c,13906,0.4495012786754533,0.6626187870374167,0.016508189375485927,-0.31060341609269315,133,5.167130790475358,-0.02986538461538446,0.4190740582892456,0.03989418870902646,14.329567791316373,16.459221334722347,0.05216279989969435
NVDA230421C00262500,2023-04-07,10:00:00,2023-04-21,11.8,11.75,11.85,262.5,14,c,924,0.4426790663208647,0.6204195525694622,0.017413358524009936,-0.3181319719027851,21,6.042130790475358,-0.020057142857142773,0.4139382985960149,0.08359476061410423,12.80515929252473,1.1536182851807733,0.007262732717392411
NVDA230421C00265000,2023-04-07,10:00:00,2023-04-21,10.25,10.2,10.3,265.0,14,c,10231,0.4350577459627499,0.5762268649601943,0.018208742336156547,-0.3207267492996202,147,6.992130790475358,-0.010433962264150942,0.4073098573064672,0.10743168400105094,11.382346089735433,13.35689934424176,0.10334738686128499
NVDA230421C00267500,2023-04-07,10:00:00,2023-04-21,8.850000000000001,8.8,8.9,267.5,14,c,2853,0.4355644689107401,0.530012187715645,0.01871290633559397,-0.32057782863926576,506,8.092130790475359,-0.0009906542056075107,0.40258722086957033,0.05497252762780188,10.06281849884268,3.8278122993210357,0.014746756520038455
NVDA230421C00270000,2023-04-07,10:00:00,2023-04-21,7.55,7.5,7.6,270.0,14,c,8760,0.4287378712987623,0.48264170739025225,0.01900562522472171,-0.31547265269161695,573,9.292130790475358,0.008277777777777828,0.3971371261027245,-0.057784569068210695,8.847096247799664,11.936964034033371,-0.04759540393112297
NVDA230421C00272500,2023-04-07,10:00:00,2023-04-21,6.35,6.3,6.4,272.5,14,c,1082,0.4208159329608764,0.43444682418440905,0.019069311960606683,-0.3052309077384612,127,10.592130790475357,0.01737614678899091,0.39082637699452116,-0.12961981065023748,7.734522851041866,1.4793464791026076,-0.013187050683698489
