option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
NVDA230428P00242500,NVDA230428C00242500,83.86424729667112,29.35,2.57,242.5,267.765,21,0.5001670248166495,0.44869743427805614
NVDA230512P00220000,NVDA230512C00220000,80.8279898508772,51.5,1.905,220.0,267.765,35,0.5675624305787376,0.5114374678294149
NVDA230505P00230000,NVDA230505C00230000,80.50728623534127,41.55,2.125,230.0,267.765,28,0.5421959422806832,0.48867790356549523
NVDA230519P00230000,NVDA230519C00230000,80.38017182772492,43.775,3.925,230.0,267.765,42,0.5304173231950623,0.49367575815673964
NVDA230505P00240000,NVDA230505C00240000,79.29021172383379,33.025,3.575,240.0,267.765,28,0.5112893303543927,0.47094116970063343
NVDA230526P00225000,NVDA230526C00225000,72.34426574490698,49.875,4.925000000000001,225.0,267.765,49,0.5745288844488631,0.5440327008080871
NVDA230616P00215000,NVDA230616C00215000,69.26388320573054,60.65,5.2,215.0,267.765,70,0.5711257867285169,0.5443885346270058
NVDA230428P00232500,NVDA230428C00232500,69.15335050093319,37.95,1.3450000000000002,232.5,267.765,21,0.5272477835074142,0.46716329219781205
NVDA230519P00225000,NVDA230519C00225000,68.16538548364548,47.875,3.175,225.0,267.765,42,0.5365818496817826,0.5013721776898497
NVDA230428P00240000,NVDA230428C00240000,67.56152309773533,31.299999999999997,2.19,240.0,267.765,21,0.4980742012217114,0.4526929583478638
NVDA230616P00222500,NVDA230616C00222500,67.31378610825516,54.55,6.55,222.5,267.765,70,0.5571318176983342,0.5341356343440946
NVDA230519P00220000,NVDA230519C00220000,66.95059913956314,52.225,2.565,220.0,267.765,42,0.5492818873509329,0.5102007691689564
NVDA230421P00232500,NVDA230421C00232500,66.24877938255196,36.875,0.515,232.5,267.765,14,0.5503379461763092,0.45291452522354914
NVDA230519P00215000,NVDA230519C00215000,66.23581279548318,56.675,2.05,215.0,267.765,42,0.5626970175127186,0.5186171390831238
NVDA230428P00225000,NVDA230428C00225000,65.24517790412716,44.85,0.8049999999999999,225.0,267.765,21,0.5581886783557918,0.4825742307285717
NVDA230428P00227500,NVDA230428C00227500,64.54790210306243,42.5,0.955,227.5,267.765,21,0.5451365661674688,0.47700398859816573
NVDA230616P00245000,NVDA230616C00245000,61.463494815833286,37.875,12.225,245.0,267.765,70,0.5197379367418373,0.5038195065978077
NVDA230428P00222500,NVDA230428C00222500,61.442453705191724,47.175,0.675,222.5,267.765,21,0.5670597619417611,0.48793498723666234
NVDA230421P00235000,NVDA230421C00235000,60.78371249419092,34.45,0.64,235.0,267.765,14,0.5271526402016721,0.44626942216853704
NVDA230421P00240000,NVDA230421C00240000,59.853578717473965,29.8,0.99,240.0,267.765,14,0.49790756367615896,0.43457806517217007
NVDA230428P00217500,NVDA230428C00217500,59.83700530732463,51.95,0.48,217.5,267.765,21,0.5941574054195407,0.5006959145238277
NVDA230512P00235000,NVDA230512C00235000,59.36171643161643,38.3,3.85,235.0,267.765,35,0.5140864472136762,0.4855024256468319
NVDA230421P00225000,NVDA230421C00225000,59.14398004763015,44.05,0.275,225.0,267.765,14,0.5994102637032611,0.47678184688113595
NVDA230512P00215000,NVDA230512C00215000,58.150080990629505,55.825,1.48,215.0,267.765,35,0.5683743244161218,0.5202445155033268
