symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
O230421C00057500,2023-04-07,10:00:00,2023-04-21,4.5,4.3,4.7,57.5,14,c,22,0.3296745435213817,0.956078056976617,0.033040714475518485,-0.007770547669038841,1,0.03896594265246023,-0.0775652173913044,0.22232477459468708,7.073706890278927e-17,4.483810327848398,0.0027905829020352284,1.6945288446971623e-20
O230421C00060000,2023-04-07,10:00:00,2023-04-21,2.2,2.1,2.3,60.0,14,c,322,0.2447161914805525,0.8098841063029605,0.11696905688918235,-0.021763975012341952,10,0.2389659426524604,-0.03266666666666662,0.18867209554649772,8.187657792995362e-05,2.2600144182579305,0.14459380224992874,2.8707460729599336e-07
O230421C00062500,2023-04-07,10:00:00,2023-04-21,0.575,0.5,0.65,62.5,14,c,3001,0.1988967859601083,0.40188203088054597,0.18933542275001436,-0.02818896727327025,9,1.1139659426524602,0.008639999999999981,0.16697478064517407,-0.27619790990158666,0.7703480030887047,2.1813265594369655,-0.00902538232352528
O230421C00065000,2023-04-07,10:00:00,2023-04-21,0.075,0.05,0.1,65.0,14,c,4166,0.1988338285225457,0.08019071225486146,0.07123639570255635,-0.010747287347413509,44,3.1139659426524604,0.046769230769230785,0.17102897597256747,-3.373083427232846e-11,0.16372743174447074,1.1393155409097055,-1.5301202872241531e-12
O230421P00057500,2023-04-07,10:00:00,2023-04-21,0.075,0.05,0.1,57.5,14,p,1063,0.2676485483729611,-0.057618106106407246,0.03862018674985479,-0.0118094914259146,7,4.53603405734754,-0.0775652173913044,0.24444328367790988,3.712633094529369e-14,0.03107498741252408,-0.15760516725500642,-4.297288597889722e-16
O230421P00060000,2023-04-07,10:00:00,2023-04-21,0.3,0.25,0.35,60.0,14,p,3196,0.2207866001550226,-0.20754183449321062,0.11386474877472796,-0.025415259973618598,61,2.2610340573475396,-0.03266666666666662,0.20556068525463622,0.0003138757995819755,0.30262840893845977,-1.397072297393856,-1.0923047634670892e-05
O230421P00062500,2023-04-07,10:00:00,2023-04-21,1.2000000000000002,1.1,1.3,62.5,14,p,2608,0.1869986551725797,-0.585464961215465,0.1716732212364569,-0.031354391835929585,7,0.66103405734754,0.008639999999999981,0.18535229756557772,-0.2624141481781994,1.3083113248856375,-1.7188301437286417,0.0074520208006075
O230421P00065000,2023-04-07,10:00:00,2023-04-21,3.2,3.1,3.3,65.0,14,p,1293,0.1601303722921697,-0.867666316993132,0.08173038875902705,-0.01876639158508997,35,0.16103405734753995,0.046769230769230785,0.21226448705729012,-1.9301500795563865e-07,3.197040084657806,-0.40569990662208993,2.717495470087312e-09
O230519C00050000,2023-04-07,10:00:00,2023-05-19,12.0,11.9,12.1,50.0,42,c,1,0.4286470161907972,0.9609836753759815,0.009907422455768256,-0.004984038939621627,1,0.03689777618458834,-0.23920000000000008,0.35510555000766414,1.1815287538680968e-06,11.897726620572465,3.803500695646849e-05,1.286540671174586e-11
O230519C00055000,2023-04-07,10:00:00,2023-05-19,7.15,7.0,7.3,55.0,42,c,2,0.3086459572610951,0.9095073398099451,0.027855987774216828,-0.009257058783205707,2,0.1868977761845887,-0.12654545454545452,0.2635241947984905,0.0006519409232779763,7.00104684326478,0.00021388059174861962,1.4197682625231529e-08
O230519C00057500,2023-04-07,10:00:00,2023-05-19,4.9,4.7,5.1,57.5,42,c,72,0.2674725134810522,0.8278961516078986,0.04970723974651037,-0.014110512171820133,1,0.4368977761845887,-0.0775652173913044,0.23696380046554494,0.02920192233216301,4.7510783701140165,0.013739627606977927,2.2894078249341005e-05
O230519C00060000,2023-04-07,10:00:00,2023-05-19,2.925,2.75,3.1,60.0,42,c,123,0.2390983024992022,0.6784588623391041,0.07770039534449324,-0.018760353227614157,1,0.9618977761845882,-0.03266666666666662,0.21563744880742217,0.31531869978055505,2.8644394107465323,0.03669029115786658,0.00042231262362039755
O230519C00062500,2023-04-07,10:00:00,2023-05-19,1.35,1.25,1.45,62.5,42,c,636,0.2046469479262661,0.4574741072649102,0.09811510679469393,-0.018615379831092405,19,1.8868977761845884,0.008639999999999981,0.19010611365057886,-0.24499767668586817,1.5016919946186178,0.2395608331006014,-0.0016966736162610373
O230519C00065000,2023-04-07,10:00:00,2023-05-19,0.475,0.4,0.55,65.0,42,c,1261,0.1915178414210356,0.22410458230056052,0.07901690822320617,-0.013227339227375068,37,3.5118977761845884,0.046769230769230785,0.17851143684757087,-0.1504238048329871,0.6771231674936109,0.38252333839083325,-0.0020654319034580306
O230519C00067500,2023-04-07,10:00:00,2023-05-19,0.125,0.05,0.2,67.5,42,c,411,0.1857083367135931,0.0774965894020957,0.03959319173935105,-0.006178414158078141,11,5.661897776184588,0.08207407407407408,0.1729674709685759,-0.0005889888719300461,0.2625035273207373,0.06247196307746361,-2.6358951819664775e-06
O230519P00052500,2023-04-07,10:00:00,2023-05-19,0.125,0.05,0.2,52.5,42,p,38,0.305578488407891,-0.046213559000922444,0.015347764552864351,-0.0070692835830731965,4,9.588102223815412,-0.18019047619047623,0.29780709619746615,1.2219317560050538e-05,0.012531005119297842,-0.0022389868502471627,-5.056031523688149e-09
O230519P00055000,2023-04-07,10:00:00,2023-05-19,0.2249999999999999,0.15,0.3,55.0,42,p,239,0.2685400246332382,-0.08481470504104333,0.027839379518612706,-0.010070859330409049,2,7.188102223815411,-0.12654545454545452,0.26331563540736763,0.0006452399526932948,0.0767320742520303,-0.025543492125543975,-1.6791843443697334e-06
O230519P00057500,2023-04-07,10:00:00,2023-05-19,0.525,0.45,0.6,57.5,42,p,426,0.2517056373854638,-0.17716610478254458,0.049255499403599856,-0.015964656026916657,7,4.988102223815412,-0.0775652173913044,0.24871188083888085,0.037164292694572665,0.31283753282166754,-0.0805540061878971,-0.00017239104241738767
O230519P00060000,2023-04-07,10:00:00,2023-05-19,1.025,0.95,1.1,60.0,42,p,796,0.2246062795624165,-0.32044032284382906,0.0757196038203567,-0.019666851012628328,24,2.9881022238154116,-0.03266666666666662,0.22256843319110675,0.3116351047333236,0.9122725051745905,-0.2313898043654872,-0.0027010875821016677
