symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
PEP230421C00177500,2023-04-07,10:00:00,2023-04-21,5.4,5.25,5.55,177.5,14,c,670,0.1795128440133632,0.9518654314963904,0.030208675685372555,-0.021410268258232,8,0.054143252939860886,-0.029183098591549328,0.09045568715620864,1.7764549791960787e-15,5.9973686223786125,0.6754426735107059,3.359998578662083e-17
PEP230421C00180000,2023-04-07,10:00:00,2023-04-21,3.375,3.2,3.55,180.0,14,c,3682,0.161068793538369,0.7687115093846453,0.07698206994977141,-0.05120449416312445,27,0.5291432529398605,-0.014888888888888951,0.10953351912033794,0.002470487871402572,4.027972944905281,9.459221051770932,0.0002567891061909467
PEP230421C00182500,2023-04-07,10:00:00,2023-04-21,1.7999999999999998,1.7,1.9,182.5,14,c,1062,0.148828876057562,0.5377562731001317,0.09741738415947054,-0.06400138781527565,25,1.4541432529398604,-0.0009863013698629963,0.11304482490304102,0.28706253952676125,2.435126580373713,3.452573925860571,0.008606193861019754
PEP230421C00185000,2023-04-07,10:00:00,2023-04-21,0.77,0.7,0.84,185.0,14,c,8832,0.1401231218368638,0.3022118810506069,0.0860907397215449,-0.0537344940815635,63,2.9241432529398605,0.012540540540540546,0.11242011810693334,-0.059321646333367124,1.3286610302336221,25.374500723780617,-0.01479048247173485
PEP230421C00187500,2023-04-07,10:00:00,2023-04-21,0.275,0.24,0.31,187.5,14,c,1977,0.1383371178155161,0.13404212603815024,0.05259704490667705,-0.03251361231637567,74,4.929143252939861,0.025706666666666655,0.1139931038479412,-5.599187902989243e-07,0.6791574048385389,3.470164157726167,-3.1249408184415075e-08
PEP230421C00190000,2023-04-07,10:00:00,2023-04-21,0.115,0.1,0.13,190.0,14,c,3220,0.1477222195546177,0.060149276797217405,0.026640678699313414,-0.018934402133671688,6,7.269143252939861,0.03852631578947363,0.12433711743389365,-1.700888602829418e-13,0.3430224118851687,2.862748279381686,-1.5461151229340096e-14
PEP230421C00195000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,195.0,14,c,2464,0.1742767234932128,0.013604210126980619,0.006581025866446433,-0.006158549387944225,1,12.17914325293986,0.06317948717948718,0.14682887444715662,-3.571717107691358e-27,0.0899803418338411,0.541148310814484,-2.4844361668951203e-28
PEP230421C00200000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,200.0,14,c,4356,0.2205620129799672,0.008829350700531764,0.0034883969514745705,-0.0053692659514391495,1,17.17414325293986,0.08660000000000001,0.19017607375651582,-1.871438396761262e-31,0.022557035964995444,0.5071025275893931,-2.3013013498403116e-32
PEP230421P00150000,2023-04-07,10:00:00,2023-04-21,0.03,0.01,0.05,150.0,14,p,799,0.4522852281856397,-0.006175834896167583,0.0011868459815975174,-0.008173642723218636,50,32.87585674706014,-0.21786666666666665,0.40793672453226015,2.7675385875736504e-35,0.00016776250979410234,-0.03164631516429708,-6.2423849895266335e-37
PEP230421P00155000,2023-04-07,10:00:00,2023-04-21,0.165,0.02,0.31,155.0,14,p,741,0.4929403435379083,-0.026372846293855334,0.003832685946669745,-0.032442165113110905,86,28.01085674706014,-0.17858064516129035,0.4425961253449579,1.9788941249627872e-21,0.0009814478514443027,-0.09477710701612964,-4.139528266505986e-23
PEP230421P00157500,2023-04-07,10:00:00,2023-04-21,0.205,0.02,0.39,157.5,14,p,17,0.4654106826532311,-0.03328731150668285,0.004874910168317648,-0.03775900440060881,10,25.550856747060138,-0.15987301587301594,0.42213699110627306,2.8248926294894336e-19,0.0022738791800747623,-0.0027656520777575187,-1.3556917470587644e-22
PEP230421P00160000,2023-04-07,10:00:00,2023-04-21,0.065,0.02,0.11,160.0,14,p,2954,0.350130960323497,-0.015567721524051281,0.003404734047196545,-0.014666877831992102,85,22.91085674706014,-0.14175000000000004,0.3187213578198889,3.146271624087377e-26,0.005118709492331258,-0.33564152876298425,-2.6237157948982844e-27
PEP230421P00162500,2023-04-07,10:00:00,2023-04-21,0.065,0.02,0.11,162.5,14,p,74,0.3132332913385834,-0.01715168191416816,0.0041151724136656576,-0.01434482030447548,2,20.41085674706014,-0.12418461538461534,0.28651176979760795,2.904145863788392e-25,0.011211330530174285,-0.010162528140774374,-6.066807717663333e-28
PEP230421P00165000,2023-04-07,10:00:00,2023-04-21,0.085,0.03,0.14,165.0,14,p,3781,0.290089098414102,-0.023326044839267618,0.0057681953545551945,-0.01737051188023442,2,17.93085674706014,-0.10715151515151522,0.2653109286618113,2.410267959829839e-22,0.0239344044258035,-0.7278278064743279,-2.5726582006900184e-23
PEP230421P00167500,2023-04-07,10:00:00,2023-04-21,0.39,0.03,0.75,167.5,14,p,121,0.3423034317941517,-0.07478322673576676,0.012428809603171054,-0.05463628783797442,8,15.73585674706014,-0.0906268656716418,0.3153812751213848,4.665975569029051e-12,0.04978331928079345,-0.05018765585492704,-1.5938150233518966e-14
PEP230421P00170000,2023-04-07,10:00:00,2023-04-21,0.135,0.1,0.17,170.0,14,p,6951,0.2325119015390171,-0.0419265105458283,0.011481569542337589,-0.023277769861378028,5,12.98085674706014,-0.07458823529411762,0.2164019866495503,6.63275793491623e-17,0.10043040168169798,-2.6633641827409904,-1.3015220245752548e-17
PEP230421P00172500,2023-04-07,10:00:00,2023-04-21,0.185,0.15,0.22,172.5,14,p,57,0.2087326170675332,-0.06071276418207899,0.017276287124501355,-0.028075679285165356,4,10.53085674706014,-0.05901449275362314,0.1931365902992893,1.3065352396709236e-13,0.19512075782667015,-0.03286300514180374,-2.1023550817441714e-16
PEP230421P00175000,2023-04-07,10:00:00,2023-04-21,0.3,0.26,0.34,175.0,14,p,5478,0.1845014229695978,-0.09908972649218806,0.027603396887676546,-0.037209855777984246,76,8.14585674706014,-0.043885714285714306,0.17526400756440952,1.6838241720112368e-09,0.36432353426565073,-5.046224451484115,-2.603927288908416e-10
PEP230421P00177500,2023-04-07,10:00:00,2023-04-21,0.5700000000000001,0.52,0.62,177.5,14,p,775,0.1699726551894043,-0.17575209128086744,0.04360633575561934,-0.05204637994887318,5,5.91585674706014,-0.029183098591549328,0.16448128912348656,3.2378655085670165e-05,0.6614565991704019,-1.1278031487578901,-7.083870174967068e-07
PEP230421P00180000,2023-04-07,10:00:00,2023-04-21,1.075,1.01,1.14,180.0,14,p,1984,0.1567703483001427,-0.29853270509770935,0.06201207828349098,-0.06565401538788773,71,3.9208567470601396,-0.014888888888888951,0.1552112350344626,0.037285076377519745,1.1874102528134782,-4.105820514367141,-0.00208827067692436
PEP230421P00182500,2023-04-07,10:00:00,2023-04-21,2.04,1.89,2.19,182.5,14,p,825,0.1479986267757815,-0.4686486596920947,0.07164679869831048,-0.07331502148763902,4,2.3858567470601395,-0.0009863013698629963,0.15395336934372028,0.1714636493135004,2.0899132193983125,-1.9725714567704975,-0.003993338236924435
