symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
PFE230421C00033000,2023-04-07,10:00:00,2023-04-21,8.475000000000001,8.4,8.55,33.0,14,c,3,0.6761410919544335,0.9627427250071818,0.014524791005499083,-0.01435407785971421,3,0.06498458167545351,-0.2543939393939394,0.66307763492922,8.064588039106967e-19,8.39470962488446,7.466669367428612e-05,2.5176913323051216e-23
PFE230421C00034000,2023-04-07,10:00:00,2023-04-21,7.475,7.4,7.55,34.0,14,c,6,0.6006203689549879,0.9593801708434047,0.01764789950620127,-0.013834525267699682,6,0.06498458167545174,-0.21750000000000003,0.5872954757003778,5.8813951784240044e-18,7.397268129206407,0.00018144292829070394,3.67223659553947e-22
PFE230421C00035000,2023-04-07,10:00:00,2023-04-21,6.5,6.45,6.55,35.0,14,c,92,0.5611784541151492,0.9461696685370669,0.024085125183148648,-0.01642407410031943,3,0.08998458167545209,-0.18271428571428583,0.5437741389353775,2.40086197314433e-15,6.401105258062376,0.003796929287767483,2.2985505696806547e-18
PFE230421C00036000,2023-04-07,10:00:00,2023-04-21,5.475,5.4,5.55,36.0,14,c,13,0.4450200226058718,0.9498819271940739,0.028084569105857327,-0.012668431457954377,13,0.06498458167545174,-0.14986111111111122,0.4397872509013375,6.738929378021598e-16,5.408251076534386,0.0006256146228173353,9.116608396412748e-20
PFE230421C00036500,2023-04-07,10:00:00,2023-04-21,5.0,4.95,5.05,36.5,14,c,4,0.4418211111979468,0.9356165978204878,0.03517955887488711,-0.015278790625745664,4,0.08998458167545209,-0.13410958904109593,0.43016217750257607,1.1789888355691925e-13,4.914330858471105,0.00024112717308526514,4.907595127079817e-18
PFE230421C00037000,2023-04-07,10:00:00,2023-04-21,4.5,4.45,4.55,37.0,14,c,47,0.403048956340977,0.9309176582617873,0.04076477202019646,-0.014843850619096877,3,0.08998458167545209,-0.11878378378378396,0.3925694691221285,5.311610519243963e-13,4.42321848201529,0.003283058713596227,2.59790414547126e-16
PFE230421C00037500,2023-04-07,10:00:00,2023-04-21,4.0,3.95,4.05,37.5,14,c,234,0.3647822806759842,0.9253265210776185,0.0479197817249144,-0.014372108168798636,1,0.08998458167545209,-0.10386666666666677,0.3549973575813077,2.7504620265073342e-12,3.9361972804481886,0.01921438384950117,6.6976207698467835e-15
PFE230421C00038000,2023-04-07,10:00:00,2023-04-21,3.5250000000000004,3.45,3.6,38.0,14,c,70,0.3505113513200454,0.9063635345095022,0.06006841235084437,-0.016301795775994776,4,0.11498458167545245,-0.089342105263158,0.3368582461460815,2.2941403532175224e-10,3.4551005028117987,0.00720509924482952,1.671156285588658e-13
PFE230421C00038500,2023-04-07,10:00:00,2023-04-21,3.045,2.99,3.1,38.5,14,c,42,0.3237049416340986,0.8872306143564712,0.07465809208628826,-0.017358768751761122,1,0.13498458167545202,-0.07519480519480526,0.31095134006256153,7.81678402078357e-09,2.9826847735325,0.005373063230998815,3.4164608275428003e-12
PFE230421C00039000,2023-04-07,10:00:00,2023-04-21,2.57,2.53,2.61,39.0,14,c,168,0.3012943454846882,0.8622062265921437,0.09400076673937718,-0.018412373430265028,24,0.15998458167545193,-0.06141025641025655,0.2846683302861909,2.963590504960737e-07,2.523247210389775,0.02706053955245962,5.181154214907525e-10
