symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
PLD230421C00110000,2023-04-07,10:00:00,2023-04-21,11.55,11.3,11.8,110,14,c,3,0.441094513018411,0.9431254027168379,0.014692042995534393,-0.03507413358640932,1,0.16554891814385897,-0.1025454545454545,0.3204776450017047,1.5073779481444928e-14,11.606559139931054,0.000648308658561502,1.2945434349211796e-18
PLD230421C00115000,2023-04-07,10:00:00,2023-04-21,7.25,6.9,7.6,115,14,c,29,0.4078308834388329,0.8047297715630286,0.03478566538817063,-0.08201341751324609,1,0.8655489181438583,-0.054608695652173855,0.33051162291708674,7.332597071682546e-05,7.101233217230581,0.014838045194101177,6.08736065919085e-08
PLD230421C00120000,2023-04-07,10:00:00,2023-04-21,3.55,3.3,3.8,120,14,c,172,0.3477326366232997,0.5886902643653436,0.054877819062326694,-0.10248511937967653,2,2.165548918143858,-0.010666666666666602,0.296016214863029,0.1498021390183812,3.520546420784583,0.1388365032411389,0.0007375979073428473
PLD230421C00125000,2023-04-07,10:00:00,2023-04-21,1.2999999999999998,1.15,1.45,125,14,c,573,0.3246425143739304,0.3086906632741693,0.05206045545325111,-0.08695878077216412,13,4.915548918143858,0.02976000000000001,0.2826592045624662,-0.029368546858569027,1.4113836930756227,0.43877407746547037,-0.00048173732267779056
PLD230421C00130000,2023-04-07,10:00:00,2023-04-21,0.325,0.2,0.45,130,14,c,2361,0.3112185777223271,0.10616527413481736,0.028060664917228806,-0.04233158901182432,2,8.940548918143858,0.06707692307692303,0.27303880938085195,-3.857898494668236e-09,0.5266854694105112,0.9744786339528645,-2.60747406895198e-10
PLD230421P00110000,2023-04-07,10:00:00,2023-04-21,0.425,0.35,0.5,110,14,p,1725,0.4266399086908297,-0.09407246468574604,0.01793533640714884,-0.05392335058402292,20,11.809451081856142,-0.1025454545454545,0.3910813701024329,2.8768243347785406e-10,0.2432861830362116,-0.45506873938762077,-1.4206125841506175e-11
PLD230421P00115000,2023-04-07,10:00:00,2023-04-21,0.975,0.85,1.1,115,14,p,548,0.3764168271003669,-0.20366441955037562,0.0342732218783226,-0.08123121452608817,6,7.359451081856141,-0.054608695652173855,0.34513400065550515,0.00014005040618043257,0.728658922568546,-0.27625736656646427,-2.1970409188120093e-06
PLD230421P00120000,2023-04-07,10:00:00,2023-04-21,2.375,2.2,2.55,120,14,p,1509,0.3370094289661031,-0.41479693658725836,0.051173514581392965,-0.10294203768244703,5,3.7594510818561417,-0.010666666666666602,0.3182504059907549,0.14011845334578907,2.138670788355356,-1.135828761113669,-0.006052820417668392
PLD230421P00125000,2023-04-07,10:00:00,2023-04-21,5.15,4.9,5.4,125,14,p,913,0.3159361530354935,-0.6722449570322642,0.048472907918650776,-0.09009544152526239,2,1.534451081856142,0.02976000000000001,0.3109528929054894,-0.0446678070365004,5.020206722879203,-0.650950894619759,0.00116745089696626
PLD230421P00130000,2023-04-07,10:00:00,2023-04-21,9.2,9.0,9.4,130,14,p,170,0.2979417791721124,-0.8472838826553364,0.029956030562772185,-0.057178389897941884,3,0.584451081856141,0.06707692307692303,0.3277986213419361,-1.5714394488575839e-06,9.126207161446898,-0.07490513015105713,7.647505306544745e-09
PLD230421P00135000,2023-04-07,10:00:00,2023-04-21,14.0,13.6,14.4,135,14,p,2,0.2975900268594175,-0.9043223212533924,0.017664447096166214,-0.04722826606482755,1,0.38445108185614174,0.10162962962962963,0.39895871622670076,-3.250645530998206e-10,13.807727010148069,-0.0005196469955257162,1.8611133487743017e-14
