symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
PM230421C00085000,2023-04-07,10:00:00,2023-04-21,13.45,13.3,13.6,85.0,14,c,0,0.5052234021861515,0.9650845584198819,0.009192587668849228,-0.017301968192787953,1,0.08152928329718279,-0.15741176470588236,0.4120176302682547,2.3693633816262247e-19,13.344040864426294,0.0,0.0
PM230421C00087500,2023-04-07,10:00:00,2023-04-21,11.05,10.9,11.2,87.5,14,c,1,0.470749923101061,0.9381635827705459,0.01564642696294527,-0.028824836409981458,1,0.1815292832971842,-0.12434285714285709,0.39153890340113023,4.9393364883403504e-14,10.85279820464292,0.00015143588977638,7.448679392226678e-19
PM230421C00090000,2023-04-07,10:00:00,2023-04-21,8.600000000000001,8.4,8.8,90.0,14,c,21,0.3954991710371976,0.9160243628604015,0.023502266532915428,-0.03193084560058246,2,0.23152928329718492,-0.09311111111111114,0.3320156694451312,2.6243887260209895e-11,8.384195301467699,0.004776861816736352,8.311092706557657e-15
PM230421C00091000,2023-04-07,10:00:00,2023-04-21,7.65,7.5,7.8,91.0,14,c,17,0.3760186327187495,0.8985941816071374,0.028563594387520652,-0.03548191007386858,8,0.28152928329718385,-0.08109890109890094,0.3152032184153662,1.0103543810366258e-09,7.415622129333542,0.004699757127042927,2.5902001183530827e-13
PM230421C00092000,2023-04-07,10:00:00,2023-04-21,6.75,6.6,6.9,92.0,14,c,10,0.3635857279201603,0.8696600541558297,0.035091631751527075,-0.04229848094064348,3,0.3815292832971835,-0.06934782608695644,0.3078227952008654,9.864890635786449e-08,6.468427186265756,0.0033963872330614467,1.4876574568023073e-11
PM230421C00092500,2023-04-07,10:00:00,2023-04-21,6.25,6.1,6.4,92.5,14,c,24,0.3422489950949848,0.863434651018169,0.038469015484210445,-0.04126686449398065,3,0.3815292832971835,-0.06356756756756754,0.2901253330683249,2.3635080403963677e-07,6.006015258436388,0.008935851645826968,8.5541920095966e-11
PM230421C00093000,2023-04-07,10:00:00,2023-04-21,5.800000000000001,5.7,5.9,93.0,14,c,63,0.3321899766236233,0.8472032241748639,0.04251186875414703,-0.04383727276227489,1,0.4315292832971842,-0.05784946236559141,0.2835377177992991,1.6348522418418132e-06,5.553038150018018,0.025921753843449555,1.5532083805364883e-09
PM230421C00094000,2023-04-07,10:00:00,2023-04-21,4.949999999999999,4.8,5.1,94.0,14,c,114,0.3231313880006686,0.8041301678057167,0.05129934585568208,-0.050721399456088,1,0.5815292832971828,-0.046595744680850926,0.27585299152226594,8.673931803782777e-05,4.681963946866957,0.05660180945732415,1.4911849889348816e-07
PM230421C00095000,2023-04-07,10:00:00,2023-04-21,4.1,4.0,4.2,95.0,14,c,390,0.3029094088095089,0.7573457028266173,0.061422384645126726,-0.054876630260066506,7,0.7315292832971831,-0.03557894736842093,0.2610425670626078,0.001850700729828337,3.868816832208284,0.23184883438567844,1.0884574889354072e-05
PM230421C00096000,2023-04-07,10:00:00,2023-04-21,3.35,3.2,3.5,96.0,14,c,81,0.293687860601943,0.6937153957746522,0.07073449843186808,-0.060685051197077566,1,0.9815292832971836,-0.024791666666666545,0.2547102459233414,0.027486496012695424,3.1268395276611014,0.05545362403799965,3.3574926204570756e-05
