symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
PSA230421C00280000,2023-04-07,10:00:00,2023-04-21,29.5,27.9,31.1,280,14,c,0,0.4313864194076204,0.9783846211082192,0.0032400025418155565,-0.03989408374825132,1,0.06370026468664491,-0.10417857142857123,0.25143942108365835,1.7869074854582502e-23,29.714842080382258,0.0,0.0
PSA230421C00290000,2023-04-07,10:00:00,2023-04-21,20.35,19.1,21.6,290,14,c,119,0.3784246023588619,0.8862108292493787,0.011296433370944214,-0.12743268629506233,6,0.9137002646866463,-0.06610344827586201,0.2778729565895148,1.1065534537392521e-08,20.35698752150713,0.12849404424931202,1.3621885894468143e-10
PSA230421C00300000,2023-04-07,10:00:00,2023-04-21,11.75,10.4,13.1,300,14,c,156,0.3129136046791424,0.7456843808715696,0.02134769681916282,-0.1831847974513927,1,2.313700264686645,-0.03056666666666663,0.24574018599764114,0.003704384605258789,12.09626338892205,0.3183246839708121,5.978036297457771e-05
PSA230421C00310000,2023-04-07,10:00:00,2023-04-21,4.949999999999999,4.3,5.6,310,14,c,345,0.261696868357379,0.4908306785046612,0.030408790685498843,-0.1958176026891456,6,5.513700264686644,0.0026774193548388947,0.21491329286059233,-0.05550082308167867,6.038303254825302,1.0027967925829264,-0.0019807807079042596
PSA230421C00320000,2023-04-07,10:00:00,2023-04-21,1.5750000000000002,1.05,2.1,320,14,c,67,0.2507213581152838,0.21719143451102152,0.022699854236307715,-0.13847755490702363,1,12.138700264686644,0.03384375000000017,0.21227539124773698,-0.000582257341317052,2.6311683060272446,0.1453759490982663,-4.035595734346896e-06
PSA230421P00250000,2023-04-07,10:00:00,2023-04-21,0.575,0.2,0.95,250,14,p,18,0.6882926949355888,-0.03630511658196944,0.0020924971155800165,-0.10213883166269,1,60.01129973531336,-0.23667999999999978,0.6240071889224796,1.1640579078941764e-18,0.008586440129819068,-0.00360024507563085,-2.1675292620249688e-21
PSA230421P00260000,2023-04-07,10:00:00,2023-04-21,0.675,0.3,1.05,260,14,p,43,0.5979969648710441,-0.04710871347690104,0.002958361181581992,-0.11081881462461551,1,50.11129973531335,-0.18911538461538435,0.5451010984410937,2.830631969185257e-16,0.03232438037208424,-0.012159461520743224,-1.2591275934615064e-18
PSA230421P00270000,2023-04-07,10:00:00,2023-04-21,0.7749999999999999,0.4,1.15,270,14,p,182,0.5109953657499573,-0.06142517015208515,0.004307940626446793,-0.11643222985704427,1,40.211299735313354,-0.1450740740740739,0.46184292439794816,6.840117272787391e-14,0.1097135839652152,-0.0749438136165746,-1.287813028119866e-15
PSA230421P00280000,2023-04-07,10:00:00,2023-04-21,0.7250000000000001,0.35,1.1,280,14,p,48,0.3893604536186771,-0.07271643060318689,0.006351201634613446,-0.10262692729319789,3,30.161299735313357,-0.10417857142857123,0.3569405998587489,2.4006797622268576e-12,0.3333017383598247,-0.02914015315526333,-1.1920469129217714e-14
PSA230421P00290000,2023-04-07,10:00:00,2023-04-21,1.2999999999999998,0.55,2.05,290,14,p,242,0.3303893321890054,-0.1343973102824969,0.011598595934803058,-0.13921092806974267,1,20.736299735313356,-0.06610344827586201,0.3059929871717372,2.151992054769435e-07,0.9568445039503053,-0.2682967901577017,-5.387334083312693e-09
PSA230421P00300000,2023-04-07,10:00:00,2023-04-21,2.625,1.85,3.4,300,14,p,393,0.2722065262202738,-0.2646511667631968,0.020588838540724907,-0.18006190345405848,1,12.061299735313355,-0.03056666666666663,0.26062887446387223,0.005909316728561739,2.677517695830844,-0.7734265745828804,-0.0002402413153380296
PSA230421P00310000,2023-04-07,10:00:00,2023-04-21,6.0,5.0,7.0,310,14,p,15,0.234050967724451,-0.5059197492543355,0.02781571572185726,-0.19449165012033287,10,5.436299735313355,0.0026774193548388947,0.23497334394576294,-0.04267974775774675,6.6009548861997125,-0.03988193213709862,6.622637465985543e-05
PSA230421P00320000,2023-04-07,10:00:00,2023-04-21,12.2,11.1,13.3,320,14,p,1,0.1762577316444,-0.7767654798010781,0.022524442009341783,-0.1231867871514094,1,1.6362997353133544,0.03384375000000017,0.2167647714975194,-0.000782933668913763,13.175217261867262,-0.002153023316327838,8.09921351700689e-08
PSA230421P00330000,2023-04-07,10:00:00,2023-04-21,21.65,20.2,23.1,330,14,p,0,0.1565807480552974,-0.8670795130880649,0.01229511507716552,-0.11069245934508842,1,1.0862997353133537,0.06312121212121224,0.28498692589874125,-1.7150095389146518e-07,21.639902146341836,-0.0,0.0
PSA230519C00290000,2023-04-07,10:00:00,2023-05-19,25.049999999999997,23.7,26.4,290,42,c,3,0.3660134366946139,0.7480538314450058,0.009563890301933498,-0.13432080486111175,10,5.080412474593956,-0.06610344827586201,0.3134960724349452,0.11471735846517266,23.689271673043997,0.0027425246058913884,3.5601497950861155e-05
PSA230519C00300000,2023-04-07,10:00:00,2023-05-19,17.25,15.8,18.7,300,42,c,38,0.3243994442912992,0.6490828787759639,0.012410806426998988,-0.1393690649483652,4,7.280412474593959,-0.03056666666666663,0.2814655598776171,0.26325693031637165,16.792241765880753,0.045079416965169025,0.0010348592553702026
PSA230519C00310000,2023-04-07,10:00:00,2023-05-19,11.6,10.6,12.6,310,42,c,38,0.313618808753382,0.5168715748689934,0.013601423916043132,-0.14527420466914087,16,11.630412474593959,0.0026774193548388947,0.2766222845728614,0.01984889527644722,11.302325058362936,0.049404062793008414,7.80257255184894e-05
PSA230519C00320000,2023-04-07,10:00:00,2023-05-19,6.85,5.8,7.9,320,42,c,31,0.2932589663800785,0.37611389573162235,0.013744492752820747,-0.1293282224605301,1,16.88041247459396,0.03384375000000017,0.2609577251527594,-0.3439689903071027,7.2517107733382264,0.04072725149085241,-0.0011030593088088786
PSA230519C00330000,2023-04-07,10:00:00,2023-05-19,3.75,3.0,4.5,330,42,c,19,0.2810440418173024,0.24666587758961356,0.011812132463262515,-0.10304342493848839,1,23.78041247459396,0.06312121212121224,0.25258520073321145,-0.15217493559020734,4.470291915147874,0.021452435330907745,-0.00029909875561801496
PSA230519C00340000,2023-04-07,10:00:00,2023-05-19,1.925,1.3,2.55,340,42,c,7,0.2739631396444921,0.14737652334944062,0.008762903109804654,-0.0733842135120526,4,31.95541247459396,0.09067647058823547,0.24875971339304606,-0.015827044037033434,2.6729835805719646,0.005863281449731118,-1.1460820994426623e-05
PSA230519P00260000,2023-04-07,10:00:00,2023-05-19,2.4,0.1,4.7,260,42,p,9,0.4381304842098605,-0.10322799379902659,0.003921458566757963,-0.09399750526746864,1,52.36958752540604,-0.18911538461538435,0.4333554923565116,0.0012113813488765788,0.3981930000283887,-0.003373531984618138,-1.1278238407878083e-06
