symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
RTX230421C00080000,2023-04-07,10:00:00,2023-04-21,18.75,18.6,18.9,80,14,c,16,0.6326768468016777,0.9641195545992076,0.00657002871662371,-0.03514787068838743,2,0.13577600405565704,-0.23143749999999996,0.6056500141922642,5.667910020793061e-19,18.579955545549918,0.0010202156324636237,1.861058461469924e-22
RTX230421C00085000,2023-04-07,10:00:00,2023-04-21,13.775,13.65,13.9,85,14,c,12,0.4832864255150624,0.9512330664565027,0.011025675554776626,-0.035670646948371854,1,0.1607760040556574,-0.15900000000000003,0.4652779909411263,4.670392352614026e-16,13.59430898755623,0.0012840773280404746,1.1501426241326316e-19
RTX230421C00088000,2023-04-07,10:00:00,2023-04-21,10.9,10.6,11.2,88,14,c,2,0.4517972555770016,0.9196806515601175,0.018013503417790844,-0.04711945521767369,2,0.2857760040556574,-0.11948863636363627,0.42257292216153264,1.1092516834096864e-11,10.618215530923983,0.0003496494949817981,4.552785382389731e-16
RTX230421C00090000,2023-04-07,10:00:00,2023-04-21,8.8,8.7,8.9,90,14,c,50,0.3361378833880665,0.9283034552078462,0.02162468369704129,-0.03468818194556711,1,0.18577600405565775,-0.0946111111111112,0.32248643865386745,1.599698414996991e-12,8.657371600641289,0.010493599660274872,1.6414407273296019e-15
RTX230421C00091000,2023-04-07,10:00:00,2023-04-21,7.825,7.65,8.0,91,14,c,1,0.3156998380173548,0.9165565626872763,0.02611399272822723,-0.036203381820785197,1,0.21077600405565722,-0.08258241758241769,0.30009918622967324,3.2629457644136294e-11,7.691311722712984,0.0002534416586716029,6.69617725261824e-16
RTX230421C00092000,2023-04-07,10:00:00,2023-04-21,6.875,6.7,7.05,92,14,c,5,0.2971587472203089,0.8972279256652005,0.03231243483448054,-0.039569414138829195,5,0.26077600405565704,-0.07081521739130436,0.28339949562211525,1.7342345650034978e-09,6.740684791954236,0.0015679940569403627,1.7794874452912623e-13
RTX230421C00093000,2023-04-07,10:00:00,2023-04-21,5.9,5.8,6.0,93,14,c,6,0.2703425887656855,0.8807654565154976,0.03969765348443843,-0.04002356998290235,6,0.2857760040556574,-0.05930107526881723,0.25683897425087265,2.8227068137994965e-08,5.812454508760963,0.0023116432441044684,3.475634568649604e-12
RTX230421C00094000,2023-04-07,10:00:00,2023-04-21,5.225,4.95,5.5,94,14,c,1,0.3123782525007524,0.8059374873095049,0.048586208043488455,-0.059746340656603,1,0.6107760040556567,-0.04803191489361702,0.2903585600572636,7.69294292944308e-05,4.91681497527286,0.0004715391201666012,1.5787363066723946e-09
RTX230421C00095000,2023-04-07,10:00:00,2023-04-21,4.1,4.0,4.2,95,14,c,382,0.2428759925398497,0.8028547514315143,0.06258254382274231,-0.04846185031806094,2,0.4857760040556567,-0.03699999999999992,0.22760133442325592,0.00012441572062160767,4.067930950309354,0.2320177967574672,9.75339265087956e-07
RTX230421C00096000,2023-04-07,10:00:00,2023-04-21,3.3,3.25,3.35,96,14,c,230,0.2371785428807207,0.7383101402865577,0.07587302026657028,-0.05428963349933147,201,0.6857760040556569,-0.0261979166666666,0.22032725072958312,0.005889977339951701,3.283470135647766,0.16936354352735922,2.7800880185763977e-05
RTX230421C00097000,2023-04-07,10:00:00,2023-04-21,2.54,2.48,2.6,97,14,c,113,0.2280754633167323,0.6623586428528894,0.08972417824271162,-0.05740127654114602,1,0.9257760040556571,-0.015618556701030961,0.20932685432630674,0.08087344088049273,2.5821429778484273,0.09839944667436955,0.00018754325560980663
RTX230421C00098000,2023-04-07,10:00:00,2023-04-21,1.835,1.78,1.89,98,14,c,307,0.2114787042739049,0.5714760127629614,0.10326520777814707,-0.05714634814873487,25,1.220776004055657,-0.005255102040816251,0.19544537778044038,0.23217302216988986,1.9794910915869028,0.30767848046537943,0.001462740264000509
RTX230421C00099000,2023-04-07,10:00:00,2023-04-21,1.275,1.23,1.32,99,14,c,289,0.2047384496260839,0.4650562800040281,0.10866206073378848,-0.05511622156115292,1,1.660776004055657,0.004898989898989847,0.1881104510405961,-0.18086699047615462,1.4835340636307748,0.30477581628232825,-0.0010726900223992778
RTX230421C00100000,2023-04-07,10:00:00,2023-04-21,0.825,0.78,0.87,100,14,c,1627,0.1991097496167012,0.35407942688299165,0.10582322943264444,-0.0490370556565366,12,2.210776004055657,0.01485000000000003,0.180820259515658,-0.13953510793614302,1.0924261292893573,1.6709878310445536,-0.004658950880303692
RTX230421C00101000,2023-04-07,10:00:00,2023-04-21,0.5,0.47,0.53,101,14,c,394,0.1940650057984892,0.2500597900217588,0.09320603651385984,-0.04012316948453848,15,2.885776004055657,0.024603960396039626,0.17544577308565043,-0.004522742161487784,0.7953213079898442,0.35640598275488616,-3.656917287297239e-05
RTX230421C00102000,2023-04-07,10:00:00,2023-04-21,0.29,0.27,0.31,102,14,c,549,0.190428508032637,0.16520072666665053,0.07391676679235903,-0.030445956523068696,6,3.675776004055657,0.03416666666666668,0.17294640241565143,-1.1752452642115994e-05,0.5758469404008922,0.39384018781728186,-1.324091325381104e-07
RTX230421C00103000,2023-04-07,10:00:00,2023-04-21,0.165,0.16,0.17,103,14,c,740,0.1908578136206465,0.10420238711996849,0.05375336398133479,-0.02181357534003725,1,4.550776004055657,0.043543689320388324,0.17312368676875325,-4.31225516551195e-09,0.41633171916179085,0.38604869744000314,-6.548672274502866e-11
RTX230421C00104000,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,104,14,c,510,0.1955201581731525,0.06462974473803867,0.0369555819471068,-0.015194411020921103,3,5.480776004055657,0.05274038461538466,0.17578975459119345,-4.958625799346489e-13,0.3010190129558357,0.1829173685730481,-5.189775814976311e-15
RTX230421C00105000,2023-04-07,10:00:00,2023-04-21,0.055,0.05,0.06,105,14,c,3685,0.2007010107351661,0.039622469500833965,0.02451520666892082,-0.010327040949635033,2,6.440776004055657,0.061761904761904796,0.179517088172314,-2.513224958596947e-17,0.21753000607912093,0.8767540371862838,-1.900579069799641e-18
RTX230421C00106000,2023-04-07,10:00:00,2023-04-21,0.035,0.03,0.04,106,14,c,180,0.2076241229153834,0.025791977133289914,0.01656247911631381,-0.007406113944492865,1,7.420776004055657,0.07061320754716982,0.18641931606317017,-2.9556379135373013e-21,0.1568743079346822,0.028933606594548394,-1.0917942934577118e-23
RTX230421C00107000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,107,14,c,178,0.2195139211727121,0.018292478915725614,0.011773054511103609,-0.00575668162834677,33,8.410776004055657,0.07929906542056075,0.1961989029351789,-1.732144697897932e-24,0.11274178581893558,0.02033826400765632,-6.327341241903046e-27
RTX230421P00084000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,84,14,p,100,0.4065737616040163,-0.010358857390004896,0.0039610164005374204,-0.00615960248552205,3,14.639223995944343,-0.17279761904761903,0.3571241469494062,3.4845326584953355e-30,0.0032236754935838037,-0.003844247706680646,-7.150915157186167e-33
RTX230421P00085000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,85,14,p,231,0.3816277676031006,-0.011020611811852175,0.004471595267778461,-0.006083489793231287,1,13.639223995944343,-0.15900000000000003,0.33387439529735813,1.4768084343337485e-29,0.005411090776793815,-0.010024880193850552,-7.000889613869708e-32
RTX230421P00086000,2023-04-07,10:00:00,2023-04-21,0.035,0.03,0.04,86,14,p,10,0.3666621239267845,-0.015244712841470942,0.006068905876455144,-0.007926270616499798,10,12.649223995944343,-0.14552325581395342,0.32565716176783654,1.9414962059739836e-26,0.008973764184083554,-0.0005889997702220567,-3.984314686524951e-30
RTX230421P00087000,2023-04-07,10:00:00,2023-04-21,0.04,0.03,0.05,87,14,p,30,0.3453005912012556,-0.01807653833442273,0.007429230791042296,-0.008702179433868147,50,11.654223995944342,-0.13235632183908042,0.30778514899325005,8.452428366695609e-25,0.014695039301851535,-0.0021630662847286373,-5.203790928038006e-28
RTX230421P00088000,2023-04-07,10:00:00,2023-04-21,0.05,0.04,0.06,88,14,p,16,0.3303346268612228,-0.022986243210803767,0.009544454093110555,-0.010239542456937409,2,10.664223995944344,-0.11948863636363627,0.29367948065981153,1.58561913431546e-22,0.02373683148422947,-0.001482094171747667,-5.206381004216268e-26
RTX230421P00089000,2023-04-07,10:00:00,2023-04-21,0.065,0.06,0.07,89,14,p,5,0.3190634290001763,-0.030123469560682653,0.01250293752322329,-0.012364844659911618,1,9.679223995944342,-0.10691011235955061,0.2810376397650971,5.211982893629692e-20,0.037774536553796305,-0.0006067178728911762,-5.3479836646365974e-24
RTX230421P00090000,2023-04-07,10:00:00,2023-04-21,0.0849999999999999,0.08,0.09,90,14,p,1313,0.300530432123043,-0.03967039177602896,0.0164198736933574,-0.014892802328483029,100,8.699223995944342,-0.0946111111111112,0.26828667270418627,1.707200373337974e-17,0.059172366094661796,-0.20923737432290995,-4.6000897940022885e-19
RTX230421P00091000,2023-04-07,10:00:00,2023-04-21,0.105,0.1,0.11,91,14,p,110,0.2822601991297592,-0.05030583391249857,0.02116087341977324,-0.017020763046998816,50,7.719223995944343,-0.08258241758241769,0.2520550121951384,2.324780828300049e-15,0.09125222061291778,-0.022590768120706158,-5.247975352983415e-18
RTX230421P00092000,2023-04-07,10:00:00,2023-04-21,0.145,0.14,0.15,92,14,p,398,0.2724059004367079,-0.06886785013538732,0.028299080046534364,-0.020963844496347958,1,6.7592239959443425,-0.07081521739130436,0.24112667214568131,1.2381324501896203e-12,0.13876502230073345,-0.10931005505306679,-1.0112703271888099e-14
