symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SBUX230421C00085000,2023-04-07,10:00:00,2023-04-21,19.1,19.0,19.2,85.0,14,c,313,0.6469144081827323,0.9630555843196831,0.006603676787619861,-0.037706496854426064,1,0.14528332152953993,-0.22164705882352953,0.5871651189227576,1.1513126563176466e-18,18.927062723955714,0.02228740501639095,5.8562422211095054e-21
SBUX230421C00087000,2023-04-07,10:00:00,2023-04-21,17.125,17.0,17.25,87.0,14,c,2,0.5953449579231161,0.9564225823826433,0.00819998810186462,-0.03998450787722874,2,0.1702833215295385,-0.1935632183908047,0.5422483928852009,4.0346329748138055e-17,16.93936688105085,0.00017683677125086616,1.3113404091772537e-21
SBUX230421C00087500,2023-04-07,10:00:00,2023-04-21,16.6,16.5,16.7,87.5,14,c,867,0.5642398256949671,0.9593351155542607,0.008174172840824667,-0.03638597541521804,1,0.14528332152953993,-0.1867428571428571,0.5137753137559539,1.0006308455017196e-17,16.443548562282494,0.07641740274404714,1.4098548373314583e-19
SBUX230421C00088000,2023-04-07,10:00:00,2023-04-21,16.125,16.05,16.2,88.0,14,c,6,0.5626848892662746,0.954573430383121,0.008973632930064923,-0.039388564228406864,6,0.1702833215295385,-0.17999999999999994,0.5126917219612774,1.0144106838149249e-16,15.948329328605224,0.0005805624059560359,9.891142982459495e-21
SBUX230421C00089000,2023-04-07,10:00:00,2023-04-21,15.125,15.0,15.25,89.0,14,c,4,0.5304068161711776,0.9525321836882483,0.009867204511238015,-0.03877018081496075,13,0.1702833215295385,-0.16674157303370785,0.4833136540770129,2.6773560721371832e-16,14.960100331365316,0.0004255822241114074,1.7403938494859525e-20
SBUX230421C00090000,2023-04-07,10:00:00,2023-04-21,14.125,14.05,14.2,90.0,14,c,896,0.4985036050654345,0.9502639413939029,0.010908514678220627,-0.03812616543706682,5,0.1702833215295385,-0.1537777777777778,0.4540920990623869,7.46481933317157e-16,13.975659761043051,0.10539086982961052,1.0869478949774257e-17
SBUX230421C00091000,2023-04-07,10:00:00,2023-04-21,13.1,13.0,13.2,91.0,14,c,14,0.4525001183454291,0.9522966448788139,0.011593387938546584,-0.03433819922331871,1,0.14528332152953816,-0.14109890109890122,0.4130140961524418,3.4762250773984986e-16,12.996278563217482,0.0017501197389683876,7.908922845500821e-20
SBUX230421C00092000,2023-04-07,10:00:00,2023-04-21,12.15,12.05,12.25,92.0,14,c,16,0.4501827894205881,0.9402833815324918,0.014105010581744182,-0.03968246890264204,1,0.19528332152953887,-0.1286956521739131,0.40673888267612773,3.4394468838210916e-14,12.02358456510166,0.0024334518526120882,8.943139486796123e-18
SBUX230421C00092500,2023-04-07,10:00:00,2023-04-21,11.65,11.55,11.75,92.5,14,c,461,0.4346966716899528,0.938567868565432,0.014966466768129294,-0.0392796992455704,2,0.19528332152953887,-0.12259459459459454,0.39203681724845574,6.301775726932393e-14,11.540368588798916,0.07439599730182408,4.721122653137441e-16
SBUX230421C00093000,2023-04-07,10:00:00,2023-04-21,11.175,11.05,11.3,93.0,14,c,9,0.4309006228411681,0.9321329757699282,0.016397731226192036,-0.041635176332084356,2,0.22028332152953922,-0.11655913978494636,0.38699837986059527,4.632322239667115e-13,11.059631549756357,0.0015913130780628433,6.775208849495996e-17
