option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
SBUX230616P00125000,SBUX230616C00125000,92.33495162457679,0.275,21.2,125.0,103.84,70,0.2512611221873529,0.3245585905503886
SBUX230616P00115000,SBUX230616C00115000,72.06815549461005,1.21,12.025,115.0,103.84,70,0.2465334491728445,0.2711480798310926
SBUX230616P00120000,SBUX230616C00120000,71.70155355959321,0.56,16.325,120.0,103.84,70,0.24508331427058366,0.2794645900111679
SBUX230519P00125000,SBUX230519C00125000,60.13034139797675,0.11,21.175,125.0,103.84,42,0.276567576615106,0.3693235742662903
SBUX230616P00110000,SBUX230616C00110000,59.93475742962655,2.435,8.175,110.0,103.84,70,0.25128425154613215,0.2635949823006855
SBUX230519P00115000,SBUX230519C00115000,54.059914086138505,0.64,11.7,115.0,103.84,42,0.2591102548634821,0.29465091746427696
SBUX230526P00110000,SBUX230526C00110000,51.45391452471344,1.84,7.800000000000001,110.0,103.84,49,0.26049430788866995,0.27822226665091393
SBUX230616P00105000,SBUX230616C00105000,51.30135936464457,4.55,5.25,105.0,103.84,70,0.2650590718263702,0.2716687156374905
SBUX230519P00110000,SBUX230519C00110000,48.27470043021967,1.62,7.65,110.0,103.84,42,0.2646542348417951,0.2848067705824577
SBUX230519P00120000,SBUX230519C00120000,43.34512774205734,0.25,16.174999999999997,120.0,103.84,42,0.2636793785904748,0.3018302572164645
SBUX230519P00105000,SBUX230519C00105000,42.489486774300644,3.55,4.55,105.0,103.84,42,0.27825748327950567,0.2916568422135656
SBUX230512P00109000,SBUX230512C00109000,37.1215868466118,1.75,6.775,109.0,103.84,35,0.2788614716904705,0.29397443291861364
SBUX230512P00110000,SBUX230512C00110000,37.08600507456232,1.455,7.475,110.0,103.84,35,0.2761646362570702,0.2921171416277888
SBUX230512P00107000,SBUX230512C00107000,30.692750390710486,2.48,5.449999999999999,107.0,103.84,35,0.28602966612613434,0.2948742202974008
SBUX230512P00108000,SBUX230512C00108000,30.657168618661235,2.085,6.050000000000001,108.0,103.84,35,0.28165592611887363,0.29077593509701277
