symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SCHW230421C00042500,2023-04-07,10:00:00,2023-04-21,8.825,8.75,8.9,42.5,14,c,73,0.7846863368017829,0.9155627777542641,0.021563615373310085,-0.04099315376123869,11,0.2737721334272969,-0.19976470588235284,0.7097646841169459,1.7804615798314643e-11,8.58517403121343,0.004092742872390201,2.4335819665620103e-14
SCHW230421C00045000,2023-04-07,10:00:00,2023-04-21,6.550000000000001,6.45,6.65,45.0,14,c,692,0.7127293570095157,0.8544355198379261,0.03521777041548546,-0.05474517950488167,44,0.4987721334272983,-0.13311111111111096,0.6431873476768548,3.5862035912468076e-07,6.252030977237222,0.0633633275546686,4.646559977635049e-09
SCHW230421C00046000,2023-04-07,10:00:00,2023-04-21,5.675,5.6,5.75,46.0,14,c,44,0.6806549804759451,0.8206980645678374,0.042240327600140404,-0.05993329180900098,7,0.6237721334272974,-0.10847826086956514,0.6146973135652799,1.0893056845588247e-05,5.38462937027988,0.004832256491825215,8.9741424360227e-09
SCHW230421C00047000,2023-04-07,10:00:00,2023-04-21,4.875,4.8,4.95,47.0,14,c,966,0.6707753292612902,0.7748373908591066,0.04952733456242697,-0.0670996856335444,23,0.8237721334272976,-0.0848936170212764,0.6012850500665048,0.0003093813439137945,4.571339172288504,0.12439190140322832,5.5957945358718e-06
SCHW230421C00047500,2023-04-07,10:00:00,2023-04-21,4.525,4.45,4.6,47.5,14,c,312,0.6688778638018568,0.7462311057652826,0.052585209342481676,-0.0719331597168944,61,0.973772133427298,-0.07347368421052614,0.6047255019756668,0.0014528416659886168,4.188260474430662,0.04265679532757337,8.487179595441651e-06
SCHW230421C00048000,2023-04-07,10:00:00,2023-04-21,4.125,4.05,4.2,48.0,14,c,1581,0.6503796790026334,0.7216022673193656,0.05663829011126609,-0.07338456713413422,6,1.0737721334272976,-0.062291666666666634,0.5885365442852339,0.004430283725633979,3.822430921758722,0.23281557338315065,0.00013114565969911008
SCHW230421C00048500,2023-04-07,10:00:00,2023-04-21,3.775,3.7,3.85,48.5,14,c,344,0.6486249798487763,0.6920780373464996,0.05987189244827107,-0.07618307304730187,4,1.2237721334272975,-0.051340206185567006,0.5835123296642125,0.01267930485765975,3.474817257226681,0.053549010746706684,8.166658557246722e-05
SCHW230421C00049000,2023-04-07,10:00:00,2023-04-21,3.45,3.4,3.5,49.0,14,c,776,0.6508438797427316,0.6605288020229194,0.06258503464362519,-0.07891923442947268,34,1.3987721334272978,-0.040612244897959116,0.5812162248983234,0.02937543409783802,3.1462053873895672,0.1262705994338392,0.00042681190654884633
SCHW230421C00049500,2023-04-07,10:00:00,2023-04-21,3.0999999999999996,3.05,3.15,49.5,14,c,806,0.6296693615087181,0.629438785518599,0.06606740262871114,-0.07953800695802205,25,1.5487721334272972,-0.030101010101009962,0.5680399208749922,0.05287240841688324,2.8371816542445814,0.1384497892672293,0.000797911358125672
SCHW230421C00050000,2023-04-07,10:00:00,2023-04-21,2.8200000000000003,2.79,2.85,50.0,14,c,4237,0.6286326506331653,0.5950266235148494,0.06766699745419658,-0.08164509267751541,579,1.7687721334272979,-0.019799999999999818,0.569091471543901,0.07260186779983041,2.5481212190928813,0.7454274719240627,0.00575965897008165
SCHW230421C00050500,2023-04-07,10:00:00,2023-04-21,2.51,2.47,2.55,50.5,14,c,42,0.619974653678265,0.5606940152918627,0.0702090574611347,-0.08139676277064956,19,1.9587721334272974,-0.009702970297029712,0.5580892985075246,0.06958662428834157,2.2791837729672078,0.007666770394025683,5.4722454796049686e-05
SCHW230421C00051000,2023-04-07,10:00:00,2023-04-21,2.25,2.21,2.29,51.0,14,c,1125,0.6246244074751646,0.5251395108201162,0.07123957538546222,-0.08168022097139271,176,2.1987721334272976,0.00019607843137270375,0.5554127809092742,0.02883010483701799,2.030316369983216,0.20837416312648302,0.0006072803880018772
SCHW230421C00051500,2023-04-07,10:00:00,2023-04-21,2.005,1.98,2.03,51.5,14,c,170,0.6132841232651448,0.48932189993313724,0.07179331608764272,-0.08119837878794556,9,2.4537721334272975,0.009902912621359339,0.5520702925825468,-0.0339534419175909,1.8012628111804057,0.03173240283394975,-0.00010807450104927382
SCHW230421C00052000,2023-04-07,10:00:00,2023-04-21,1.78,1.75,1.81,52.0,14,c,1017,0.6076272381709495,0.45359622771453667,0.07169469510737159,-0.08013853760087297,246,2.728772133427298,0.019423076923076987,0.5493190590945917,-0.08379126375783025,1.5915787096576812,0.18957366182416385,-0.001595549217532521
SCHW230421C00052500,2023-04-07,10:00:00,2023-04-21,1.565,1.53,1.6,52.5,14,c,1373,0.6047960173270098,0.41779678574426216,0.0712529504798276,-0.07815418511545924,175,3.0137721334272976,0.028761904761904877,0.5446694970360906,-0.09629013789986209,1.4006511566898543,0.2543568357998985,-0.002475385585790826
SCHW230421C00053000,2023-04-07,10:00:00,2023-04-21,1.37,1.33,1.41,53.0,14,c,2251,0.6074903191902431,0.38258304247573705,0.07014490517320837,-0.07565479793936136,826,3.3187721334272977,0.03792452830188686,0.5406794230364553,-0.07508760428471346,1.2277217876342434,0.4105269298827065,-0.003164712445289679
SCHW230421C00053500,2023-04-07,10:00:00,2023-04-21,1.2,1.16,1.24,53.5,14,c,174,0.5992739340815121,0.34885308362900824,0.06825224242446026,-0.07293729023917495,2,3.648772133427298,0.04691588785046741,0.5388304819514321,-0.04374329698219968,1.0719120123453763,0.030877078142611196,-0.00014251194694456248
SCHW230421C00054000,2023-04-07,10:00:00,2023-04-21,1.04,1.03,1.05,54.0,14,c,3512,0.5925811058596806,0.3157040138078382,0.0660330405133358,-0.06946861434504914,166,3.9887721334272976,0.05574074074074087,0.5353132238070009,-0.019452125757615263,0.932249217618439,0.6029562845654098,-0.001279122350741025
SCHW230421C00054500,2023-04-07,10:00:00,2023-04-21,0.91,0.88,0.94,54.5,14,c,26,0.5952248609652957,0.2856257994680145,0.06303937162277506,-0.0662947635363551,12,4.358772133427298,0.06440366972477074,0.5359615993276512,-0.007130944820956989,0.8076928545247694,0.004261428905128716,-3.4714501700054646e-06
SCHW230421C00055000,2023-04-07,10:00:00,2023-04-21,0.785,0.77,0.8,55.0,14,c,16853,0.5993762773799273,0.2560980186430528,0.059921466094570164,-0.06235925666984776,1741,4.733772133427298,0.07290909090909103,0.5339620495106748,-0.002032454287856535,0.6971594746162157,2.6256067208949405,-0.0006413402831560862
SCHW230421C00055500,2023-04-07,10:00:00,2023-04-21,0.685,0.66,0.71,55.5,14,c,18,0.5985157860166572,0.23007620429559283,0.05636441312795171,-0.05885588171849587,136,5.133772133427298,0.08126126126126132,0.5356997326436963,-0.0005127963871387087,0.5995459585574192,0.0026378343446553567,-1.7282556034146773e-07
SCHW230421C00056000,2023-04-07,10:00:00,2023-04-21,0.5900000000000001,0.56,0.62,56.0,14,c,1937,0.5943743569396905,0.20490180528692226,0.05276071556425954,-0.05481774596551803,249,5.5387721334272975,0.08946428571428577,0.5352558350545659,-0.00010224275387420594,0.5137503725164339,0.2657114819943535,-3.7081105309513666e-06
SCHW230421C00056500,2023-04-07,10:00:00,2023-04-21,0.51,0.49,0.53,56.5,14,c,18,0.5962074223569045,0.1823346470972098,0.049042878677019175,-0.05097221195280571,14,5.958772133427297,0.09752212389380543,0.5362751777536121,-1.796437820175872e-05,0.4386900774865632,0.002295189154925355,-6.054457103780636e-09
