option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
SCHW230616P00060000,SCHW230616C00060000,29.60077677979598,1.0750000000000002,9.825,60.0,50.989999999999995,70,0.41263458315173507,0.4315191514070061
SCHW230616P00057500,SCHW230616C00057500,28.78407774730425,1.61,7.875,57.5,50.989999999999995,70,0.4170812042317555,0.43233287823827204
SCHW230616P00055000,SCHW230616C00055000,25.967378714812604,2.39,6.15,55.0,50.989999999999995,70,0.4279591377330143,0.43853595799607425
SCHW230519P00060000,SCHW230519C00060000,24.422563871028125,0.605,9.525,60.0,50.989999999999995,42,0.43763855307600613,0.47001868973121896
SCHW230519P00057500,SCHW230519C00057500,23.529957043068617,1.0,7.425,57.5,50.989999999999995,42,0.4371280922560171,0.4615534373001169
SCHW230519P00055000,SCHW230519C00055000,22.137350215109166,1.65,5.575,55.0,50.989999999999995,42,0.4453059702494565,0.4639888931424796
SCHW230616P00052500,SCHW230616C00052500,20.15067968232165,3.4749999999999996,4.7,52.5,50.989999999999995,70,0.4477289029182719,0.4514233574709054
SCHW230519P00052500,SCHW230519C00052500,19.74474338714969,2.61,4.025,52.5,50.989999999999995,42,0.4598463160938709,0.4737777854742466
SCHW230512P00056000,SCHW230512C00056000,19.50742076523113,1.1800000000000002,6.125,56.0,50.989999999999995,35,0.45254920953888583,0.4729734489145877
SCHW230512P00054000,SCHW230512C00054000,15.078584309329868,1.815,4.725,54.0,50.989999999999995,35,0.465504879806415,0.47647515344877206
SCHW230512P00053000,SCHW230512C00053000,14.61416608138002,2.215,4.125,53.0,50.989999999999995,35,0.47361593363065096,0.48351319424500927
SCHW230512P00055000,SCHW230512C00055000,14.043002537280547,1.505,5.4,55.0,50.989999999999995,35,0.46439140862346145,0.4740864665330217
SCHW230512P00052000,SCHW230512C00052000,13.649747853429428,2.67,3.575,52.0,50.989999999999995,35,0.48245025481772613,0.4906963116751923
