symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SHW230421C00210000,2023-04-07,10:00:00,2023-04-21,14.45,13.5,15.4,210,14,c,197,0.3554413700852842,0.9876296012628849,0.004682873910866192,-0.027466446411175127,12,0.0008388123191132024,-0.06726190476190474,0.15039423031633042,1.9746240000680115e-28,15.33063121668622,0.04634034850572548,2.2308106051743265e-30
SHW230421C00220000,2023-04-07,10:00:00,2023-04-21,6.449999999999999,5.6,7.3,220,14,c,327,0.2956119818492035,0.6857241466963426,0.03658321790389607,-0.13773861136291288,13,2.000838812319113,-0.018750000000000044,0.2193086494359052,0.0422854729544292,7.743169343828794,0.6009111488891409,0.0007929595029967473
SHW230421C00230000,2023-04-07,10:00:00,2023-04-21,2.0999999999999996,1.4,2.8,230,14,c,459,0.2938116591136503,0.31258076939315593,0.033102743826063374,-0.14181870890636317,1,7.650838812319114,0.025543478260869557,0.24194210066400018,-0.038296586803345606,3.0445422787117304,0.7632332532014452,-0.001008056368410321
SHW230421C00260000,2023-04-07,10:00:00,2023-04-21,0.25,0.05,0.45,260,14,c,836,0.4744378029787026,0.03607921660968433,0.004417902708386823,-0.048551011262783106,1,35.800838812319114,0.13798076923076918,0.40566918507494554,-1.5896162895467019e-18,0.08977256901390937,0.18552525198552036,-7.620976896405862e-20
SHW230421P00200000,2023-04-07,10:00:00,2023-04-21,0.425,0.05,0.8,200,14,p,118,0.4129251033830912,-0.05748156410460559,0.00685522626109325,-0.06521571027056089,2,24.874161187680887,-0.12062499999999998,0.38011520620149175,2.2094901097307758e-14,0.1967526841283802,-0.04063351625389729,-1.495154706417979e-16
SHW230421P00210000,2023-04-07,10:00:00,2023-04-21,1.075,0.45,1.7,210,14,p,238,0.3418311736834082,-0.14219048238408583,0.015656647791573164,-0.11040036098465322,1,15.524161187680885,-0.06726190476190474,0.32500616572320135,5.213274316572425e-07,0.9083493347372097,-0.18717866440733916,-7.115404559088172e-09
SHW230421P00220000,2023-04-07,10:00:00,2023-04-21,3.275,2.65,3.9,220,14,p,731,0.3001948592220306,-0.35544549558741423,0.028287218718503482,-0.16700386886987628,1,7.724161187680886,-0.018750000000000044,0.29782845216680953,0.08240743296244783,3.302284786345395,-1.0386954532512869,-0.0034545845456486583
SHW230421P00230000,2023-04-07,10:00:00,2023-04-21,8.35,7.2,9.5,230,14,p,34,0.2565513710641867,-0.6567484786543787,0.029032468340517426,-0.15004169776097243,18,2.7991611876808857,0.025543478260869557,0.2863774074039681,-0.07069775023046904,8.585055045693942,-0.04958421971264843,0.0001378467635172987
SHW230519C00200000,2023-04-07,10:00:00,2023-05-19,27.05,26.0,28.1,200,42,c,56,0.4155185671055929,0.853627243196442,0.008582084660702094,-0.08709620777062455,11,1.9511092159468042,-0.12062499999999998,0.3469780461629168,0.009737399933679022,26.409928547212438,0.02414134300320178,3.1271095634381097e-05
SHW230519C00210000,2023-04-07,10:00:00,2023-05-19,18.25,17.4,19.1,210,42,c,38,0.3455105160916832,0.7673530898189895,0.01335386709655495,-0.09696725139788143,1,3.1511092159468035,-0.06726190476190474,0.2978717466932677,0.09325560947935553,18.42908074367155,0.025490083104636223,0.00020322195476182276
SHW230519C00220000,2023-04-07,10:00:00,2023-05-19,11.25,10.3,12.2,220,42,c,122,0.3154219515451094,0.6120321004716267,0.01776847797785308,-0.10969820285162513,1,6.1511092159468035,-0.018750000000000044,0.28113477446209956,0.25297309968368625,11.93613711237978,0.1088906685367501,0.0017698898388388363
SHW230519C00230000,2023-04-07,10:00:00,2023-05-19,6.95,6.7,7.2,230,42,c,78,0.3266844314486199,0.4355835004568931,0.017246092589573436,-0.11493802067210979,11,11.851109215946803,0.025543478260869557,0.29791923579120677,-0.23410169595726935,7.15860845867931,0.06757186740951268,-0.0010471556147289506
SHW230519C00240000,2023-04-07,10:00:00,2023-05-19,2.975,2.25,3.7,240,42,c,101,0.2911508346560775,0.2544370543413832,0.015731646265670918,-0.08227542057898507,1,17.876109215946805,0.06614583333333335,0.26616723426985345,-0.16020988268241576,3.992461249464083,0.0798134624034396,-0.0009279460751894445
SHW230519C00250000,2023-04-07,10:00:00,2023-05-19,1.275,0.55,2.0,250,42,c,27,0.2835746987622489,0.13094797004180592,0.01053935779538051,-0.05296712590844832,1,26.176109215946802,0.10350000000000004,0.2634144411462879,-0.007971991736635462,2.0904687498003613,0.014294156007285523,-1.2343623513555494e-05
SHW230519C00260000,2023-04-07,10:00:00,2023-05-19,0.7999999999999999,0.15,1.45,260,42,c,32,0.3171292718218312,0.08168148890745353,0.006744031647576421,-0.04112894931674094,11,35.7011092159468,0.13798076923076918,0.29242581362925874,-0.0004745472909874713,1.0404924938369613,0.010840521699089705,-8.708463579645845e-07
SHW230519P00180000,2023-04-07,10:00:00,2023-05-19,1.025,0.4,1.65,180,42,p,85,0.4634528011488908,-0.06385809355936578,0.003605699594455558,-0.049032432762074696,2,46.123890784053195,-0.2451388888888888,0.45294386263833397,6.265444878553625e-05,0.15554948808290753,-0.01539533246125856,-3.0540975338294093e-07
SHW230519P00185000,2023-04-07,10:00:00,2023-05-19,1.825,0.8,2.85,185,42,p,708,0.4859974756157882,-0.0988567811263219,0.004771868280517566,-0.0718362938140471,2,41.9238907840532,-0.2114864864864865,0.47623907519845127,0.0008478492492662351,0.2908372664165579,-0.16970799791539937,-3.44242082765736e-05
SHW230519P00190000,2023-04-07,10:00:00,2023-05-19,1.65,1.0,2.3,190,42,p,86,0.4232105056572048,-0.10261535423436996,0.005623634731222182,-0.06405875936153471,1,36.748890784053195,-0.17960526315789482,0.41525310915162683,0.0012136158536886572,0.5195805539855538,-0.024293839661171896,-5.985380375632082e-06
SHW230519P00195000,2023-04-07,10:00:00,2023-05-19,2.0,1.2,2.8,195,42,p,39,0.3953158775232571,-0.12654054545141458,0.006937599255074645,-0.06974500624467939,5,32.0988907840532,-0.14935897435897427,0.39077914020866783,0.004173444459931123,0.8875415077257005,-0.013591094173055018,-9.334075477552311e-06
SHW230519P00200000,2023-04-07,10:00:00,2023-05-19,2.35,1.85,2.85,200,42,p,45,0.3617921137484821,-0.153880849023591,0.008565042599606443,-0.0733145308202281,3,27.448890784053198,-0.12062499999999998,0.3615298910052926,0.012559693024144511,1.4508493098795883,-0.019360770916149968,-3.2411833675018266e-05
SHW230519P00210000,2023-04-07,10:00:00,2023-05-19,4.25,3.7,4.8,210,42,p,102,0.3363388243799533,-0.2556957902972723,0.012341264925552764,-0.09230316525062587,2,19.348890784053197,-0.06726190476190474,0.3401646559602331,0.11430652029726651,3.414297233220324,-0.06323251448240835,-0.0006686259670443576
SHW230519P00220000,2023-04-07,10:00:00,2023-05-19,7.6,7.0,8.2,220,42,p,178,0.3206670978526916,-0.3969853126527756,0.015273171038998612,-0.10469996850251828,5,12.698890784053196,-0.018750000000000044,0.3294653312266943,0.2004949158226624,6.86564932881017,-0.1365619855968211,-0.002046611591589511
