symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SLB230421C00040000,2023-04-07,10:00:00,2023-04-21,10.55,10.45,10.65,40.0,14,c,242,0.6617745925923982,0.9674416447219336,0.010937513703623836,-0.01925585900083071,1,0.06676390638962104,-0.260375,0.6608311275444795,8.039594206867595e-20,10.466026608640853,0.006727497099435935,6.446903761784441e-22
SLB230421C00040500,2023-04-07,10:00:00,2023-04-21,10.075,10.0,10.15,40.5,14,c,31,0.6869370813585336,0.9598357963043647,0.013011186528189,-0.022464135734461266,8,0.09176390638961962,-0.24481481481481482,0.661431701034581,6.76286961607367e-18,9.96850359738071,0.0010251753138027571,6.94695364627878e-21
SLB230421C00041000,2023-04-07,10:00:00,2023-04-21,9.575,9.5,9.65,41.0,14,c,6,0.6520264981606257,0.9583405421994762,0.01408032671790238,-0.022181428834208816,6,0.09176390638961962,-0.22963414634146329,0.6298560042254666,1.5239298774581302e-17,9.4718611704147,0.00021472545202690733,3.0298276647531586e-21
SLB230421C00041500,2023-04-07,10:00:00,2023-04-21,9.075,9.0,9.15,41.5,14,c,3,0.6175490936463609,0.956716896702936,0.015288635566435005,-0.02189011436501076,2,0.09176390638961962,-0.21481927710843363,0.5985363647276976,3.553498219656287e-17,8.976503248974925,0.00011657610113206498,3.5324746144238255e-21
SLB230421C00042000,2023-04-07,10:00:00,2023-04-21,8.6,8.5,8.7,42.0,14,c,1,0.6141293706208559,0.9482241199791908,0.01785305238755086,-0.024699614622612387,1,0.11676390638961998,-0.2003571428571429,0.5926954621281443,1.4268301957856941e-15,8.482969557014853,4.5376607384907954e-05,4.727962075817841e-20
SLB230421C00042500,2023-04-07,10:00:00,2023-04-21,8.125,8.05,8.2,42.5,14,c,36,0.6107564587992987,0.9395055729051194,0.02054446660793019,-0.027237066315423775,2,0.14176390638962033,-0.18623529411764705,0.5830361088609727,3.347442604293589e-14,7.991960285336815,0.0018798228055733803,3.993165706119859e-17
SLB230421C00043000,2023-04-07,10:00:00,2023-04-21,7.65,7.55,7.75,43.0,14,c,42,0.6074294795260055,0.9304492791694763,0.02342588206971641,-0.02952242716566289,6,0.1667639063896207,-0.17244186046511634,0.5703499508634813,5.414932992614955e-13,7.504357706349891,0.0025007183797143956,7.536055181109941e-16
SLB230421C00043500,2023-04-07,10:00:00,2023-04-21,7.175,7.1,7.25,43.5,14,c,32,0.592022853819984,0.9209464222304842,0.026560545096643295,-0.03156679365574,1,0.19176390638962015,-0.1589655172413793,0.555150941438562,6.693215578001702e-12,7.021241898244405,0.0021602623920959426,7.0971908526260575e-15
SLB230421C00044000,2023-04-07,10:00:00,2023-04-21,6.699999999999999,6.6,6.8,44.0,14,c,69,0.5715443908302885,0.9108818895162241,0.030018403078813094,-0.033374818589132715,1,0.21676390638961962,-0.1457954545454545,0.5377874075861332,6.769860221716292e-11,6.543897675931179,0.005264488952754887,1.5478557513126944e-13
SLB230421C00044500,2023-04-07,10:00:00,2023-04-21,6.225,6.15,6.3,44.5,14,c,5,0.5513247571530928,0.9001261191359244,0.03388201256449008,-0.034945867413867404,2,0.24176390638961998,-0.13292134831460678,0.5184999350137627,5.88035699155577e-10,6.073810129321958,0.00043058485131132734,9.742611605243099e-14
SLB230421C00045000,2023-04-07,10:00:00,2023-04-21,5.775,5.7,5.85,45.0,14,c,1186,0.5484245065196519,0.883001960712626,0.03858819088264909,-0.03833187040004837,35,0.2917639063896207,-0.1203333333333334,0.5105130559254232,1.052937706946107e-08,5.612646858388143,0.11632114011360091,4.1379864119455375e-10
SLB230421C00045500,2023-04-07,10:00:00,2023-04-21,5.325,5.25,5.4,45.5,14,c,169,0.5420741987116418,0.8652010053916914,0.0436288668392848,-0.04117767651712523,1,0.3417639063896205,-0.108021978021978,0.4986643548135599,1.2834282438869841e-07,5.1622260288491235,0.018740457160064096,7.187204292893944e-10
SLB230421C00046000,2023-04-07,10:00:00,2023-04-21,4.875,4.8,4.95,46.0,14,c,482,0.5214077944940078,0.8464203338095277,0.049152420791287454,-0.04349937548205407,2,0.39176390638962033,-0.09597826086956518,0.48351476889599415,1.18641452112452e-06,4.724470651399639,0.06021594318946282,1.894895151158457e-08
