option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
SLB230616P00060000,SLB230616C00060000,19.10077677979647,0.8049999999999999,10.025,60.0,50.415,70,0.3869888888729986,0.3974456014587
SLB230616P00055000,SLB230616C00055000,18.967378714813066,1.885,6.15,55.0,50.415,70,0.3916955583793167,0.3991399166795362
SLB230616P00052500,SLB230616C00052500,16.150679682322,2.79,4.55,52.5,50.415,70,0.39923745751248085,0.4030165852189631
SLB230519P00060000,SLB230519C00060000,10.4225638710286,0.395,9.75,60.0,50.415,42,0.4035471108789525,0.41125782901944175
SLB230505P00049000,SLB230505C00049000,5.786334893615774,3.2249999999999996,1.57,49.0,50.415,28,0.4302736737696287,0.4097298092627975
SLB230519P00040000,SLB230519C00040000,5.718290752647448,10.975,0.28,40.0,50.415,42,0.5475415215300842,0.4944749591207768
SLB230428P00046000,SLB230428C00046000,5.670125260399139,5.125,0.525,46.0,50.415,21,0.4680282371653545,0.43832729255976344
SLB230519P00057500,SLB230519C00057500,5.529957043069089,0.6799999999999999,7.5,57.5,50.415,42,0.39745086255002215,0.3928066685437872
SLB230505P00043000,SLB230505C00043000,5.516579600520366,7.925000000000001,0.295,43.0,50.415,28,0.503086685000107,0.46040303855306114
SLB230421P00049000,SLB230421C00049000,5.384688988150321,2.56,1.0,49.0,50.415,14,0.4403380204348197,0.4186543707912791
SLB230421P00043000,SLB230421C00043000,5.000849520213357,7.65,0.105,43.0,50.415,14,0.5703499508634813,0.5052314655684728
SLB230421P00043500,SLB230421C00043500,4.9078361425413775,7.175,0.13,43.5,50.415,14,0.555150941438562,0.498275295818992
