symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SPGI230421C00320000,2023-04-07,10:00:00,2023-04-21,14.4,12.6,16.2,320.0,14,c,8,0.334160368894547,0.9270748210302493,0.013831910319339613,-0.07819062546264632,1,0.29982341520755007,-0.04251562500000006,0.15164197550218014,5.369198630981354e-12,16.445512321884813,0.012315080462809574,4.219727778534533e-15
SPGI230421C00330000,2023-04-07,10:00:00,2023-04-21,7.2,6.5,7.9,330.0,14,c,42,0.2887872066453965,0.6376355231705766,0.03041220596244898,-0.18671373515870915,3,3.09982341520755,-0.010924242424242392,0.187294907813374,0.14849533613811333,9.50217075050469,0.142155057607338,0.0006126988726330711
SPGI230421C00332500,2023-04-07,10:00:00,2023-04-21,5.75,5.0,6.5,332.5,14,c,2,0.2758290227316133,0.5587206040734038,0.03195651316900694,-0.1933511108634285,2,4.14982341520755,-0.003323308270676728,0.18761499056743391,0.22586677024894658,8.13525140334095,0.0071130274470638626,4.437795796787068e-05
SPGI230421C00335000,2023-04-07,10:00:00,2023-04-21,4.3,3.8,4.8,335.0,14,c,31,0.2594946180208911,0.4767392355880862,0.03357040806228895,-0.18534408406214098,1,5.1998234152075495,0.004164179104477528,0.18026690086278813,-0.137511165798369,6.927745468564265,0.11581996154419757,-0.0004187787486507939
SPGI230421C00337500,2023-04-07,10:00:00,2023-04-21,3.5999999999999996,2.9,4.3,337.5,14,c,13,0.2686948476001767,0.40295080198646804,0.0302992463163676,-0.19047768566001944,1,6.999823415207549,0.01154074074074074,0.19413320457708783,-0.2396057312331453,5.876325354966549,0.04383694497488246,-0.0003060028922171109
SPGI230421C00340000,2023-04-07,10:00:00,2023-04-21,2.775,2.15,3.4,340.0,14,c,286,0.2641579832775568,0.33251504914526553,0.028109190490788194,-0.1786681252519382,2,8.67482341520755,0.01880882352941171,0.19638499882221203,-0.0805814643954813,4.97267993827368,0.8947041958494397,-0.0022640507921845602
SPGI230421C00342500,2023-04-07,10:00:00,2023-04-21,2.1,1.5,2.7,342.5,14,c,78,0.2645632862054066,0.26889056031569325,0.025305236226458305,-0.16193916264316077,1,10.49982341520755,0.02597080291970799,0.19816575704323247,-0.009566252216929744,4.204558106897923,0.21966967160560905,-7.330294223748294e-05
SPGI230421C00345000,2023-04-07,10:00:00,2023-04-21,1.425,1.05,1.8,345.0,14,c,84,0.2508064011583797,0.20408737581047998,0.02237590858378269,-0.13360147022931845,1,12.32482341520755,0.03302898550724631,0.19247074445916748,-0.0002632114233831733,3.5571266502256282,0.20918236432251328,-2.1720458913406142e-06
SPGI230421C00347500,2023-04-07,10:00:00,2023-04-21,1.0,0.7,1.3,347.5,14,c,43,0.2500693877761437,0.15420486686559265,0.018774802021948034,-0.11051700154886879,1,14.39982341520755,0.039985611510791275,0.19224234592418726,-3.4492261637136143e-06,3.014396009601157,0.08984810545080861,-1.4570521778145652e-08
SPGI230421C00350000,2023-04-07,10:00:00,2023-04-21,1.05,0.5,1.6,350.0,14,c,182,0.2777109849593961,0.14497138825642075,0.015859924391570246,-0.11952103355501198,1,16.94982341520755,0.046842857142857075,0.21838834023109288,-1.094241833640129e-06,2.560496362612881,0.32124590685837723,-1.9564541708488175e-08
SPGI230421C00352500,2023-04-07,10:00:00,2023-04-21,0.6000000000000001,0.1,1.1,352.5,14,c,14,0.2595298963045063,0.09613954378606127,0.012620607535707151,-0.08296403842256284,2,18.99982341520755,0.05360283687943257,0.20534105663092864,-8.248517565454953e-10,2.180656835706652,0.01966406945830973,-1.1344592911541713e-12
SPGI230421C00360000,2023-04-07,10:00:00,2023-04-21,0.325,0.05,0.6,360.0,14,c,272,0.2822675771605733,0.05200870614632258,0.007041217746639461,-0.05641965478508837,1,26.22482341520755,0.07331944444444438,0.2297193428411897,-5.002835417293054e-15,1.3649712601891801,0.21314825483525127,-1.336811265724398e-16
SPGI230421P00300000,2023-04-07,10:00:00,2023-04-21,0.875,0.25,1.5,300.0,14,p,57,0.4038875778516685,-0.07429438149850753,0.005501420508036148,-0.12168160808978579,9,34.97517658479245,-0.11201666666666665,0.3882705019669444,3.298939259899935e-12,0.42776986128471184,-0.0348991460250868,-1.8472860563382476e-14
