symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
SPG230421C00090000,2023-04-07,10:00:00,2023-04-21,19.95,19.7,20.2,90,14,c,39,0.6630354104504194,0.9346088586823953,0.008381512870414554,-0.05601514513248418,7,0.3888385582997351,-0.21805555555555545,0.6821737093452908,7.671640378436929e-14,19.527029651916042,0.003928314373247718,8.541299050458083e-17
SPG230421C00095000,2023-04-07,10:00:00,2023-04-21,15.05,14.7,15.4,95,14,c,36,0.5633643125729202,0.9092272473615104,0.013254296096221196,-0.06111468608719228,1,0.48883855829973655,-0.1539473684210526,0.5585506791195226,6.356930871247685e-11,14.567447035475926,0.005734273219982163,6.533126596861385e-14
SPG230421C00100000,2023-04-07,10:00:00,2023-04-21,10.3,10.1,10.5,100,14,c,77,0.4721191729872177,0.8537151865485093,0.023007674609942796,-0.07325529305243883,2,0.7388385582997365,-0.09624999999999995,0.4554099097616145,4.6401410402831853e-07,9.794361583859432,0.021290343311100683,1.0199831352160919e-09
SPG230421C00105000,2023-04-07,10:00:00,2023-04-21,5.8,5.6,6.0,105,14,c,485,0.3739376932312862,0.7379844667287916,0.04220104009355907,-0.08435396735787126,10,1.2388385582997357,-0.04404761904761911,0.3548192745612913,0.003483084520360931,5.644560074640112,0.24597111291512055,4.822551078188016e-05
SPG230421C00110000,2023-04-07,10:00:00,2023-04-21,2.4,2.3,2.5,110,14,c,2300,0.3279914740211713,0.48407062231845543,0.060678649163037335,-0.09101165712770332,161,2.8388385582997357,0.003409090909090917,0.30317494903347225,-0.06288810995053515,2.663842816972432,1.6771926582792314,-0.004129214683376817
SPG230421C00115000,2023-04-07,10:00:00,2023-04-21,0.6000000000000001,0.55,0.65,115,14,c,1971,0.2955234276409066,0.18995946751425574,0.04609507072483865,-0.055435366075978876,3,6.0388385582997355,0.046739130434782616,0.2720263145534534,-6.683258534022003e-05,1.0037101612083665,1.0918433232680413,-3.7605032671022673e-06
SPG230421C00120000,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,120,14,c,2122,0.3048569223029697,0.05076413619820516,0.017398458206224765,-0.021112745022326046,10,10.563838558299736,0.0864583333333333,0.2774008826877143,-2.6483571675793906e-15,0.30161362265645236,0.44368562331746464,-1.6043274684426738e-16
SPG230421P00090000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,90,14,p,908,0.5805247532351439,-0.02320968587194369,0.004938305922658204,-0.020497851318147076,10,19.661161441700266,-0.21805555555555545,0.5141243480880949,1.1463225178334938e-22,0.002257204153347442,-0.05388688157433232,-2.9714180455691288e-24
SPG230421P00095000,2023-04-07,10:00:00,2023-04-21,0.15,0.1,0.2,95,14,p,906,0.4753780866323994,-0.03954842201656511,0.009352509043047963,-0.02660237119632465,1,14.711161441700265,-0.1539473684210526,0.42210207075161804,1.0469811419961326e-17,0.033373249946033384,-0.10182995391500024,-2.707934413221418e-19
SPG230421P00100000,2023-04-07,10:00:00,2023-04-21,0.3,0.25,0.35,100,14,p,1444,0.3901997453537641,-0.08495535667708831,0.020762981757793675,-0.0407044411020106,2,9.861161441700265,-0.09624999999999995,0.3463258131994793,4.9575422900756924e-11,0.2509864605623456,-0.36030984463105153,-2.0436414624063553e-12
