symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
TMO230421C00535000,2023-04-07,10:00:00,2023-04-21,34.900000000000006,32.2,37.6,535.0,14,c,1,0.3408746945060225,0.9798875610847801,0.0027532279034403473,-0.09397096934161908,3,0.06609161920565043,-0.063214953271028,0.15698189294459752,1.5134399916752357e-23,36.7578995585527,0.0008908239372465935,1.975927394161964e-27
TMO230421C00540000,2023-04-07,10:00:00,2023-04-21,30.8,28.5,33.1,540.0,14,c,44,0.3401297370599919,0.9077717316950284,0.007061072544445324,-0.1956990953793145,2,0.9660916192056455,-0.05337037037037029,0.2086354093389073,3.6333065717265993e-10,32.339500903104735,0.10052476485659997,2.0871828492831883e-12
TMO230421C00542500,2023-04-07,10:00:00,2023-04-21,28.55,26.1,31.0,542.5,14,c,5,0.3314698440772631,0.8892072539461893,0.00812228474700305,-0.21371827237669194,3,1.2160916192056455,-0.04851612903225799,0.20733487865676645,1.0491835308691163e-08,30.192422819482474,0.01314007763164452,6.84900125393516e-12
TMO230421C00545000,2023-04-07,10:00:00,2023-04-21,26.6,24.3,28.9,545.0,14,c,3,0.3258466530892558,0.8567883524653652,0.009314835089924145,-0.25088341952859494,3,1.7660916192056462,-0.04370642201834851,0.21622838931575036,8.741108867576996e-07,28.094449963950172,0.009041617723589303,3.4236831116797437e-10
TMO230421C00547500,2023-04-07,10:00:00,2023-04-21,24.65,22.6,26.7,547.5,14,c,6,0.3202679863635012,0.8263132132849904,0.010353962238696113,-0.2806602835051244,6,2.3160916192056433,-0.038940639269406274,0.22081410070214874,1.9614894219605775e-05,26.051810836031887,0.02010053158923536,1.5365369106920662e-08
TMO230421C00550000,2023-04-07,10:00:00,2023-04-21,22.6,20.4,24.8,550.0,14,c,742,0.3117632467119552,0.7998549139079714,0.01139022078433527,-0.29854967482472006,2,2.766091619205646,-0.0342181818181817,0.21915361860050878,0.00016913065458655914,24.070950587296252,2.734549338940546,1.638445543978232e-05
TMO230421C00552500,2023-04-07,10:00:00,2023-04-21,20.65,18.5,22.8,552.5,14,c,130,0.306286767001122,0.7698643962614327,0.012392467176880473,-0.31717969381408295,3,3.3160916192056433,-0.029538461538461513,0.21845761849919126,0.0011987381345748855,22.15836867395369,0.5212557342451449,2.034573812658852e-05
TMO230421C00555000,2023-04-07,10:00:00,2023-04-21,18.950000000000003,16.6,21.3,555.0,14,c,447,0.308112518429473,0.7333807425357719,0.013165372720891355,-0.34238476357519687,3,4.116091619205648,-0.02490090090090069,0.22243593482939328,0.007469410722554525,20.32043246483523,1.904102827487,0.00043591281885757316
TMO230421C00557500,2023-04-07,10:00:00,2023-04-21,16.6,14.7,18.5,557.5,14,c,92,0.2844143285500873,0.7110565588940077,0.014719048060385376,-0.3319775257356028,1,4.266091619205646,-0.020304932735425885,0.20693033775344538,0.01968611991859634,18.56317580913826,0.43814440144772243,0.0002364578466156876
TMO230421C00560000,2023-04-07,10:00:00,2023-04-21,14.35,13.5,15.2,560.0,14,c,337,0.2634678162750029,0.6830349168064132,0.016447444437517333,-0.3227769226767965,1,4.516091619205644,-0.01574999999999993,0.1930253638688858,0.052388987412762655,16.892093580966815,1.7934036314599056,0.0023050252217055606
TMO230421C00562500,2023-04-07,10:00:00,2023-04-21,13.3,11.7,14.9,562.5,14,c,28,0.2732855252304865,0.632450913096072,0.016263951252426523,-0.3560546308588961,3,5.9660916192056455,-0.011235555555555443,0.20648176106140412,0.14633644711152563,15.311944366803562,0.1473444599372014,0.0005349538464471378
TMO230421C00565000,2023-04-07,10:00:00,2023-04-21,11.6,10.2,13.0,565.0,14,c,51,0.2665336482480667,0.5925232468606545,0.017162826875249948,-0.35551474592629617,2,6.766091619205644,-0.0067610619469025135,0.2016004865681999,0.2212784231669152,13.826573573704925,0.28321008464338937,0.0014733808492144724
TMO230421C00567500,2023-04-07,10:00:00,2023-04-21,10.15,8.9,11.4,567.5,14,c,52,0.2611515455425975,0.549186575197691,0.01763267166055016,-0.3566701437940818,1,7.816091619205645,-0.0023259911894271124,0.2001452767859883,0.18979232032480597,12.438768253051173,0.29666832542500365,0.0012885098876529917
TMO230421C00570000,2023-04-07,10:00:00,2023-04-21,8.55,7.6,9.5,570.0,14,c,640,0.247994212966059,0.5044908922648084,0.018433814847895746,-0.34444229825440686,12,8.716091619205645,0.0020701754385965554,0.1929052129662312,0.007964649383751217,11.150152927786587,3.817199963898708,0.0006655066704224398
TMO230421C00572500,2023-04-07,10:00:00,2023-04-21,7.5,6.5,8.5,572.5,14,c,62,0.2486952675531649,0.4594113244605236,0.018099479719424494,-0.34366642407973735,41,10.166091619205645,0.006427947598253381,0.19546533253272413,-0.19544613993786417,9.961132871296662,0.36308432203115654,-0.001582065877396028
TMO230421C00575000,2023-04-07,10:00:00,2023-04-21,6.35,5.4,7.3,575.0,14,c,99,0.246908524046361,0.41377000918330076,0.01797125514180209,-0.3310038641269024,23,11.516091619205644,0.01074782608695668,0.19324608858639833,-0.2527502960686506,8.870887899974093,0.5756563777467101,-0.0032668759532280436
TMO230421C00580000,2023-04-07,10:00:00,2023-04-21,4.65,4.0,5.3,580.0,14,c,487,0.2415368738584044,0.32985192225467586,0.016539753051603157,-0.30564354251580816,1,14.816091619205645,0.019275862068965588,0.19515111535174434,-0.0757500959773441,6.977623899880076,2.60619974653853,-0.004816348736004689
TMO230421C00585000,2023-04-07,10:00:00,2023-04-21,2.7,2.45,2.95,585.0,14,c,72,0.2207446764113224,0.23393570175787026,0.015253978835616522,-0.23438809797269267,4,17.866091619205644,0.027658119658119817,0.1791378115041523,-0.0018644765950243238,5.442047069039251,0.3553573903921632,-1.7526500476435903e-05
TMO230421C00590000,2023-04-07,10:00:00,2023-04-21,1.625,1.25,2.0,590.0,14,c,330,0.2154074600709469,0.1601951451443817,0.012441997516710046,-0.17828099829400412,5,21.791091619205645,0.035898305084745896,0.17446938267710632,-7.0266765025107275e-06,4.223134005507909,1.328476162977796,-3.027399091015618e-07
TMO230421C00595000,2023-04-07,10:00:00,2023-04-21,1.075,0.9,1.25,595.0,14,c,165,0.2147330235935554,0.11255183248418676,0.009568544900862008,-0.14044247682009225,49,26.241091619205644,0.04400000000000015,0.17808473593533336,-1.6614927880967582e-08,3.2728292918664326,0.5108337225636721,-3.5792182510578363e-10
TMO230421C00600000,2023-04-07,10:00:00,2023-04-21,0.775,0.55,1.0,600.0,14,c,4769,0.2260423646486442,0.08263042786215147,0.007298937507727032,-0.11518688906320951,1,30.941091619205643,0.05196666666666683,0.18606099370410112,-5.3124856007736664e-11,2.5416668660778208,11.26254874782984,-3.3077361902029936e-11
TMO230421C00605000,2023-04-07,10:00:00,2023-04-21,0.425,0.2,0.65,605.0,14,c,132,0.2182922395853769,0.050221108942233306,0.0050459078304587734,-0.07545673560265054,86,35.59109161920564,0.05980165289256212,0.18285314526786803,-3.083403453263289e-15,1.9833195803334644,0.21550778367684525,-5.313859437421537e-17
TMO230421C00610000,2023-04-07,10:00:00,2023-04-21,0.2249999999999999,0.1,0.35,610.0,14,c,154,0.2152131881376592,0.0291364952344067,0.003276330871326838,-0.04687912988999801,2,40.391091619205646,0.06750819672131159,0.18070388553498837,-3.98877523520674e-20,1.5575439284954513,0.16325187983243922,-8.0198466154053495e-22
TMO230421C00615000,2023-04-07,10:00:00,2023-04-21,0.15,0.05,0.25,615.0,14,c,11,0.2215540166822077,0.019811422800807,0.00229809463597741,-0.034415633216316494,2,45.31609161920564,0.07508943089430908,0.1863185067641732,-1.010975136114695e-23,1.2314811202908897,0.008179190252108861,-1.4519074591519967e-26
TMO230421C00620000,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,620.0,14,c,54,0.2364430431579907,0.0159799635564499,0.00180315452000257,-0.030097971914982827,1,50.291091619205645,0.08254838709677426,0.1976819539888957,-8.904720654800583e-26,0.9796312563872428,0.031504777783247576,-6.277978678388354e-28
TMO230421P00465000,2023-04-07,10:00:00,2023-04-21,0.5750000000000001,0.05,1.1,465.0,14,p,5,0.5943378393499725,-0.024395818768646604,0.0009492990138415536,-0.11424276294364877,2,105.40890838079436,-0.22326881720430092,0.5376974739367679,3.033337892244887e-22,0.03919163241954235,-0.0015357578718382396,-1.980143074718731e-25
TMO230421P00470000,2023-04-07,10:00:00,2023-04-21,0.6,0.05,1.15,470.0,14,p,554,0.5740000224424124,-0.026236844490218347,0.001048784840085304,-0.11696388339322844,1,100.43390838079435,-0.21025531914893603,0.5172803181824134,1.487995357068026e-21,0.05419414371405761,-0.18799481954568345,-1.076259796055585e-22
TMO230421P00475000,2023-04-07,10:00:00,2023-04-21,0.625,0.05,1.2,475.0,14,p,13,0.5486361238530383,-0.028219884684438368,0.0011608364769433166,-0.11948013465795582,3,95.45890838079436,-0.1975157894736841,0.49663796017140344,7.279175530918314e-21,0.07451123671374238,-0.004882745796224528,-1.2354674875014009e-23
TMO230421P00480000,2023-04-07,10:00:00,2023-04-21,0.65,0.05,1.25,480.0,14,p,89,0.5225108827541954,-0.030364366914098495,0.001287739431754531,-0.12177897627432344,2,90.48390838079436,-0.18504166666666655,0.47577451262793957,3.570882092914372e-20,0.10180275532910765,-0.03708238999342337,-4.1492661558405153e-22
TMO230421P00485000,2023-04-07,10:00:00,2023-04-21,0.8,0.35,1.25,485.0,14,p,21,0.5102746478254834,-0.0368511452185416,0.0015314367218799418,-0.14151343757119095,1,85.63390838079435,-0.17282474226804112,0.4691960947458445,2.0801588295331464e-18,0.13813453527865352,-0.010405622527293245,-5.7032389523147436e-21
TMO230421P00490000,2023-04-07,10:00:00,2023-04-21,0.7000000000000001,0.05,1.35,490.0,14,p,136,0.47113125802544,-0.03523561086758442,0.0015982081003063087,-0.1256619605506092,1,80.53390838079436,-0.1608571428571428,0.4333859158900687,8.868911018991178e-19,0.1860342407846164,-0.0703269773533207,-1.574762203713147e-20
