symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
TSLA230421C00145000,2023-04-07,10:00:00,2023-04-21,33.5,33.05,33.95,145.0,14,c,2143,0.8803666185421146,0.9260192315188931,0.005342150757314812,-0.1445703848453519,15,0.8595412183505573,-0.22282758620689647,0.7499425865689882,1.5480390897180265e-12,32.98468464549859,0.3599189974589642,3.485145698470892e-13
TSLA230421C00150000,2023-04-07,10:00:00,2023-04-21,28.950000000000003,28.55,29.35,150.0,14,c,21377,0.8562978829846166,0.8947190265237381,0.007171284188700611,-0.17900676898604573,337,1.3095412183505601,-0.1820666666666666,0.7265677891104748,1.1869186162192853e-09,28.357514651481935,4.819590617181305,2.665535946301683e-09
TSLA230421C00152500,2023-04-07,10:00:00,2023-04-21,26.799999999999997,26.4,27.2,152.5,14,c,45,0.8370602537104013,0.8729815465722268,0.008226315735271328,-0.20198402529550918,9,1.6595412183505545,-0.16268852459016392,0.7236983395919487,3.336724411924875e-08,26.123915515674515,0.011638160644862082,1.5774285514070098e-10
TSLA230421C00155000,2023-04-07,10:00:00,2023-04-21,24.65,24.25,25.05,155.0,14,c,1444,0.8176686925666219,0.8508235189861324,0.00931827671024621,-0.2209110524231619,4,2.009541218350556,-0.14393548387096766,0.7129756498365988,5.176354815585167e-07,23.956100605139806,0.4230281379850555,7.852502360400053e-08
TSLA230421C00157500,2023-04-07,10:00:00,2023-04-21,22.575,22.2,22.95,157.5,14,c,65,0.8083336259935163,0.8253301168071658,0.010454982302121607,-0.2407317765268786,3,2.4345412183505566,-0.12577777777777777,0.7042899393000497,6.620536578824099e-06,21.863545307211137,0.021365010876612123,4.520884282026618e-08
TSLA230421C00158330,2023-04-07,10:00:00,2023-04-21,21.825,21.2,22.45,158.33,14,c,3033,0.7973863867670694,0.8186253786393038,0.010876835396800288,-0.2426380403728423,1,2.514541218350569,-0.11987620792016673,0.6932453409905431,1.204276888133913e-05,21.187051028290693,1.0371496524758288,3.83721034616433e-06
TSLA230421C00160000,2023-04-07,10:00:00,2023-04-21,20.5,20.3,20.7,160.0,14,c,6390,0.7963164854536918,0.7989477527027944,0.011660464345197852,-0.2560781950382278,27,2.8595412183505573,-0.1081875000000001,0.6888198861724194,5.648297064548933e-05,19.85543238752911,2.3425192210768566,3.7917110370099266e-05
TSLA230421C00162500,2023-04-07,10:00:00,2023-04-21,18.625,18.45,18.8,162.5,14,c,121,0.7806673962175954,0.766059324853785,0.012774639444046443,-0.2772962388515765,26,3.4845412183505573,-0.09113846153846161,0.6862529174254997,0.00046402049138150693,17.940311432700266,0.04859599528187452,5.8984699978479035e-06
TSLA230421C00165000,2023-04-07,10:00:00,2023-04-21,16.825,16.65,17.0,165.0,14,c,2017,0.7725211234766818,0.7310046345279986,0.01383254545572754,-0.2958446400386059,24,4.184541218350557,-0.07460606060606056,0.6823436086660459,0.002626990284523902,16.1257765647742,0.8771512040571191,0.0005566487134259985
TSLA230421C00166670,2023-04-07,10:00:00,2023-04-21,15.7,15.55,15.85,166.67,14,c,2870,0.7745764833515935,0.7058519186833756,0.01445257813870171,-0.30797727665148855,7,4.729541218350544,-0.06383872322553552,0.6818545929593431,0.006961879007481138,14.972912505119448,1.3040483153829971,0.0020990617403480673
TSLA230421C00167500,2023-04-07,10:00:00,2023-04-21,15.15,15.0,15.3,167.5,14,c,469,0.7768128234055723,0.693161348219018,0.014749601557895176,-0.3132053187498709,18,5.009541218350558,-0.05856716417910457,0.6809932153707903,0.010579310361478375,14.418184362706567,0.21748013347599746,0.0005212511733199916
TSLA230421C00170000,2023-04-07,10:00:00,2023-04-21,13.65,13.6,13.7,170.0,14,c,2927,0.776978895010777,0.6527892146901415,0.015411251030883477,-0.3303572848298053,519,6.009541218350558,-0.04299999999999993,0.6853486787385111,0.029303815100746106,12.822430145410292,1.4181660247140244,0.009010807930575997
