option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
TSLA230526P00190000,TSLA230526C00190000,69.42039781541158,10.85,23.0,190.0,177.31,49,0.5925599972404049,0.6195404983808166
TSLA230616P00210000,TSLA230616C00210000,60.602718729288796,7.5,38.85,210.0,177.31,70,0.5648323589175481,0.5868799337424287
TSLA230616P00206670,TSLA230616C00206670,55.51687561801053,8.3,36.3,206.67,177.31,70,0.5661367049315191,0.5857423813061261
TSLA230519P00210000,TSLA230519C00210000,52.97897354860055,4.45,36.5,210.0,177.31,42,0.5846252174644405,0.6126050268193489
TSLA230505P00212500,TSLA230505C00212500,51.98783336952175,2.53,37.45,212.5,177.31,28,0.6103178334692897,0.6505901342323813
TSLA230616P00205000,TSLA230616C00205000,50.96932066430355,8.75,35.05,205.0,177.31,70,0.567602712112213,0.5853557427899667
TSLA230519P00205000,TSLA230519C00205000,47.693759892680276,5.475,32.5,205.0,177.31,42,0.5872991867602118,0.6106523279412707
TSLA230505P00205000,TSLA230505C00205000,44.700027485893656,3.65,31.025,205.0,177.31,28,0.608334953200852,0.6378463034276849
TSLA230616P00193330,TSLA230616C00193330,44.65496958063273,12.35,27.025,193.33,177.31,70,0.5752832495483909,0.5898130454115423
TSLA230616P00200000,TSLA230616C00200000,43.83592259932172,10.15,31.425,200.0,177.31,70,0.5700152636028245,0.5847567644320013
TSLA230428P00210000,TSLA230428C00210000,43.57116728948398,2.035,34.575,210.0,177.31,21,0.6301637576378769,0.6714086888327833
TSLA230428P00207500,TSLA230428C00207500,42.873891488418536,2.335,32.375,207.5,177.31,21,0.6281397459157729,0.6661168594093744
TSLA230512P00190000,TSLA230512C00190000,41.73946331060936,8.6,20.825000000000003,190.0,177.31,35,0.60231027659108,0.6217991030368744
TSLA230616P00195000,TSLA230616C00195000,41.70252453433676,11.775,28.075,195.0,177.31,70,0.5741721470756088,0.5878307939207155
TSLA230505P00202500,TSLA230505C00202500,41.270758858016876,4.125,28.975,202.5,177.31,28,0.6086202328111759,0.6346016986755244
TSLA230505P00210000,TSLA230505C00210000,41.05856474164469,2.855,35.175,210.0,177.31,28,0.609017547732548,0.6392446546865133
TSLA230505P00200000,TSLA230505C00200000,40.3414902301396,4.675,27.025,200.0,177.31,28,0.6103635142312697,0.6346363143315524
TSLA230512P00197500,TSLA230512C00197500,40.2226000202365,6.325,26.0,197.5,177.31,35,0.5985002302377981,0.6186706127962476
TSLA230519P00200000,TSLA230519C00200000,39.90854623676263,6.7,28.674999999999997,200.0,177.31,42,0.5907287209224631,0.6090732173492462
