symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
UNH230421C00430000,2023-04-07,10:00:00,2023-04-21,80.4,78.45,82.35,430.0,14,c,37,0.5377063561776334,0.9864259324658065,0.0008421875463682227,-0.08258760037962531,4,0.03788996925780452,-0.18525581395348834,0.39778706647267126,5.522195955846145e-28,80.21324205799377,0.008094157278468461,3.4121858533830186e-30
UNH230421C00435000,2023-04-07,10:00:00,2023-04-21,75.6,74.35,76.85,435.0,14,c,1,0.5289484552574971,0.9760729390734468,0.00132317410361793,-0.11603427909254549,5,0.23788996925779315,-0.17163218390804613,0.41632334670417953,1.6866127583930287e-22,75.2235880944169,0.0003436988605308153,2.816660618514406e-26
UNH230421C00440000,2023-04-07,10:00:00,2023-04-21,70.55,68.75,72.35,440.0,14,c,176,0.4904294104995922,0.9776227150581462,0.0013676464050149661,-0.10592297626907055,77,0.187889969257796,-0.1583181818181818,0.38022049303218763,4.2576619826567455e-23,70.23542977274771,0.0625241211357062,1.2514197015242283e-24
UNH230421C00447500,2023-04-07,10:00:00,2023-04-21,63.175,61.6,64.75,447.5,14,c,2,0.457236336872357,0.9696570057588616,0.0018685157243680806,-0.12266537690076262,2,0.312889969257796,-0.1389050279329609,0.36086029292521815,3.3370724392646585e-20,62.760336946837775,0.0009707063093106895,1.1145890452959855e-23
UNH230421C00450000,2023-04-07,10:00:00,2023-04-21,60.45,58.35,62.55,450.0,14,c,213,0.4146991274784224,0.9819451687775427,0.001403325740056971,-0.08516816276512174,78,0.08788996925780168,-0.1325777777777779,0.30742678388004807,4.52501577824806e-25,60.27243506060579,0.07764244344933048,1.609603255560471e-26
UNH230421C00452500,2023-04-07,10:00:00,2023-04-21,58.275000000000006,56.45,60.1,452.5,14,c,3,0.4130594624575857,0.9629758454597237,0.002294118175427684,-0.13482345587459577,1,0.4128899692578045,-0.12632044198895032,0.3471185029648939,2.3814446434686812e-18,57.7877351050894,0.0017877144073366903,1.1931110995782993e-21
UNH230421C00455000,2023-04-07,10:00:00,2023-04-21,55.875,54.35,57.4,455.0,14,c,10,0.4092203876443603,0.9569980595685479,0.002611377993844144,-0.14707672515599057,1,0.5128899692577988,-0.12013186813186816,0.34494870545640477,5.477885419022142e-17,55.30739736495072,0.006783140921858929,9.148124876746891e-20
UNH230421C00457500,2023-04-07,10:00:00,2023-04-21,53.25,51.7,54.8,457.5,14,c,4,0.3789325504517302,0.9621504483575904,0.00256064339509976,-0.1287899988428407,2,0.38788996925779884,-0.11401092896174858,0.31671975971472094,4.153018464191778e-18,52.832911435360266,0.0026605424477856134,2.774233385308302e-21
UNH230421C00460000,2023-04-07,10:00:00,2023-04-21,51.625,50.6,52.65,460.0,14,c,710,0.4365241328422007,0.9227340738995338,0.00378092877895142,-0.22927116650796364,3,1.2628899692577988,-0.1079565217391305,0.37917945974327505,6.373529139492757e-12,50.36615616960109,0.6972972383298646,7.557139949030165e-13
UNH230421C00462500,2023-04-07,10:00:00,2023-04-21,48.575,47.85,49.3,462.5,14,c,8,0.3815374522636419,0.9428146431876172,0.003521233722381112,-0.16703886190100548,6,0.7128899692578017,-0.10196756756756753,0.321933646585975,1.9915925396053588e-14,47.909459712096066,0.00731721707512819,2.6607839868486524e-17
UNH230421C00465000,2023-04-07,10:00:00,2023-04-21,46.2,45.45,46.95,465.0,14,c,79,0.3723143966309075,0.9349038596717207,0.003951647613575915,-0.1792616277651149,1,0.8378899692578017,-0.09604301075268817,0.3177282957513238,2.6751614991197317e-13,45.465655936751126,0.08108983200702455,3.5293622582538913e-15
UNH230421C00467500,2023-04-07,10:00:00,2023-04-21,43.8,43.1,44.5,467.5,14,c,60,0.3614732825198575,0.9278663208821314,0.0043800307736319155,-0.18775643084828175,2,0.937889969257796,-0.09018181818181814,0.31046970986243516,2.0561039319997735e-12,43.03813290934297,0.0682636509528554,2.0602288026165295e-14
UNH230421C00470000,2023-04-07,10:00:00,2023-04-21,41.599999999999994,40.8,42.4,470.0,14,c,768,0.364115992919019,0.9119621239584319,0.005018081026264554,-0.215100990343025,15,1.2378899692577932,-0.08438297872340428,0.3153991438414364,9.274426266582613e-11,40.630868518502695,1.0010597257126415,1.1895081263024102e-11
UNH230421C00472500,2023-04-07,10:00:00,2023-04-21,39.125,38.4,39.85,472.5,14,c,85,0.3483739851202526,0.9073002926793805,0.005459149789999174,-0.2141859858699391,3,1.2628899692577988,-0.07864550264550263,0.30131253880456615,2.561412322991766e-10,38.24844827440026,0.12053274195629299,3.6359471400530684e-12
UNH230421C00475000,2023-04-07,10:00:00,2023-04-21,36.9,36.15,37.65,475.0,14,c,135,0.3493890481666286,0.891970135739939,0.0061147824226281955,-0.23502050708310662,10,1.5378899692577974,-0.07296842105263157,0.3009934421171463,4.303028905076876e-09,35.896060541201,0.21442522614078705,9.701238293068253e-11
UNH230421C00477500,2023-04-07,10:00:00,2023-04-21,34.575,33.95,35.2,477.5,14,c,31,0.3409847879525138,0.8802286033620987,0.006748362153530252,-0.2451515690763415,1,1.7128899692578017,-0.06735078534031413,0.2936544946553254,2.803934309889272e-08,33.579465199739616,0.054340192771720225,1.4516057142116596e-10
UNH230421C00480000,2023-04-07,10:00:00,2023-04-21,32.375,31.65,33.1,480.0,14,c,1046,0.3338029597865007,0.8633148070952501,0.007465752602797693,-0.26323726420452687,1,2.012889969257799,-0.06179166666666669,0.2910692975549461,2.8175038775797354e-07,31.30493293660894,2.028459675659228,4.921702373617803e-08
UNH230421C00482500,2023-04-07,10:00:00,2023-04-21,29.9,29.4,30.4,482.5,14,c,134,0.3145883246426074,0.8556004414947083,0.008205628780899588,-0.25910292230074816,1,2.0378899692577974,-0.05629015544041449,0.2749249745510144,7.56539248394171e-07,29.07915397818904,0.2856128638444748,1.6929939356791904e-08
UNH230421C00485000,2023-04-07,10:00:00,2023-04-21,27.875,27.25,28.5,485.0,14,c,106,0.3152269287254513,0.831250171304454,0.009031142162996275,-0.2847606751868206,3,2.512889969257799,-0.050845360824742336,0.27691073728355864,9.60092888767125e-06,26.90911703219692,0.24866212677228325,1.699566877717452e-07
UNH230421C00487500,2023-04-07,10:00:00,2023-04-21,25.6,25.15,26.05,487.5,14,c,71,0.3049550628414881,0.8146002621732151,0.009938932592490346,-0.2906539764176692,5,2.7378899692578003,-0.04545641025641034,0.2670908096149119,4.307033545176443e-05,24.801961316380176,0.18329861930412328,5.106881062860621e-07
