symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
VICI230421C00027500,2023-04-07,10:00:00,2023-04-21,4.949999999999999,4.6,5.3,27.5,14,c,1,0.6278689590890203,0.9698327131923534,0.022602758846801407,-0.005755420903562403,1,0.023147442700928167,-0.17909090909090897,0.449219469606865,9.288573601282615e-21,4.918787763210877,2.3764102723074345e-05,5.5218504528754e-26
VICI230421C00030000,2023-04-07,10:00:00,2023-04-21,2.45,2.2,2.7,30.0,14,c,1967,0.3423938451023263,0.9540128087333066,0.06218939602398166,-0.004577266676615732,1,0.023147442700929055,-0.08083333333333331,0.23478935244250945,1.8191713299225483e-16,2.4645968111003103,0.1286117561601505,2.1272257264772524e-18
VICI230421C00032500,2023-04-07,10:00:00,2023-04-21,0.35,0.25,0.45,32.5,14,c,1715,0.1816519741928772,0.4749550784116485,0.41115420217563425,-0.013799704223232234,1,0.42314744270092886,0.002307692307692344,0.1511909167282668,-0.16717294521952974,0.5703343702319094,0.7413594489239727,-0.0017043772634666812
VICI230421P00030000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,30.0,14,p,2933,0.3458079823581828,-0.10111384939973725,0.08713782196537179,-0.012485500776853994,1,2.526852557299071,-0.08083333333333331,0.31737166039851833,1.3606831028651486e-09,0.042258848870562166,-0.26870684697009484,-2.37249151834933e-11
VICI230421P00032500,2023-04-07,10:00:00,2023-04-21,0.5249999999999999,0.35,0.7,32.5,14,p,506,0.195279020101308,-0.5153682596448828,0.3252859696833976,-0.017321975885451146,4,0.45185255729907103,0.002307692307692344,0.1912947484109701,-0.09842517022616692,0.6433457391185637,-0.17305167925138756,0.00029606856943094155
VICI230421P00035000,2023-04-07,10:00:00,2023-04-21,2.675,2.35,3.0,35.0,14,p,18,0.2685725702034556,-0.8852910064278241,0.09596456793659058,-0.012852857227262593,1,0.10185255729907094,0.07357142857142862,0.31204235093403176,-1.0368313372369024e-08,2.6234149180893236,-0.0018161151734704959,1.109471712525976e-12
VICI230519C00027500,2023-04-07,10:00:00,2023-05-19,5.050000000000001,4.7,5.4,27.5,42,c,2,0.4022819566673026,0.916329842237662,0.03694860463809846,-0.006201694745535669,2,0.11944201056688186,-0.17909090909090897,0.3568637826213055,0.0002901322157571596,4.930741016480975,7.769409407456371e-05,3.449543010029426e-09
VICI230519C00030000,2023-04-07,10:00:00,2023-05-19,2.825,2.55,3.1,30.0,42,c,7,0.3294490045975367,0.7874558099066453,0.08596701607022084,-0.010875072443687017,4,0.39444201056688133,-0.08083333333333331,0.299600094747568,0.06083555381603046,2.6641951381744255,0.0006326883855970567,2.5315768746291805e-06
VICI230519C00032500,2023-04-07,10:00:00,2023-05-19,0.95,0.85,1.05,32.5,42,c,925,0.2407947115206513,0.5013584208152067,0.16010129518462257,-0.011556263826281943,12,1.019442010566881,0.002307692307692344,0.22376234703853698,-0.02814145031113193,1.0395067233754491,0.15570284480992908,-0.00015474756437776861
VICI230519C00035000,2023-04-07,10:00:00,2023-05-19,0.2,0.1,0.3,35.0,42,c,207,0.2318339040612071,0.16169356745864005,0.10101078996294088,-0.006943834379337488,10,2.7694420105668813,0.07357142857142862,0.21857768044976933,-0.028910318291163382,0.2870032602709779,0.021983563008976963,-3.557614056505434e-05
VICI230519P00030000,2023-04-07,10:00:00,2023-05-19,0.25,0.2,0.3,30.0,42,p,158,0.2499405824646428,-0.16570973393389837,0.09103379977892789,-0.007914926035318764,2,2.680557989433119,-0.08083333333333331,0.24642015377810914,0.027334189902630646,0.2471763953486435,-0.01512236538261566,-2.5674317531136366e-05
VICI230519P00032500,2023-04-07,10:00:00,2023-05-19,0.975,0.8,1.15,32.5,42,p,96,0.2128797393761868,-0.49444179216893147,0.16761529753273052,-0.010902867507865621,9,0.9055579894331188,0.002307692307692344,0.2137369436690949,-0.03291143890635035,1.1085619122700727,-0.01691783772283422,1.8782513824569207e-05
VICI230519P00035000,2023-04-07,10:00:00,2023-05-19,2.75,2.4,3.1,35.0,42,p,49,0.1950014024008226,-0.8351683608924132,0.1009659448447664,-0.0063549563691500666,52,0.18055798943311885,0.07357142857142862,0.21667508254827644,-0.027198019933940838,2.842132380886005,-0.0052015282715356945,7.922622839282404e-06
VICI230519P00037500,2023-04-07,10:00:00,2023-05-19,5.15,4.8,5.5,37.5,42,p,0,0.2127806891144361,-0.9166382066288392,0.045310106457918664,-0.00466092368174742,1,0.0805579894331192,0.13533333333333342,0.290138560530868,-0.00036748588509140985,5.102695659554519,-0.0,0.0
VICI230616C00027500,2023-04-07,10:00:00,2023-06-16,5.199999999999999,4.8,5.6,27.5,70,c,12,0.3681840232552787,0.8705500581421166,0.04081152277457534,-0.006336358473357784,2,0.2657361550113073,-0.17909090909090897,0.3428322644856541,0.03819615259326728,4.981333324429281,0.0005149013318632169,2.7248116003444073e-06
VICI230616C00030000,2023-04-07,10:00:00,2023-06-16,3.05,2.8,3.3,30.0,70,c,949,0.3023141591346119,0.7453501171462706,0.07658980415659045,-0.008759117507898928,1,0.6157361550113079,-0.08083333333333331,0.2862843402482948,0.261989918873484,2.8727726277450816,0.07641825931848167,0.0014780407459220263
VICI230616C00032500,2023-04-07,10:00:00,2023-06-16,1.275,1.1,1.45,32.5,70,c,475,0.2439169511214742,0.5077991835975348,0.11957659920458497,-0.009133103927982278,3,1.340736155011308,0.002307692307692344,0.23113016582995438,-0.023629422696842477,1.3561304900669673,0.05971724681336823,-6.672404010538305e-05
VICI230616C00035000,2023-04-07,10:00:00,2023-06-16,0.375,0.25,0.5,35.0,70,c,14362,0.2234091645120365,0.2220443261055971,0.0967872749491061,-0.006387787078801721,11,2.940736155011308,0.07357142857142862,0.2142614392067631,-0.33624533813992996,0.5224688009625009,1.4614809349498818,-0.028708255847833177
VICI230616P00027500,2023-04-07,10:00:00,2023-06-16,2.55,0.1,5.0,27.5,70,p,544,0.904163953983384,-0.2659245415684186,0.02579800160162904,-0.028863220215938235,3,7.484263844988692,-0.17909090909090897,0.8855884810359538,0.07454923852320526,0.09279429654355183,-0.014755194361933423,-0.00024108918302112044
VICI230616P00030000,2023-04-07,10:00:00,2023-06-16,0.45,0.4,0.5,30.0,70,p,1301,0.2465941671704434,-0.21512259626634833,0.08386111372993277,-0.007048483313399356,3,2.884263844988692,-0.08083333333333331,0.24284060670670848,0.24817967949814082,0.46106660953443684,-0.11470910516671119,-0.0019194602809091198
VICI230616P00032500,2023-04-07,10:00:00,2023-06-16,1.225,1.0,1.45,32.5,70,p,1145,0.2091347741198716,-0.4857513333805241,0.13115968103827313,-0.008197484165019198,2,1.159263844988692,0.002307692307692344,0.21075606111698542,-0.03052800420051918,1.4212574815314072,-0.15789406580141918,0.0002077971148307091
VICI230616P00035000,2023-04-07,10:00:00,2023-06-16,2.75,2.5,3.0,35.0,70,p,200,0.1517228247403978,-0.8260046066005167,0.10083198198174159,-0.0038097901788267663,2,0.18426384498869197,0.07357142857142862,0.1716392877772205,-0.2072222624573612,3.0644288021020247,-0.02120255844719044,0.00024637805392165724
VICI230616P00037500,2023-04-07,10:00:00,2023-06-16,5.199999999999999,4.8,5.6,37.5,70,p,0,0.2178345640432133,-0.8831098463721432,0.050663841726361625,-0.003950210377537289,2,0.13426384498869126,0.13533333333333342,0.25536724251317366,-0.039938327070906526,5.18860742472732,-0.0,0.0
