symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
V230421C00215000,2023-04-07,10:00:00,2023-04-21,10.825,10.65,11.0,215.0,14,c,1309,0.2628562305564071,0.9820418849616708,0.008244798390677488,-0.030898759422546718,7,0.013936675820598765,-0.04862790697674435,0.11889217268037876,1.3303527986867916e-24,11.76806504919659,0.5485793169722052,6.335590280718999e-26
V230421C00217500,2023-04-07,10:00:00,2023-04-21,8.65,8.55,8.75,217.5,14,c,96,0.2502390456705278,0.8934428898897728,0.026709745011288533,-0.0653862053872647,5,0.33893667582059983,-0.036574712643678176,0.15444974962180455,6.771261124829062e-09,9.609925365108529,0.13033489834296041,2.364946959452077e-11
V230421C00220000,2023-04-07,10:00:00,2023-04-21,6.65,6.55,6.75,220.0,14,c,2109,0.233235046611954,0.7949484102377724,0.039044928019649205,-0.09240910768244337,73,0.8389366758205998,-0.02479545454545451,0.16354234334752477,0.00031920088166678353,7.597293902324527,4.185631096013822,2.4491831999004617e-05
V230421C00222500,2023-04-07,10:00:00,2023-04-21,4.9,4.8,5.0,222.5,14,c,546,0.2242855843163065,0.677839430173055,0.04796060911971267,-0.11221233544698261,68,1.5889366758205998,-0.013280898876404601,0.1680892530737885,0.06934611443571491,5.796932352767957,1.3310582924445091,0.00137751197957896
V230421C00225000,2023-04-07,10:00:00,2023-04-21,3.325,3.25,3.4,225.0,14,c,4222,0.2124359740378495,0.5505489855145207,0.054263588253888884,-0.1168201690809254,41,2.5139366758205997,-0.0020222222222223696,0.16397538786607901,0.23896921497968399,4.273095197497334,11.645187356560646,0.03670631570947967
V230421C00227500,2023-04-07,10:00:00,2023-04-21,2.07,2.03,2.11,227.5,14,c,1081,0.20166123646713,0.4121771346468739,0.054978187260523725,-0.10866120778250732,26,3.7589366758205993,0.008989010989010948,0.1592046341319809,-0.30348737790868685,3.06400436007725,3.0208965463217745,-0.011935673690663107
V230421C00230000,2023-04-07,10:00:00,2023-04-21,1.225,1.18,1.27,230.0,14,c,7343,0.1954653872218441,0.28363727747783285,0.048012071200975726,-0.09189707032058747,96,5.413936675820599,0.019760869565217387,0.15865660129763703,-0.021697174250556665,2.16596891270023,17.920235480716464,-0.005796386213076767
V230421C00232500,2023-04-07,10:00:00,2023-04-21,0.65,0.62,0.68,232.5,14,c,1032,0.1893964438940234,0.17585842466842916,0.03718285754183981,-0.06751363251875198,17,7.3389366758206,0.0303010752688172,0.1563967260068252,-3.449992272307441e-05,1.535682536645329,1.950483148547804,-1.2953240508558236e-06
V230421C00235000,2023-04-07,10:00:00,2023-04-21,0.3249999999999999,0.3,0.35,235.0,14,c,4426,0.1865909548388418,0.10015465893754572,0.02531692171459099,-0.044648063853787945,8,9.513936675820599,0.04061702127659572,0.1560795480783837,-2.2967790472950132e-09,1.1083631130441123,5.695633697246684,-3.6983774884127665e-10
V230421C00237500,2023-04-07,10:00:00,2023-04-21,0.16,0.14,0.18,237.5,14,c,1152,0.1871324521427324,0.05438314034100361,0.01568871709850539,-0.02765765097184944,15,11.8489366758206,0.05071578947368416,0.15805530649840233,-1.7759432530340085e-14,0.8194254628164379,0.9186702519103622,-7.443242584790854e-16
