symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
WELL230421C00065000,2023-04-07,10:00:00,2023-04-21,6.85,6.6,7.1,65.0,14,c,185,0.4581852613835905,0.9040624611678982,0.030947091262945037,-0.03348425824280987,21,0.2366391159356933,-0.10115384615384615,0.3856376816705086,3.2626938541799375e-10,6.680234450763001,0.029330149553932226,1.251133028841152e-12
WELL230421C00067500,2023-04-07,10:00:00,2023-04-21,4.55,4.3,4.8,67.5,14,c,7,0.3832193362437701,0.8260070675785602,0.054923626136016424,-0.04363226960786548,3,0.4366391159356935,-0.06037037037037041,0.32952826165379706,1.2241711520587002e-05,4.436351012467129,0.0019696087078468903,1.7762153421632942e-09
WELL230421C00070000,2023-04-07,10:00:00,2023-04-21,2.55,2.3,2.8,70.0,14,c,250,0.3372488982341798,0.6638731577066626,0.08853449527279622,-0.05498300519640509,9,0.9366391159356935,-0.022499999999999964,0.2912309939359862,0.05526254638181334,2.5856597645374726,0.11339012598167232,0.0002863692202951068
WELL230421C00072500,2023-04-07,10:00:00,2023-04-21,1.1,0.9,1.3,72.5,14,c,299,0.3002181033808835,0.41667087123852253,0.10408276253093263,-0.05328827391937607,14,1.9866391159356938,0.012758620689655165,0.26533566281075116,-0.18780548250499335,1.2926504702606376,0.15943097877689072,-0.0011639515165975324
WELL230421C00075000,2023-04-07,10:00:00,2023-04-21,0.3,0.2,0.4,75.0,14,c,244,0.2701508580132961,0.16967455989740088,0.07471830515470845,-0.030494986927388223,2,3.6866391159356935,0.04566666666666663,0.23953580548855885,-1.3094650612819183e-05,0.5496891361537575,0.09339842483225981,-6.622762446519501e-08
WELL230421P00065000,2023-04-07,10:00:00,2023-04-21,0.425,0.1,0.75,65.0,14,p,637,0.5031626057083358,-0.1283955338384879,0.03291051480669438,-0.046487712660879366,26,7.038360884064306,-0.10115384615384615,0.4513142173437047,6.653447284150613e-08,0.07917618737049521,-0.107398155227481,-8.784996414351765e-10
WELL230421P00067500,2023-04-07,10:00:00,2023-04-21,0.4,0.25,0.55,67.5,14,p,394,0.3475130405417831,-0.1639694391486035,0.05522044528638581,-0.03854338432692089,2,4.513360884064307,-0.06037037037037041,0.3170437106140809,5.617919692780084e-06,0.33064208019102553,-0.11145994889457468,-4.5880398834229216e-08
WELL230421P00070000,2023-04-07,10:00:00,2023-04-21,0.9,0.7,1.1,70.0,14,p,194,0.3122232633180496,-0.3311481042412967,0.09055651140066345,-0.05085670120532393,4,2.5133608840643062,-0.022499999999999964,0.2834976576846598,0.052057507473289945,0.9753001633777727,-0.09000033515439895,-0.00020933436821322612
WELL230421P00072500,2023-04-07,10:00:00,2023-04-21,1.85,1.65,2.05,72.5,14,p,148,0.2584694361130729,-0.5922883580484317,0.11404754294286334,-0.045322826738874555,2,0.9633608840643064,0.012758620689655165,0.24073249048943615,-0.1986441590948776,2.1776402002173416,-0.08647097621812139,0.000609386671352148
WELL230421P00075000,2023-04-07,10:00:00,2023-04-21,3.8,3.5,4.1,75.0,14,p,69,0.2812869921221262,-0.7976590926475513,0.07330549651740625,-0.035340211552211453,1,0.41336088406430616,0.04566666666666663,0.27125539020689743,-0.00015235169419518504,3.9300281972268643,-0.02591244204716273,2.1789728288925532e-07
