symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
WFC230421C00030000,2023-04-07,10:00:00,2023-04-21,8.3,8.25,8.35,30.0,14,c,434,0.778886710705907,0.9219895184263471,0.021291574849868766,-0.034642075095153047,2,0.23709875268498948,-0.26783333333333315,0.9030305486686471,2.737136484529651e-12,8.048114021306619,0.013367935957448807,1.5164508724471637e-14
WFC230421C00031000,2023-04-07,10:00:00,2023-04-21,7.325,7.25,7.4,31.0,14,c,60,0.725692573909825,0.9092429816269565,0.026143053997174093,-0.03574406885029546,2,0.26209875268498894,-0.22693548387096762,0.82537029917597,5.4785881777065855e-11,7.050976244321146,0.002269208551247581,4.1962569017813763e-14
WFC230421C00032000,2023-04-07,10:00:00,2023-04-21,6.325,6.25,6.4,32.0,14,c,100,0.6342739056820229,0.8991525141628376,0.03212563892240894,-0.03426829141839072,3,0.26209875268498894,-0.1885937499999999,0.7266099691492884,4.498978037776592e-10,6.057097354761161,0.004647491615739978,5.743227704418615e-13
WFC230421C00032500,2023-04-07,10:00:00,2023-04-21,5.875,5.8,5.95,32.5,14,c,652,0.6515602009734038,0.8827986306872315,0.03652890335992254,-0.03758171173151492,66,0.31209875268498877,-0.17030769230769227,0.7128893357888559,7.103127939420258e-09,5.563259745237267,0.034454906149837046,5.912067651656015e-11
WFC230421C00033000,2023-04-07,10:00:00,2023-04-21,5.375,5.3,5.45,33.0,14,c,58,0.6009171010771048,0.8755231195473723,0.04102464832733688,-0.03658482038349753,4,0.31209875268498877,-0.15257575757575736,0.662567466350774,2.2330976326764703e-08,5.0733785433385465,0.003442228544256323,1.653399747258708e-11
WFC230421C00033500,2023-04-07,10:00:00,2023-04-21,4.9,4.85,4.95,33.5,14,c,235,0.5736693469031536,0.861932524275355,0.046550856405147556,-0.03736285065101619,3,0.3370987526849891,-0.13537313432835818,0.6277091817626932,1.429771184010994e-07,4.589637660631379,0.015825679953689414,4.289202637620858e-10
WFC230421C00034000,2023-04-07,10:00:00,2023-04-21,4.45,4.4,4.5,34.0,14,c,427,0.5692799643610613,0.8417835945867758,0.052954713272157505,-0.039563299051811995,34,0.38709875268498894,-0.11867647058823527,0.6050108698184831,1.4540338731866153e-06,4.114926329437184,0.032711415468768476,7.925826499611305e-09
WFC230421C00034500,2023-04-07,10:00:00,2023-04-21,3.975,3.9,4.05,34.5,14,c,356,0.5379968326310512,0.8247142793801121,0.060565296404746505,-0.03964196824115174,8,0.41209875268498886,-0.10246376811594193,0.5654724884784741,8.054977022163705e-06,3.6528250114875886,0.0311918178566188,3.6606353225371704e-08
WFC230421C00035000,2023-04-07,10:00:00,2023-04-21,3.55,3.5,3.6,35.0,14,c,2561,0.5252673949784371,0.7959486790067416,0.06868344737398502,-0.04226909802106826,110,0.4870987526849886,-0.08671428571428552,0.5479353563520653,8.301955724579507e-05,3.207484618422098,0.2544652627752121,2.7141394249884966e-06
WFC230421C00035500,2023-04-07,10:00:00,2023-04-21,3.0999999999999996,3.05,3.15,35.5,14,c,741,0.4981334256258342,0.7690361556521141,0.07870844199953098,-0.0427010374741994,27,0.5370987526849884,-0.07140845070422519,0.5138817782960153,0.000501691125250914,2.7833934651194774,0.08437355828057426,4.745661841306156e-06
WFC230421C00036000,2023-04-07,10:00:00,2023-04-21,2.72,2.7,2.74,36.0,14,c,2531,0.5021537400139732,0.7281725436805608,0.08743491521912006,-0.045747211055302994,5,0.657098752684989,-0.05652777777777773,0.5045419876351291,0.003910951554583268,2.385050924139293,0.3201429036449769,0.00012636207348610715
WFC230421C00036500,2023-04-07,10:00:00,2023-04-21,2.335,2.32,2.35,36.5,14,c,2105,0.4852899800300138,0.6856444289572661,0.09723520869364677,-0.04716055638075067,81,0.7720987526849887,-0.042054794520547834,0.4855887722230708,0.01844774280576066,2.0165900511051675,0.2961027848865609,0.0004957212059135106
WFC230421C00037000,2023-04-07,10:00:00,2023-04-21,1.975,1.96,1.99,37.0,14,c,3556,0.4795983931774836,0.6371436523355478,0.10656254117114017,-0.04812140103864104,35,0.9120987526849889,-0.027972972972972965,0.46848765616704907,0.05745710031404193,1.6814063989594505,0.5481925914197272,0.0026082404095175127
WFC230421C00037500,2023-04-07,10:00:00,2023-04-21,1.645,1.63,1.66,37.5,14,c,6555,0.4626926291613742,0.583004171691881,0.11452620239271738,-0.04847858560494123,8,1.0820987526849888,-0.01426666666666665,0.4536552460386955,0.09581402518767354,1.3818520879649698,1.0860364395059443,0.008017591844795682
WFC230421C00038000,2023-04-07,10:00:00,2023-04-21,1.3450000000000002,1.33,1.36,38.0,14,c,2241,0.4547755788955261,0.5243019580840391,0.12053433074754594,-0.04793063980196366,88,1.282098752684989,-0.0009210526315788226,0.439912171018654,0.03905714209153495,1.119042307285916,0.3907684197078856,0.0011173377718102968
WFC230421C00038500,2023-04-07,10:00:00,2023-04-21,1.0750000000000002,1.06,1.09,38.5,14,c,2665,0.4428430597582704,0.4621299227029696,0.12405671686588349,-0.04626415474952972,15,1.512098752684989,0.012077922077922132,0.42637754019370155,-0.09210075877292445,0.8927993566349839,0.47828233190515457,-0.0031333043648316752
WFC230421C00039000,2023-04-07,10:00:00,2023-04-21,0.845,0.84,0.85,39.0,14,c,5195,0.4344264220104279,0.39867749729835533,0.12366217658654755,-0.043745160274737516,73,1.7820987526849887,0.02474358974358981,0.4158141552582876,-0.11243962352716982,0.7017333851852371,0.9293713481283438,-0.00745670731616793
WFC230421C00039500,2023-04-07,10:00:00,2023-04-21,0.66,0.65,0.67,39.5,14,c,1237,0.4327543937860064,0.3376397329007186,0.11872967270010193,-0.040699109487140395,154,2.097098752684989,0.03708860759493682,0.41005933392838245,-0.04465418774768523,0.5434358710746695,0.21246911621144482,-0.0007051378966251198
WFC230421C00040000,2023-04-07,10:00:00,2023-04-21,0.495,0.49,0.5,40.0,14,c,26068,0.4226073952706075,0.2776129683872558,0.1115273102464398,-0.03630503912057992,327,2.432098752684989,0.049125000000000085,0.40050302840388763,-0.006951101711904668,0.4147466313098663,4.205869388811631,-0.0023131485174320184
WFC230421C00040500,2023-04-07,10:00:00,2023-04-21,0.365,0.35,0.38,40.5,14,c,1278,0.4201516345566455,0.22293033339762514,0.10109491096366163,-0.031553138604133946,26,2.802098752684989,0.06086419753086425,0.39325753567451416,-0.00045517192275198494,0.3120498843394613,0.18690761212655257,-7.425889471214393e-06
WFC230421C00041000,2023-04-07,10:00:00,2023-04-21,0.27,0.26,0.28,41.0,14,c,5384,0.416574792684828,0.17681293312641622,0.08855309116706511,-0.027076228954082182,8,3.207098752684989,0.07231707317073177,0.3904763596449255,-1.5364397661643605e-05,0.23155880454580116,0.6897244448910042,-1.0559971654604955e-06
WFC230421C00041500,2023-04-07,10:00:00,2023-04-21,0.2,0.19,0.21,41.5,14,c,5418,0.4245118576169961,0.13886938126067144,0.07558154628412028,-0.02293033789091778,1,3.637098752684989,0.08349397590361451,0.39031468469307606,-3.023657143531599e-07,0.16955826315955294,0.592408954669836,-2.0912873346717243e-08
WFC230421C00042000,2023-04-07,10:00:00,2023-04-21,0.15,0.14,0.16,42.0,14,c,899,0.4224880378332537,0.10900679233391414,0.06334923589174091,-0.01934707325783236,21,4.087098752684989,0.09440476190476199,0.39303805224665744,-4.3437146950315255e-09,0.1225884224688588,0.08238874999496591,-4.9849768520859084e-11
WFC230421C00042500,2023-04-07,10:00:00,2023-04-21,0.11,0.1,0.12,42.5,14,c,11600,0.4283754917951896,0.08386121253830744,0.052062296032467925,-0.015879849427080317,26,4.547098752684989,0.10505882352941187,0.3943630558903732,-3.3988591662401715e-11,0.08756428594778562,0.873671457473855,-5.033074061964775e-12
WFC230421C00043000,2023-04-07,10:00:00,2023-04-21,0.0849999999999999,0.08,0.09,43.0,14,c,10840,0.4373684383971339,0.06644277085616143,0.04285515009930241,-0.013424224229587375,1,5.022098752684989,0.11546511627906986,0.40112424906173794,-3.778191589234023e-13,0.0618360188529061,0.6720462219119381,-5.228238866126479e-14
WFC230421C00043500,2023-04-07,10:00:00,2023-04-21,0.065,0.06,0.07,43.5,14,c,1541,0.4415163142734616,0.052146676565483635,0.03493383390604232,-0.01117398820286497,5,5.502098752684989,0.1256321839080461,0.40690570660991876,-3.0345054568674772e-15,0.0432009097303889,0.0778781687697435,-5.969428073732351e-17
WFC230421C00044000,2023-04-07,10:00:00,2023-04-21,0.055,0.05,0.06,44.0,14,c,1105,0.4589673607245052,0.043893012083934604,0.02945148495782368,-0.010000963708695305,1,5.9920987526849885,0.13556818181818187,0.4204674453883157,-8.893755535309709e-17,0.029880363109481063,0.04707998504440547,-1.2545547754933323e-18
WFC230421C00045000,2023-04-07,10:00:00,2023-04-21,0.035,0.03,0.04,45.0,14,c,19840,0.4795044823029598,0.028606530127818844,0.01996603420505172,-0.007210752991464033,16,6.972098752684989,0.1547777777777779,0.43666653143748374,-1.1493684578735044e-20,0.013909545458875868,0.5730602960292048,-2.9110060270138316e-21
WFC230421C00046000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,46.0,14,c,407,0.5045443228605861,0.020329265428096002,0.014252788758314927,-0.005626151578164075,2,7.962098752684989,0.1731521739130436,0.45914453613571937,-7.357928648017773e-24,0.006271898303598504,0.008391915435821429,-3.8228930073820285e-26
WFC230421P00030000,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,30.0,14,p,5011,0.7214596868291111,-0.02417887079565091,0.011995698326536242,-0.008981840346279989,430,8.107901247315011,-0.26783333333333315,0.631503382093783,2.1756420360115377e-22,0.00021192756857039833,-0.0869594490069806,-1.3917268508231488e-23
WFC230421P00031000,2023-04-07,10:00:00,2023-04-21,0.065,0.06,0.07,31.0,14,p,1925,0.6768704441132701,-0.03523014268840552,0.017408784339922878,-0.011681625629471094,6,7.127901247315012,-0.22693548387096762,0.5948306384782778,6.552652091095032e-19,0.0012138830296582856,-0.04848038056198577,-1.610237757745641e-20
WFC230421P00032000,2023-04-07,10:00:00,2023-04-21,0.0849999999999999,0.08,0.09,32.0,14,p,1327,0.6205983312730357,-0.047966765389301225,0.024342761265339075,-0.01388362372383889,13,6.147901247315011,-0.1885937499999999,0.5463106921376147,4.084388881325374e-16,0.0054747259162336035,-0.04673127216006131,-6.918949651755568e-18
WFC230421P00032500,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,32.5,14,p,12590,0.5931527509699734,-0.055247158139291874,0.028680236795475267,-0.014801078661762432,3,5.657901247315011,-0.17030769230769227,0.5188281277643069,7.41304619799772e-15,0.010706982615619557,-0.5223664839825288,-1.1914192119566534e-15
WFC230421P00033000,2023-04-07,10:00:00,2023-04-21,0.1149999999999999,0.11,0.12,33.0,14,p,2306,0.5755565666789078,-0.06714587103374067,0.034660076854570177,-0.01669145439711965,15,5.1779012473150114,-0.15257575757575736,0.5000227000258589,3.637408022474233e-13,0.019895646940180676,-0.11562604358980742,-1.0707633196393816e-14
WFC230421P00033500,2023-04-07,10:00:00,2023-04-21,0.145,0.14,0.15,33.5,14,p,965,0.5537006529013309,-0.08365296450072446,0.0421674454575971,-0.019282251719769272,55,4.707901247315011,-0.13537313432835818,0.48599494461133713,2.5667766352068438e-11,0.03522463045629355,-0.05886693801027981,-3.1619686002116135e-13
WFC230421P00034000,2023-04-07,10:00:00,2023-04-21,0.175,0.17,0.18,34.0,14,p,8723,0.5321941204943073,-0.10133858915426647,0.05064241966584726,-0.021413002833706007,102,4.237901247315011,-0.11867647058823527,0.466380727245124,9.488207308047324e-10,0.05958316548537818,-0.6390681321476279,-1.0565552191720199e-10
WFC230421P00034500,2023-04-07,10:00:00,2023-04-21,0.22,0.21,0.23,34.5,14,p,1920,0.5243585132092544,-0.12552882829685863,0.060873416050100104,-0.02428439463521423,69,3.7829012473150114,-0.10246376811594193,0.4520283963816604,4.474996575569034e-08,0.09655171375906552,-0.16908136441530713,-1.096821861783547e-09
WFC230421P00035000,2023-04-07,10:00:00,2023-04-21,0.28,0.27,0.29,35.0,14,p,11832,0.503987676728182,-0.15594488796343842,0.07248858782227252,-0.027490797876694117,35,3.3429012473150115,-0.08671428571428552,0.43985496251912165,1.7874755322840843e-06,0.1502811869168549,-1.2407795909746078,-2.6998549289246986e-07
WFC230421P00035500,2023-04-07,10:00:00,2023-04-21,0.35,0.34,0.36,35.5,14,p,1730,0.4891338186447372,-0.1911328655269634,0.08532688826556889,-0.03035674748749706,3,2.9129012473150113,-0.07140845070422519,0.4253700180145272,4.460275753758054e-05,0.2252598998375152,-0.2135496442174114,-9.850311732886777e-07
WFC230421P00036000,2023-04-07,10:00:00,2023-04-21,0.445,0.44,0.45,36.0,14,p,5101,0.4821296460890118,-0.23474224043010528,0.0987176032568593,-0.03344141625009678,16,2.507901247315011,-0.05652777777777773,0.41456286591398933,0.0008268359374104121,0.32598722508061134,-0.72847854809768,-5.384146026867564e-05
