option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
WFC230616P00045000,WFC230616C00045000,22.200582584846718,0.255,7.025,45.0,38.035,70,0.2929034013501268,0.29537113082910044
WFC230428P00032000,WFC230428C00032000,20.574869746364932,6.475,0.145,32.0,38.035,21,0.6750488240439443,0.5033977226544594
WFC230526P00045000,WFC230526C00045000,18.7311468510182,0.14,7.0,45.0,38.035,49,0.3027402773668872,0.32019001345528963
WFC230421P00032500,WFC230421C00032500,18.454130451324513,5.875,0.095,32.5,38.035,14,0.7128893357888559,0.5188281277643069
WFC230428P00035000,WFC230428C00035000,18.238138785086953,3.725,0.41,35.0,38.035,21,0.5097262847624868,0.41590837070524445
WFC230428P00033000,WFC230428C00033000,17.795959425938435,5.5,0.195,33.0,38.035,21,0.6004623396054128,0.4678366251646957
WFC230421P00034000,WFC230421C00034000,17.675090318308584,4.45,0.175,34.0,38.035,14,0.6050108698184831,0.466380727245124
WFC230428P00036000,WFC230428C00036000,17.45922846466046,2.905,0.595,36.0,38.035,21,0.46935699357756305,0.39147998196892586
WFC230421P00036000,WFC230421C00036000,17.303036807620664,2.72,0.445,36.0,38.035,14,0.5045419876351291,0.41456286591398933
WFC230421P00036500,WFC230421C00036500,17.210023429949352,2.335,0.56,36.5,38.035,14,0.4855887722230708,0.40306549542157616
WFC230428P00037000,WFC230428C00037000,17.18031814423402,2.175,0.865,37.0,38.035,21,0.4383859166112083,0.3699163301671393
WFC230428P00030000,WFC230428C00030000,17.13269038721723,8.375,0.0849999999999999,30.0,38.035,21,0.7873106231599308,0.5789684560869488
