symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
WM230421C00157500,2023-04-07,10:00:00,2023-04-21,5.8,5.6,6.0,157.5,14,c,113,0.1941703671215676,0.8862212317059193,0.04067039454547228,-0.04362159753086914,3,0.2522641087009161,-0.03393650793650793,0.14689308873909523,2.2152129963233827e-08,6.193193912978872,0.1218724904665804,7.30573966170072e-11
WM230421C00160000,2023-04-07,10:00:00,2023-04-21,3.75,3.6,3.9,160.0,14,c,1928,0.178782809152928,0.7489692975276352,0.06812722352478318,-0.06310903343018781,10,0.7022641087009163,-0.01778125000000008,0.14533421422743784,0.005439963871710883,4.252682032938599,3.4831852813249147,0.00030610702955272264
WM230421C00162500,2023-04-07,10:00:00,2023-04-21,2.175,2.05,2.3,162.5,14,c,231,0.176503626092078,0.5513867887657176,0.08329509357363207,-0.07489333373272578,49,1.627264108700916,-0.0021230769230768942,0.14779633010000742,0.26975691908200516,2.6929721885695055,0.5102467619274051,0.0018186738854167165
WM230421C00165000,2023-04-07,10:00:00,2023-04-21,1.025,0.95,1.1,165.0,14,c,9870,0.1656368785113192,0.34104213421144447,0.0800484328777884,-0.06470129360800003,2,2.977264108700916,0.013060606060606106,0.142648994930697,-0.1348101084811843,1.5847678940036423,20.95167958423502,-0.038833798143850795
WM230421C00167500,2023-04-07,10:00:00,2023-04-21,0.375,0.25,0.5,167.5,14,c,118,0.1588763607481955,0.1629362179978472,0.05586230535425951,-0.0403453729656732,24,4.827264108700916,0.027791044776119378,0.1372184496341801,-1.1818180347223178e-05,0.8914207968348997,0.17480333686963945,-4.0700793698408263e-08
WM230421C00170000,2023-04-07,10:00:00,2023-04-21,0.15,0.05,0.25,170.0,14,c,493,0.1670728149113209,0.07329837780866988,0.02997586009301223,-0.023165466054733297,1,7.102264108700917,0.04208823529411765,0.144474411590429,-6.962800578388479e-12,0.4981826020957368,0.3918929307179949,-1.0018463816774136e-13
WM230421P00140000,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,140.0,14,p,1010,0.4497414500586271,-0.02492425756048522,0.004512759161912072,-0.024920600906234977,2,23.172735891299084,-0.1631785714285714,0.40222606009809814,6.496135506702557e-22,0.005730165886177857,-0.12086829264014358,-1.9149026815390674e-23
WM230421P00145000,2023-04-07,10:00:00,2023-04-21,0.15,0.1,0.2,145.0,14,p,3544,0.369902914376228,-0.03461128038363126,0.007148601882112082,-0.027290641795296486,1,18.197735891299082,-0.12306896551724145,0.33348210762350844,8.041035502360194e-19,0.025851747054537536,-0.6718366339197329,-8.317177132067135e-20
WM230421P00148000,2023-04-07,10:00:00,2023-04-21,0.15,0.05,0.25,148.0,14,p,7,0.3136902953063833,-0.03982972172326543,0.009389539754878218,-0.026151306331658103,1,15.197735891299084,-0.10030405405405407,0.28476552335497707,1.7384149223818675e-17,0.05992057467411033,-0.0017429751772106658,-3.5515811252923894e-21
WM230421P00150000,2023-04-07,10:00:00,2023-04-21,0.25,0.1,0.4,150.0,14,p,1180,0.3133187069659586,-0.0625389315677502,0.013639079550209487,-0.03734302288468669,28,13.297735891299084,-0.08563333333333323,0.28088445689253116,1.5991890559769184e-13,0.10168330299984109,-0.42679166247930134,-5.507469165281615e-15
WM230421P00152500,2023-04-07,10:00:00,2023-04-21,0.2,0.1,0.3,152.5,14,p,118,0.2496547737549275,-0.06277702127210627,0.01710137974286763,-0.029792001566476156,2,10.747735891299083,-0.06783606557377042,0.22468168795207394,2.1577507394339872e-13,0.19106358171956664,-0.053513334710597965,-7.431107422465884e-16
WM230421P00155000,2023-04-07,10:00:00,2023-04-21,0.325,0.25,0.4,155.0,14,p,1107,0.2236744290594762,-0.10193506794601292,0.026983594404450528,-0.03950531039973881,1,8.372735891299083,-0.05061290322580647,0.20534337107959405,2.3971238611409396e-09,0.35344569054658936,-0.7921296656951015,-7.744766949904982e-11
WM230421P00157500,2023-04-07,10:00:00,2023-04-21,0.575,0.5,0.65,157.5,14,p,66,0.2047122609369979,-0.17268898303041125,0.04190689781413681,-0.052599145965195104,2,6.122735891299084,-0.03393650793650793,0.1898887479729613,2.118836997634518e-05,0.6557782947534111,-0.0733463160731712,-4.0814242563968865e-08
