symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLE230421C00078000,2023-04-07,10:00:00,2023-04-21,8.575,8.5,8.65,78.0,14,c,3405,0.4189865834491838,0.9780428170034661,0.0112409384378509,-0.011624488406114963,2,0.019423936374391104,-0.1087179487179486,0.26286005017518094,2.4671514091445378e-23,8.595115851926113,0.28625365953074694,3.069784825407446e-24
XLE230421C00079000,2023-04-07,10:00:00,2023-04-21,7.625,7.55,7.7,79.0,14,c,9385,0.3965128665638276,0.95609776083041,0.019518478957536445,-0.018622606201413205,1,0.06942393637439181,-0.09468354430379744,0.2740108705578445,8.441929693592944e-17,7.639731476315894,1.3699717434763663,2.895149692210762e-17
XLE230421C00079500,2023-04-07,10:00:00,2023-04-21,7.15,7.1,7.2,79.5,14,c,923,0.3853890912185532,0.9453521500641493,0.023480191941871453,-0.0214793142943126,12,0.09442393637439217,-0.08779874213836458,0.2723782761822053,7.902872027984506e-15,7.170844583933395,0.16208196966047858,2.6655182857479644e-16
XLE230421C00080000,2023-04-07,10:00:00,2023-04-21,6.675,6.6,6.75,80.0,14,c,11082,0.3743404966830647,0.934363320072551,0.027613600712683706,-0.02400212533489743,14,0.11942393637439164,-0.08099999999999996,0.2680548792828774,3.241710964565707e-13,6.709323827711473,2.288613990331368,1.3127663969558675e-13
XLE230421C00080500,2023-04-07,10:00:00,2023-04-21,6.199999999999999,6.1,6.3,80.5,14,c,1020,0.3624484695562764,0.9229245587755841,0.032063288237793586,-0.026220364947878494,3,0.1444239363743911,-0.07428571428571407,0.26166807826252764,7.85700908054223e-12,6.256410329933993,0.24459050451054842,2.928548646623949e-13
XLE230421C00081000,2023-04-07,10:00:00,2023-04-21,5.699999999999999,5.6,5.8,81.0,14,c,2315,0.3380993368520531,0.918655569425475,0.035823236839149786,-0.025682575263274998,20,0.1444239363743911,-0.06765432098765412,0.24410287686835094,2.3929880983446808e-11,5.813418926165237,0.6202220206665308,2.0243544175168953e-12
XLE230421C00081500,2023-04-07,10:00:00,2023-04-21,5.300000000000001,5.2,5.4,81.5,14,c,845,0.3395520890587216,0.8840790882216787,0.043770805007170566,-0.03410976359878948,1,0.24442393637439253,-0.06110429447852739,0.25984442239158023,1.6560018468815865e-08,5.381713897619334,0.2766130114632747,5.113432665752019e-10
XLE230421C00082000,2023-04-07,10:00:00,2023-04-21,4.875,4.8,4.95,82.0,14,c,9569,0.3346081646927487,0.8580686669282134,0.05018120655897462,-0.03896617479891784,1,0.3194239363743918,-0.05463414634146324,0.26118712660758314,5.657410877251441e-07,4.962680044040746,3.591195231885209,1.9782414229444355e-07
XLE230421C00082500,2023-04-07,10:00:00,2023-04-21,4.475,4.4,4.55,82.5,14,c,1418,0.336063095311755,0.8268978603799493,0.05646596535235915,-0.04451719413541788,10,0.41942393637439146,-0.0482424242424242,0.264773713582631,1.4455375584849945e-05,4.557690112495654,0.5988173155984098,7.490324394383115e-07
XLE230421C00083000,2023-04-07,10:00:00,2023-04-21,4.05,4.0,4.1,83.0,14,c,5844,0.3248041016498407,0.8004928433212211,0.06302923124756887,-0.04740039697834675,1,0.49442393637439164,-0.04192771084337332,0.2591875060323276,0.00012902413207392904,4.168069906358715,2.7547588015486917,2.7553461686076944e-05
