option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLE230519P00104000,XLE230519C00104000,75.43244404311551,0.055,17.75,104.0,86.47999999999999,42,0.2550280029945302,0.4008468557372278
XLE230616P00100000,XLE230616C00100000,69.66796129965988,0.51,13.8,100.0,86.47999999999999,70,0.2534507618126048,0.28703545200215286
XLE230519P00102000,XLE230519C00102000,65.31835858074774,0.095,15.7,102.0,86.47999999999999,42,0.25342075501610506,0.35852908074575973
XLE230519P00100000,XLE230519C00100000,57.2042731183803,0.1649999999999999,13.7,100.0,86.47999999999999,42,0.25306441052264256,0.32468872074529986
XLE230519P00099000,XLE230519C00099000,54.147230387196466,0.215,12.725,99.0,86.47999999999999,42,0.252857168735495,0.3116700952814952
XLE230519P00098000,XLE230519C00098000,49.59018765601275,0.28,11.75,98.0,86.47999999999999,42,0.2530648549157827,0.29797978723012036
XLE230519P00097000,XLE230519C00097000,48.533144924828875,0.36,10.825,97.0,86.47999999999999,42,0.2529964244911521,0.29131875812349267
XLE230616P00097000,XLE230616C00097000,46.38792246066927,0.915,11.0,97.0,86.47999999999999,70,0.2584730102733851,0.2622043645266493
XLE230616P00096000,XLE230616C00096000,41.961242847672864,1.1,10.15,96.0,86.47999999999999,70,0.26059559713642294,0.25997464932437186
XLE230616P00094000,XLE230616C00094000,39.607883621679996,1.5550000000000002,8.6,94.0,86.47999999999999,70,0.26504783736245324,0.2626222210261261
XLE230519P00096000,XLE230519C00096000,39.47610219364499,0.47,9.85,96.0,86.47999999999999,42,0.25467596690029265,0.27580511330176544
XLE230421P00096000,XLE230421C00096000,37.35856851301058,0.035,9.75,96.0,86.47999999999999,14,0.2572033104888198,0.4017829121153748
