symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLF230421C00029000,2023-04-07,10:00:00,2023-04-21,3.05,3.0,3.1,29.0,14,c,1599,0.3754448878344177,0.9658990308776039,0.04217829431052422,-0.006557184841912811,6,0.017962970888642182,-0.10327586206896533,0.2793324382597017,4.559985086025031e-19,3.0337170027194067,0.0690401467214334,3.4047398462451994e-21
XLF230421C00030000,2023-04-07,10:00:00,2023-04-21,2.0999999999999996,2.07,2.13,30.0,14,c,9588,0.3181498750366582,0.9062255146738529,0.10290489043995876,-0.011469644511763466,2,0.067962970888642,-0.0665,0.25635457379390525,3.5919102388526116e-10,2.0771084825153645,1.0100160356848942,1.608146270704741e-11
XLF230421C00030500,2023-04-07,10:00:00,2023-04-21,1.665,1.63,1.7,30.5,14,c,917,0.3021915785246954,0.8414684955780571,0.15034848152017943,-0.015621279939082244,4,0.1329629708886424,-0.049016393442622874,0.25413749880352,3.762358308575871e-06,1.6342732099092339,0.1411343121236223,1.6110222417182147e-08
XLF230421C00031000,2023-04-07,10:00:00,2023-04-21,1.27,1.26,1.28,31.0,14,c,18967,0.2937948587973277,0.7521649127675722,0.19830171140711172,-0.019701744573890956,88,0.23796297088864238,-0.03209677419354828,0.25233921199294196,0.002642235079734382,1.2331436802860278,3.850253599395327,0.00023401416472783963
XLF230421C00031500,2023-04-07,10:00:00,2023-04-21,0.9,0.89,0.91,31.5,14,c,16396,0.2773795895159124,0.6469295032871358,0.24562620364654286,-0.021650029569725393,88,0.3679629708886424,-0.01571428571428557,0.23947541279445456,0.09757278764009916,0.8872612313489422,4.122653497395429,0.007470310783529437
XLF230421C00032000,2023-04-07,10:00:00,2023-04-21,0.59,0.58,0.6,32.0,14,c,38191,0.2638767665451956,0.5174762156787527,0.2765058373255247,-0.021849085290665204,180,0.5579629708886423,0.00015625000000007994,0.22828025372393368,0.06103269517760064,0.6058756567905711,10.810096312680498,0.010884177763496766
XLF230421C00032500,2023-04-07,10:00:00,2023-04-21,0.345,0.34,0.35,32.5,14,c,33066,0.2487770357354606,0.3744968703474183,0.2780429927984329,-0.01939537633991001,177,0.8129629708886423,0.015538461538461612,0.2159535522771671,-0.16311692342421508,0.39129341945025936,9.411478293842215,-0.025185624864856444
XLF230421C00033000,2023-04-07,10:00:00,2023-04-21,0.18,0.17,0.19,33.0,14,c,76913,0.2370299383090646,0.23900708493303918,0.2374278211927927,-0.01496015206544865,56,1.1479629708886423,0.030454545454545512,0.20698155765974482,-0.002155890055917488,0.2385065526117571,18.693713720683395,-0.0007742806537994276
XLF230421C00033500,2023-04-07,10:00:00,2023-04-21,0.0849999999999999,0.08,0.09,33.5,14,c,13045,0.2301776806549644,0.1344471318562586,0.16987023121153855,-0.009980723822830148,6,1.5529629708886423,0.04492537313432843,0.20195779702351427,-3.3236939640495325e-07,0.13710610535104534,2.268431087247988,-2.02459033469555e-08
XLF230421C00034000,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,34.0,14,c,84805,0.2396581811687158,0.07701288201609618,0.10944177935054422,-0.006751763358016312,20,2.0129629708886423,0.05897058823529422,0.20913464388157818,-1.2486779255244289e-11,0.0743684736347092,9.500989384969602,-4.944745456437888e-12
XLF230421C00034500,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,34.5,14,c,1009,0.2479570592952838,0.04476993042976853,0.06832345783230193,-0.0045274105963460515,1,2.4929629708886423,0.07260869565217398,0.2189393403296574,-2.5255811148472103e-16,0.03812209061342359,0.07057083125305398,-1.189938551719523e-18
XLF230421P00028000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,28.0,14,p,19448,0.4091480655656186,-0.027765181894536667,0.02784200166652817,-0.004848947300405006,102,4.057037029111358,-0.14267857142857143,0.36314458116957177,7.163319310378446e-21,0.0006265931378928072,-0.554293301109785,-6.505209743471594e-22
XLF230421P00029000,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,29.0,14,p,129239,0.3507402347108683,-0.05224285811709743,0.05342950759094911,-0.007179497609011223,32,3.0770370291113576,-0.10327586206896533,0.316761108155805,3.943096884558196e-15,0.007320373714134482,-7.0686908749711,-2.3795952013133867e-15
XLF230421P00030000,2023-04-07,10:00:00,2023-04-21,0.105,0.1,0.11,30.0,14,p,107800,0.3161435822811385,-0.11642393010176805,0.10871572883069947,-0.012035605412825959,21,2.1370370291113576,-0.0665,0.2853961538725727,1.8847560294763763e-08,0.048851585956653606,-11.997074936787333,-9.487372435872724e-09
XLF230421P00030500,2023-04-07,10:00:00,2023-04-21,0.165,0.16,0.17,30.5,14,p,112986,0.2977957289405244,-0.1739462802541905,0.1491998240685244,-0.015149942283374296,29,1.6970370291113577,-0.049016393442622874,0.272708275871373,1.6488448510900354e-05,0.1050861795738037,-17.25667713815342,-8.699143070712464e-06
XLF230421P00031000,2023-04-07,10:00:00,2023-04-21,0.25,0.24,0.26,31.0,14,p,98165,0.2801947137047129,-0.25107180252536,0.19604813283724543,-0.01773732133269118,213,1.2820370291113576,-0.03209677419354828,0.2573964194662522,0.003155654411795713,0.20302651617387807,-19.700788579346867,-0.0014464990545920591
XLF230421P00031500,2023-04-07,10:00:00,2023-04-21,0.38,0.37,0.39,31.5,14,p,23535,0.2657071718526184,-0.35473598888582647,0.24146353899634487,-0.01955146263308688,46,0.9120370291113576,-0.01571428571428557,0.24418740576692968,0.09995247093620376,0.3562139334600736,-5.817414287511893,-0.010984487142735916
XLF230421P00032000,2023-04-07,10:00:00,2023-04-21,0.5700000000000001,0.56,0.58,32.0,14,p,75193,0.2522828103388784,-0.48181282901887945,0.27085032652029994,-0.0196752269990631,19,0.6020370291113577,0.00015625000000007994,0.23304675465630692,0.059499899356397344,0.5738982251249831,-20.848317142088458,-0.020891310836135924
