symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLI230421C00084000,2023-04-07,10:00:00,2023-04-21,14.45,14.35,14.55,84.0,14,c,8,0.4672888457181497,0.9797887267179561,0.0062062758487968495,-0.01969358913040864,9,0.030377447659898138,-0.17005952380952372,0.397661842151216,4.2662855062746635e-24,14.392813110689849,0.00047961807940411643,5.271791301489238e-28
XLI230421C00086000,2023-04-07,10:00:00,2023-04-21,12.425,12.3,12.55,86.0,14,c,5,0.3761272567886863,0.9863119084942085,0.005599344063966782,-0.014488580425220832,5,0.005377447659899559,-0.1428488372093022,0.3124249482813613,8.414896695600571e-28,12.396726659755709,0.00027044667278235883,6.498858775618829e-32
XLI230421C00088000,2023-04-07,10:00:00,2023-04-21,10.475,10.4,10.55,88.0,14,c,2,0.3609366446243543,0.9682329613623253,0.011727434277020166,-0.022105912661610105,2,0.05537744765989849,-0.11687500000000006,0.3098087114177285,1.0326638788291268e-19,10.402193886433794,0.00022657265167213035,3.1901219724786057e-24
XLI230421C00089000,2023-04-07,10:00:00,2023-04-21,9.5,9.4,9.6,89.0,14,c,5,0.3442162997946496,0.9585908602272042,0.015182520982648384,-0.025132941078529925,2,0.08037744765989885,-0.10432584269662915,0.2982458195787366,2.882339561745798e-17,9.407325979148984,0.0007333113016985631,2.2260425092275136e-21
XLI230421C00090000,2023-04-07,10:00:00,2023-04-21,8.475,8.35,8.6,90.0,14,c,28,0.297429306833158,0.9639208176948522,0.015852414367856227,-0.021165902083833288,2,0.05537744765989849,-0.09205555555555556,0.25491316084376625,1.8754575676913524e-18,8.416790295988744,0.004287734949899426,8.111171432371592e-22
XLI230421C00091000,2023-04-07,10:00:00,2023-04-21,7.550000000000001,7.45,7.65,91.0,14,c,153,0.3061384621670083,0.9361756659075127,0.024208385678292643,-0.029886133920195235,1,0.13037744765989956,-0.08005494505494504,0.2647920194664115,2.1695368341252069e-13,7.434864193961513,0.035779292169079116,5.127158757945801e-16
XLI230421C00092000,2023-04-07,10:00:00,2023-04-21,6.575,6.45,6.7,92.0,14,c,68,0.2791043375201582,0.9224628136601964,0.030527695464854787,-0.03159863686546238,2,0.15537744765989903,-0.06831521739130442,0.24415842088989184,1.0610113636682927e-11,6.4685703142847,0.020052910586913344,1.1144157837327094e-14
XLI230421C00093000,2023-04-07,10:00:00,2023-04-21,5.625,5.5,5.75,93.0,14,c,5043,0.2610736858510628,0.8989263352702004,0.039739251587178614,-0.035081176437606665,1,0.20537744765989885,-0.056827956989247363,0.22878619336416733,1.679851843252116e-09,5.528286229731981,1.9359009631784452,1.3085136422526985e-10
XLI230421C00094000,2023-04-07,10:00:00,2023-04-21,4.725,4.65,4.8,94.0,14,c,161,0.2505916035788284,0.8587175511320932,0.05217508211252664,-0.041208639004236325,1,0.3053774476598985,-0.045585106382978635,0.22090486432850417,6.525163926024056e-07,4.627776448753523,0.08114532448526553,1.6226901840140956e-09
XLI230421C00095000,2023-04-07,10:00:00,2023-04-21,3.875,3.8,3.95,95.0,14,c,7091,0.2433685520778237,0.8036449499199572,0.06639885308690197,-0.04792711275614803,2,0.45537744765989885,-0.03457894736842104,0.21476777940577857,0.00012710842869893474,3.783326872826262,4.5482313482468255,1.3921952314360671e-05
XLI230421C00095500,2023-04-07,10:00:00,2023-04-21,3.23,2.96,3.5,95.5,14,c,434,0.1902655887801466,0.8224913779996346,0.07980996302059395,-0.037279904199519986,1,0.31037744765989883,-0.02916230366492134,0.16782379959457802,3.522401747430824e-05,3.387467439739265,0.3345964455455887,2.361276929155662e-07
XLI230421C00096000,2023-04-07,10:00:00,2023-04-21,3.015,2.93,3.1,96.0,14,c,1080,0.2221584787627222,0.7442053446707453,0.0837708327106057,-0.050580567495292605,8,0.595377447659899,-0.023802083333333224,0.1978456865119947,0.005048888454053904,3.011906783679971,0.8739590259820591,8.422438292846935e-05
XLI230421C00096500,2023-04-07,10:00:00,2023-04-21,2.62,2.54,2.7,96.5,14,c,297,0.2152221725017553,0.7050006370998618,0.09274892041499783,-0.05211389908626485,4,0.700377447659899,-0.01849740932642474,0.1917355262723612,0.02611648656766288,2.658458131272308,0.2660968886076513,0.0001198090175680349
XLI230421C00097000,2023-04-07,10:00:00,2023-04-21,2.245,2.16,2.33,97.0,14,c,752,0.2110495389013613,0.6605115976322518,0.10157198393923039,-0.053152664843267416,5,0.825377447659899,-0.013247422680412235,0.18585253835489404,0.09575650419082718,2.328654336085498,0.7378469050096262,0.001112255161556967
XLI230421C00097500,2023-04-07,10:00:00,2023-04-21,1.935,1.88,1.99,97.5,14,c,196,0.2076912481847663,0.6078487584647796,0.10661472932049776,-0.05509035670071727,30,1.015377447659899,-0.008051282051281916,0.18583033508038782,0.2176701449899452,2.023678502067408,0.2018588357152373,0.0006589815330917851
XLI230421C00098000,2023-04-07,10:00:00,2023-04-21,1.62,1.57,1.67,98.0,14,c,1502,0.2036432650810381,0.554290750423525,0.11221001697148125,-0.05492036177407722,9,1.200377447659899,-0.002908163265306074,0.18162528165349454,0.22429229377841964,1.7443112230719109,1.6280811375387436,0.005203584261744839
XLI230421C00098500,2023-04-07,10:00:00,2023-04-21,1.33,1.28,1.38,98.5,14,c,418,0.1990873519121255,0.497402266929281,0.11611836452596336,-0.053647143438315226,197,1.410377447659899,0.002182741116751319,0.17716873614978043,-0.028764765638109657,1.4908983579066082,0.4688691689619231,-0.000185718611547346
XLI230421C00099000,2023-04-07,10:00:00,2023-04-21,1.07,1.02,1.12,99.0,14,c,1179,0.1926763253224035,0.43801893314977525,0.11759042138015374,-0.051300828819997646,773,1.650377447659899,0.007222222222222241,0.17285286220608365,-0.2741957904638944,1.2633414524789532,1.3392456232440617,-0.004993360191599852
