option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLI230616P00115000,XLI230616C00115000,97.5681554946096,0.075,16.700000000000003,115.0,98.285,70,0.17326504942010695,0.2912026755560986
XLI230616P00110000,XLI230616C00110000,95.93475742962579,0.195,11.85,110.0,98.285,70,0.15669251496311612,0.2400536295922
XLI230616P00109000,XLI230616C00109000,84.00807781662945,0.23,10.775,109.0,98.285,70,0.1519312611702553,0.21915984235835687
XLI230616P00108000,XLI230616C00108000,78.08139820363297,0.3299999999999999,9.825,108.0,98.285,70,0.15460901222125062,0.20923383498876233
XLI230616P00107000,XLI230616C00107000,63.654718590636605,0.4649999999999999,8.825,107.0,98.285,70,0.1577746461187139,0.19441631792884012
XLI230616P00106000,XLI230616C00106000,58.72803897764021,0.63,7.949999999999999,106.0,98.285,70,0.16033671895055968,0.18919682384257894
XLI230519P00110000,XLI230519C00110000,54.274700430218914,0.105,11.75,110.0,98.285,42,0.18189310669491748,0.26136720663379115
XLI230519P00109000,XLI230519C00109000,47.717657699035065,0.115,10.7,109.0,98.285,42,0.17255973005421776,0.23768498301345545
XLI230616P00105000,XLI230616C00105000,44.30135936464392,0.865,7.050000000000001,105.0,98.285,70,0.16531926032680383,0.18062970704286513
XLI230519P00105000,XLI230519C00105000,40.98948677429996,0.36,6.9,105.0,98.285,42,0.16074541272511916,0.19329234516794944
XLI230616P00104000,XLI230616C00104000,40.874679751646156,1.14,6.300000000000001,104.0,98.285,70,0.16959252593474486,0.18118897807555068
