symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLK230421C00137500,2023-04-07,10:00:00,2023-04-21,9.95,9.85,10.05,137.5,14,c,0,0.3069632601361926,0.9800677178921191,0.009493967283447091,-0.022706741712408274,1,0.018087460807844735,-0.07054545454545447,0.17302583170801647,9.043107955428341e-24,10.311203923765426,0.0,0.0
XLK230421C00138000,2023-04-07,10:00:00,2023-04-21,9.5,9.4,9.6,138.0,14,c,321,0.306684339024127,0.9616880399803129,0.014912616332907191,-0.030075588467948222,7,0.06808746080784545,-0.06666666666666665,0.19101394153325313,9.887566429310259e-18,9.85766621334372,0.10372286328318513,9.669796718084463e-20
XLK230421C00138500,2023-04-07,10:00:00,2023-04-21,9.025,8.95,9.1,138.5,14,c,23,0.3006407453108075,0.9526805204538746,0.01767067324465188,-0.03307456951982779,13,0.0930874608078458,-0.0628158844765343,0.19145052163559406,7.753005733046437e-16,9.408365851546634,0.008806362372820148,5.432763988358803e-19
XLK230421C00139000,2023-04-07,10:00:00,2023-04-21,8.55,8.45,8.65,139.0,14,c,355,0.2913347581764695,0.94363323209814,0.020452263616022037,-0.03576769921454215,1,0.11808746080784616,-0.05899280575539567,0.19025682409428815,2.7037182393037236e-14,8.96362998300028,0.15732051336277436,2.9242377645283067e-16
XLK230421C00139500,2023-04-07,10:00:00,2023-04-21,8.125,8.05,8.2,139.5,14,c,2,0.2888425175933541,0.9217674046364976,0.025051103520468132,-0.04343880020812385,2,0.19308746080784545,-0.05519713261648729,0.20043493802989468,1.6106279804907114e-11,8.523827265462405,0.0010856066058098802,9.814046983942804e-16
XLK230421C00140000,2023-04-07,10:00:00,2023-04-21,7.699999999999999,7.6,7.8,140.0,14,c,1077,0.2863664952620001,0.9015629073986453,0.02891209582855936,-0.04991665494921982,16,0.26808746080784474,-0.05142857142857138,0.2062555140441748,1.1858752658567825e-09,8.089373917112491,0.6747002917966891,3.8911467661712164e-11
XLK230421C00141000,2023-04-07,10:00:00,2023-04-21,6.85,6.75,6.95,141.0,14,c,228,0.2814632287361867,0.8632112846041817,0.03582206109520314,-0.0602309145182609,43,0.4180874608078451,-0.04397163120567371,0.21036572118030414,4.046471583657988e-07,7.238446526204933,0.17697056492808766,2.8108277953289467e-09
XLK230421C00142000,2023-04-07,10:00:00,2023-04-21,5.949999999999999,5.85,6.05,142.0,14,c,449,0.2673657887146589,0.832758371740594,0.04282795267762651,-0.06447940330498625,1,0.5180874608078447,-0.036619718309859106,0.20117361237495734,1.1675615717534034e-05,6.4152770349716075,0.41666716253972585,1.5971622289636302e-07
XLK230421C00143000,2023-04-07,10:00:00,2023-04-21,5.15,5.05,5.25,143.0,14,c,149,0.2567497982894202,0.7851398331620629,0.05005472090147123,-0.07262943821312984,5,0.7180874608078458,-0.029370629370629286,0.20083772191917176,0.0005043528668370309,5.625178356377327,0.16160207487692238,2.2895158781092555e-06
XLK230421C00144000,2023-04-07,10:00:00,2023-04-21,4.375,4.3,4.45,144.0,14,c,627,0.2491291122267906,0.7333929625692015,0.057222693747860376,-0.07862900079987867,3,0.9430874608078454,-0.022222222222222143,0.1976568894165779,0.008356943949095526,4.874183207092928,0.7774123921560193,0.00015963860634836025
XLK230421C00145000,2023-04-07,10:00:00,2023-04-21,3.675,3.6,3.75,145.0,14,c,5348,0.2438221574808017,0.6729025567162372,0.06321135162412617,-0.08415629303154848,2,1.2430874608078453,-0.015172413793103301,0.1965593729179877,0.06737219233648878,4.168702618898901,7.324906667581535,0.010977285914152746
XLK230421C00146000,2023-04-07,10:00:00,2023-04-21,3.035,2.97,3.1,146.0,14,c,272,0.2373503444528779,0.6073289134975735,0.0678230842332539,-0.08756738606377557,49,1.6030874608078456,-0.008219178082191636,0.19517518183429314,0.2081513125648231,3.5150345803898078,0.39972568859256563,0.0017249279343173277
