option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLK230616P00165000,XLK230616C00165000,115.90213614443812,0.645,18.075,165.0,147.2,70,0.19109884122147006,0.2540670194885802
XLK230616P00160000,XLK230616C00160000,76.26873807945617,1.4449999999999998,13.525,160.0,147.2,70,0.199023189161614,0.2274180275829071
XLK230519P00160000,XLK230519C00160000,69.12683698940967,0.575,13.175,160.0,147.2,42,0.1931499004848374,0.24091563070585675
XLK230616P00155000,XLK230616C00155000,52.63534001447425,2.91,9.8,155.0,147.2,70,0.2116997659503362,0.22492039732639837
XLK230519P00156000,XLK230519C00156000,50.89866606467428,1.285,9.725,156.0,147.2,42,0.20017273105199598,0.224527216136787
XLK230421P00157000,XLK230421C00157000,49.70620058898643,0.12,10.125,157.0,147.2,14,0.1934380426355863,0.2866597450766334
XLK230519P00155000,XLK230519C00155000,46.841623333489046,1.545,8.95,155.0,147.2,42,0.20261688583260645,0.22312932707772237
XLK230519P00154000,XLK230519C00154000,45.78458060230677,1.85,8.25,154.0,147.2,42,0.20571590276901514,0.2245556634389246
XLK230421P00155000,XLK230421C00155000,44.83414707829843,0.19,8.15,155.0,147.2,14,0.17954711879502477,0.24919022718233888
XLK230519P00153000,XLK230519C00153000,43.2275378711215,2.1950000000000003,7.575,153.0,147.2,42,0.20903350653550656,0.22567102652002055
