symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLP230421C00072500,2023-04-07,10:00:00,2023-04-21,2.51,2.42,2.6,72.5,14,c,382,0.1665103852512927,0.9746955010097258,0.04417513112198179,-0.007160154315494438,2,0.007339028136138737,-0.033517241379310336,0.087752440870666,1.9321512453529914e-21,2.6176810026810595,0.09474420923443856,5.671091051198534e-24
XLP230421C00073000,2023-04-07,10:00:00,2023-04-21,2.065,2.0,2.13,73.0,14,c,4132,0.1562452853176887,0.907466617378816,0.10710154963788909,-0.013191749046142842,12,0.062339028136138896,-0.026438356164383725,0.10397166095220066,6.693312923308575e-10,2.179966780997396,2.4846632280897034,2.1250227323644854e-11
XLP230421C00073500,2023-04-07,10:00:00,2023-04-21,1.66,1.59,1.73,73.5,14,c,684,0.1529424668004574,0.8220601973640829,0.15663714537872409,-0.01922623393405387,1,0.15733902813613887,-0.01945578231292533,0.11215823685584807,5.3280814100917916e-05,1.770291338969072,0.6015369738515876,2.8002002604936114e-07
XLP230421C00074000,2023-04-07,10:00:00,2023-04-21,1.29,1.24,1.34,74.0,14,c,4093,0.1497460611769216,0.7261012452889903,0.19496983934219614,-0.023768379544210294,2,0.287339028136139,-0.012567567567567606,0.11535191522327276,0.01928240657384516,1.3978484147143202,4.480439771361417,0.0006064082741774172
XLP230421C00074500,2023-04-07,10:00:00,2023-04-21,0.93,0.89,0.97,74.5,14,c,644,0.1383081097461745,0.6247835240166533,0.23200644381771163,-0.025234385808865167,15,0.427339028136139,-0.005771812080537009,0.11047914135767947,0.306017420788768,1.071384443850291,0.8388752472760992,0.001514238052711794
XLP230421C00075000,2023-04-07,10:00:00,2023-04-21,0.63,0.6,0.66,75.0,14,c,5421,0.131023526438943,0.504420609868117,0.2526804561475693,-0.025045905180719585,13,0.627339028136139,0.0009333333333332305,0.10674520303358537,0.030036308018093268,0.7971070035276073,7.69064074838639,0.0012510886799640287
XLP230421C00075500,2023-04-07,10:00:00,2023-04-21,0.395,0.37,0.42,75.5,14,c,1466,0.1256740745110073,0.3765391820983066,0.2481815616328653,-0.022618515724144805,1,0.892339028136139,0.0075496688741720774,0.10346990262953787,-0.3453599449135726,0.5769500139808544,2.0427487266242315,-0.003890165470051733
XLP230421C00076000,2023-04-07,10:00:00,2023-04-21,0.22,0.2,0.24,76.0,14,c,3131,0.1197464187258075,0.25283711317944657,0.2178068526453858,-0.017896209942573515,10,1.217339028136139,0.014078947368420969,0.09928552945483232,-0.009129504011117229,0.4080403110493562,3.828829895320764,-0.00021963036804722438
XLP230421C00076500,2023-04-07,10:00:00,2023-04-21,0.11,0.09,0.13,76.5,14,c,249,0.115205521817374,0.1506053686633771,0.1645377032330475,-0.012379482673950018,4,1.607339028136139,0.020522875816993413,0.09612806706137349,-4.697875946981171e-06,0.2836174226579036,0.23002563751813612,-8.987999293010574e-09
XLP230421C00077000,2023-04-07,10:00:00,2023-04-21,0.05,0.03,0.07,77.0,14,c,319,0.1121327932371226,0.07985925575982288,0.10664229176803042,-0.007504279280454107,1,2.0473390281361388,0.026883116883116842,0.09419675702421232,-5.549951017475573e-11,0.1949036473167189,0.19099923062754884,-1.3603227811071072e-13
XLP230421C00077500,2023-04-07,10:00:00,2023-04-21,0.025,0.01,0.04,77.5,14,c,8,0.1131575348067968,0.0432637594271262,0.06445789204809899,-0.00462997646647156,7,2.522339028136139,0.03316129032258053,0.09639279422226575,-2.8508216558049064e-16,0.13304621265002645,0.0028951932059817827,-1.7523553310792336e-20
XLP230421P00065000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,65.0,14,p,4229,0.3654994185816255,-0.011809295834175684,0.006406241873715968,-0.0047980039837991345,200,10.02266097186386,-0.15276923076923077,0.32536107059316743,7.022270266310221e-29,5.7691044622848636e-05,-0.152108149255693,-2.2817988833457087e-30
XLP230421P00066000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,66.0,14,p,360,0.3292048237498229,-0.012923052123912059,0.007643032147904016,-0.0047072850819773315,180,9.02266097186386,-0.13530303030303048,0.29485414449924985,5.682255495185394e-28,0.0001850028219693473,-0.015448262920295268,-1.5717569740534894e-30
