symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLRE230421C00033000,2023-04-07,10:00:00,2023-04-21,3.9,3.7,4.1,33,14,c,1,0.4615142873559901,0.9686626866586279,0.030650092575079668,-0.005647003781515725,1,0.018970552756174097,-0.11712121212121196,0.304536573198851,4.187826599831449e-20,3.8791545739029183,4.165434090839619e-05,2.783821906034787e-25
XLRE230421C00034000,2023-04-07,10:00:00,2023-04-21,2.95,2.8,3.1,34,14,c,11,0.4070558350423128,0.9227937196316649,0.06679891342287192,-0.011196456720136805,2,0.06897055275617436,-0.08426470588235269,0.29370058978632485,6.5216645573043426e-12,2.9056164224799876,0.000998597696151157,4.768742794909826e-16
XLRE230421C00035000,2023-04-07,10:00:00,2023-04-21,2.0,1.9,2.1,35,14,c,73,0.3229728488871423,0.8649551105508468,0.12109067470511548,-0.014184184471906613,4,0.11897055275617419,-0.05328571428571416,0.2447909814812171,2.4573151008479503e-07,1.9952067910994802,0.012013292063723816,1.1924398096792089e-10
XLRE230421C00036000,2023-04-07,10:00:00,2023-04-21,1.175,1.1,1.25,36,14,c,103,0.279743109835607,0.7142194558371284,0.20783056190465388,-0.02037207732159274,3,0.29397055275617423,-0.024027777777777537,0.22428910537026828,0.01553836624559012,1.2203890225667557,0.029092102763541534,1.0638865914460839e-05
XLRE230421C00037000,2023-04-07,10:00:00,2023-04-21,0.575,0.5,0.65,37,14,c,433,0.2589770053872799,0.4780328478252327,0.2508973515624735,-0.023086703516561946,68,0.6939705527561741,0.003648648648648778,0.21809564738476406,-0.10892725123043347,0.6486032224817584,0.14764286015804762,-0.00031352862487109685
XLRE230421C00038000,2023-04-07,10:00:00,2023-04-21,0.2,0.15,0.25,38,14,c,237,0.2398660067373029,0.23477933196503625,0.20676786174372852,-0.016408481604569786,5,1.3189705527561741,0.029868421052631766,0.20419683815309803,-0.0017456639478402689,0.2949536459577369,0.06659779635143206,-2.750183965802533e-06
XLRE230421P00031000,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,31,14,p,22,0.8112248698649127,-0.10176753559734131,0.03324737759990981,-0.03303205141482468,1,6.156029447243826,-0.18919354838709657,0.7351358668142788,6.481540958781168e-10,4.881033133955235e-05,-0.000994050740441224,-9.478807588311911e-14
XLRE230421P00033000,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,33,14,p,1030,0.6648305405354829,-0.16185719374728624,0.055346127909028375,-0.03807704856800226,2,4.281029447243826,-0.11712121212121196,0.6089813832317801,2.3517920206320424e-06,0.0053448798137342365,-0.07747345847201466,-1.6102336352963856e-08
XLRE230421P00034000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,34,14,p,198,0.3433474598177449,-0.09106070513094366,0.07111544866711395,-0.013000573223375583,7,2.981029447243826,-0.08426470588235269,0.3167274118853829,1.958401208016577e-10,0.029946460837363652,-0.019136284590485,-2.577624289440232e-13
XLRE230421P00035000,2023-04-07,10:00:00,2023-04-21,0.175,0.15,0.2,35,14,p,590,0.2960656969629821,-0.16121095399562468,0.12173958535532936,-0.017105215177584093,10,2.0560294472438256,-0.05328571428571416,0.2761377619813643,4.928377154955666e-06,0.11767656190341734,-0.09761404423263663,-1.9328969658329002e-08
XLRE230421P00036000,2023-04-07,10:00:00,2023-04-21,0.35,0.3,0.4,36,14,p,379,0.2600935627431712,-0.3002298821389249,0.19427082313394628,-0.02182277751839634,71,1.231029447243826,-0.024027777777777537,0.2460764657772257,0.024821066328179327,0.3409985258172545,-0.10006340260261302,-6.253345178995504e-05
XLRE230421P00037000,2023-04-07,10:00:00,2023-04-21,0.7,0.65,0.75,37,14,p,291,0.2229785552946605,-0.5201637988751728,0.24844781524757664,-0.022168593038412454,11,0.5810294472438258,0.003648648648648778,0.2202569901502928,-0.10648935267169138,0.7673524581788185,-0.0982554496680632,0.00020599274880914436
XLRE230421P00038000,2023-04-07,10:00:00,2023-04-21,1.375,1.3,1.45,38,14,p,267,0.2152808566449537,-0.7371785351923066,0.19484830604099557,-0.018271317676342047,1,0.2560294472438258,0.029868421052631766,0.2294580070179136,-0.006000659654814596,1.411842614101358,-0.0707027607833413,1.0650328746118477e-05
XLRE230421P00039000,2023-04-07,10:00:00,2023-04-21,2.25,2.15,2.35,39,14,p,76,0.2026794329059688,-0.8556618497067792,0.11962221174499632,-0.013657365775233465,1,0.13102944724382581,0.05474358974358984,0.2594156936311886,-7.379735254675974e-07,2.2293702814740177,-0.01235531711947661,3.728268067327235e-10
XLRE230421P00041000,2023-04-07,10:00:00,2023-04-21,4.25,4.1,4.4,41,14,p,1,0.3393049928497014,-0.8970747940441282,0.059639310068249074,-0.016744480152441454,1,0.13102944724382581,0.10085365853658546,0.40903086444818487,-1.149690370569358e-09,4.122357593875264,-8.105150570227714e-05,7.642468384142372e-15
