symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLV230421C00110000,2023-04-07,10:00:00,2023-04-21,22.825,22.7,22.95,110.0,14,c,1,0.5223686306358005,0.9733671105379926,0.004603040153483562,-0.035984230016207874,1,0.0929446010489805,-0.20504545454545453,0.5036129468796735,1.386832677685388e-21,22.68976769478564,8.087922692902927e-05,2.3445718319709903e-26
XLV230421C00114000,2023-04-07,10:00:00,2023-04-21,18.825,18.7,18.95,114.0,14,c,6,0.4312321428546962,0.9700336594455905,0.006136881083307344,-0.03430366583336664,6,0.0929446010489805,-0.16276315789473683,0.41752493815949326,2.1404670313351628e-20,18.697209174114096,0.0006469804927480143,2.1711971990623068e-24
XLV230421C00115000,2023-04-07,10:00:00,2023-04-21,17.799999999999997,17.65,17.95,115.0,14,c,2,0.3858522190459187,0.9735137075592704,0.006047461873492921,-0.03003362070643334,1,0.06794460104897837,-0.15265217391304353,0.38152488406645596,1.627844585821364e-21,17.699070646982168,0.00021251782513377686,5.504050523402899e-26
XLV230421C00117000,2023-04-07,10:00:00,2023-04-21,15.825,15.7,15.95,117.0,14,c,4,0.3650446915444147,0.9666574405062356,0.00791220335472076,-0.03295575969822018,3,0.0929446010489805,-0.1329487179487181,0.35427626709252397,2.478645215439501e-19,15.702810175111502,0.0005560958577785063,1.6761536837358733e-23
XLV230421C00118000,2023-04-07,10:00:00,2023-04-21,14.85,14.75,14.95,118.0,14,c,6,0.3642227188320238,0.9604276891185037,0.009359593953206513,-0.03598329179213344,6,0.11794460104898086,-0.12334745762711874,0.3453287783991314,9.476132186075153e-18,14.7047164543274,0.0009867348944137295,9.612178725087265e-22
XLV230421C00119000,2023-04-07,10:00:00,2023-04-21,13.85,13.75,13.95,119.0,14,c,1,0.3403922873367625,0.9586224424647405,0.010345750727225322,-0.03544094765725525,1,0.11794460104898086,-0.11390756302521021,0.32410086165554725,2.566572318839395e-17,13.706711492412042,0.00018178340681759486,4.339033295285838e-22
XLV230421C00120000,2023-04-07,10:00:00,2023-04-21,12.85,12.75,12.95,120.0,14,c,55,0.3167731713462173,0.9565901697155432,0.01151271648680563,-0.03487676858263988,3,0.11794460104898086,-0.10462499999999997,0.3029262826611754,7.450132379396945e-17,12.708939716267802,0.011125837881963417,6.927334451541831e-20
XLV230421C00121000,2023-04-07,10:00:00,2023-04-21,11.85,11.75,11.95,121.0,14,c,515,0.2933643816884441,0.9542813130682504,0.012910931630472078,-0.034286898686787026,5,0.11794460104898086,-0.09549586776859509,0.2817874460316265,2.342409136674165e-16,11.711736601965445,0.11683071605060226,2.039433078784478e-18
XLV230421C00122000,2023-04-07,10:00:00,2023-04-21,10.875,10.75,11.0,122.0,14,c,12,0.2814562972308835,0.9459143095581268,0.015441274499039537,-0.0367519824354563,3,0.1429446010489812,-0.08651639344262296,0.2698379235381969,7.61422079967507e-15,10.715820891714658,0.0032557917445133013,1.5447072654031296e-18
XLV230421C00123000,2023-04-07,10:00:00,2023-04-21,9.9,9.8,10.0,123.0,14,c,62,0.2696909897496077,0.9367281975429798,0.018410336632967983,-0.038886898169353756,8,0.16794460104898157,-0.07768292682926825,0.2563008973880347,1.8678082729855992e-13,9.722611930158427,0.020056061249334758,1.9577780763267238e-16
