option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLV230616P00147000,XLV230616C00147000,138.221903110502,0.085,14.55,147.0,132.555,70,0.11716699471503718,0.219465061731823
XLV230616P00150000,XLV230616C00150000,131.50194194949094,0.03,17.4,150.0,132.555,70,0.11745230637394728,0.23921491961734873
XLV230616P00146000,XLV230616C00146000,113.79522349750566,0.12,13.35,146.0,132.555,70,0.11749963928910914,0.1951770217369647
XLV230616P00145000,XLV230616C00145000,107.8685438845092,0.1699999999999999,12.35,145.0,132.555,70,0.11828396274186412,0.1846930489476669
XLV230616P00144000,XLV230616C00144000,96.94186427151283,0.245,11.325,144.0,132.555,70,0.12007348454579775,0.1723069689803491
XLV230616P00143000,XLV230616C00143000,83.01518465851655,0.35,10.3,143.0,132.555,70,0.12243983953746604,0.15977354972582644
XLV230616P00142000,XLV230616C00142000,73.08850504551998,0.49,9.35,142.0,132.555,70,0.12514671410509548,0.151955459303213
XLV230616P00141000,XLV230616C00141000,56.161825432520814,0.675,8.375,141.0,132.555,70,0.12842751471523658,0.14207329359541485
XLV230519P00141000,XLV230519C00141000,48.043025096917624,0.21,8.35,141.0,132.555,42,0.12134945795741836,0.15275932493614072
XLV230616P00140000,XLV230616C00140000,40.2351458195243,0.8999999999999999,7.449999999999999,140.0,132.555,70,0.13155164829927415,0.13468406062026644
XLV230519P00140000,XLV230519C00140000,33.98598236573535,0.32,7.325,140.0,132.555,42,0.12340294730577785,0.13690618071375674
XLV230428P00118000,XLV230428C00118000,32.08858218971944,15.25,0.045,118.0,132.555,21,0.3676732174276545,0.23290768085388266
XLV230428P00116000,XLV230428C00116000,30.646402830570807,17.25,0.065,116.0,132.555,21,0.40871111731849163,0.27642018177238364
XLV230616P00139000,XLV230616C00139000,26.308466206528003,1.18,6.6,139.0,132.555,70,0.13521391649463144,0.1306027131838343
XLV230616P00138000,XLV230616C00138000,23.38178659353165,1.525,5.925,138.0,132.555,70,0.13968171457582415,0.1339958976309449
XLV230519P00139000,XLV230519C00139000,22.428939634550105,0.48,6.375,139.0,132.555,42,0.12639264680208956,0.12772050015410444
XLV230616P00110000,XLV230616C00110000,17.565242570373485,23.950000000000003,0.2,110.0,132.555,70,0.32726683605044055,0.2472057145561727
XLV230428P00132000,XLV230428C00132000,12.18383770375182,2.45,1.405,132.0,132.555,21,0.1583426911654737,0.14026151416126212
XLV230421P00138000,XLV230421C00138000,12.171692237455733,0.065,5.375,138.0,132.555,14,0.11933713833670025,0.135541483445672
XLV230616P00137000,XLV230616C00137000,11.955106980535124,1.905,5.199999999999999,137.0,132.555,70,0.1434002162040982,0.13270675799251844
XLV230616P00116000,XLV230616C00116000,11.505164892393438,18.225,0.48,116.0,132.555,70,0.2773707289948888,0.23032462454629252
XLV230428P00137000,XLV230428C00137000,10.710713898377655,0.305,4.475,137.0,132.555,21,0.12278538027581296,0.12309501037134209
XLV230519P00129000,XLV230519C00129000,10.64148767728783,5.675,1.295,129.0,132.555,42,0.18285933826802292,0.16237772114986984
XLV230616P00117000,XLV230616C00117000,10.578485279396688,17.275,0.53,117.0,132.555,70,0.26859452220250457,0.22508465938457303
