symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
XLY230421C00115000,2023-04-07,10:00:00,2023-04-21,28.875,27.85,29.9,115.0,14,c,4,0.7603802999573365,0.9830135226737369,0.0026763632732240694,-0.03294970058479052,6,0.04251160663878295,-0.24878260869565239,0.5470307110197772,8.05578480153749e-26,28.784397253091573,0.0002207874671423186,9.684802677551909e-30
XLY230421C00129000,2023-04-07,10:00:00,2023-04-21,14.875,14.75,15.0,129.0,14,c,11,0.4218020505138228,0.9765619387635205,0.006882281926579026,-0.027948090790307134,8,0.04251160663878295,-0.1132558139534885,0.2808246015573191,1.8649117667148074e-22,14.977971643382325,0.0015613292961049342,6.165579520897078e-26
XLY230421C00130000,2023-04-07,10:00:00,2023-04-21,13.925,13.75,14.1,130.0,14,c,41,0.4084915403177776,0.9640182974103517,0.009590583029961408,-0.0350833092815197,1,0.09251160663878366,-0.10469230769230786,0.2889190671358562,1.728305086393525e-18,14.021437461145027,0.00810957754019237,2.1297429728093535e-21
XLY230421C00132000,2023-04-07,10:00:00,2023-04-21,11.975,11.85,12.1,132.0,14,c,23,0.370333822958239,0.9492448539683451,0.013594750001288958,-0.04051323685798636,7,0.1425116066387826,-0.08795454545454562,0.26974521896625286,2.268897190313417e-15,12.135963586640973,0.006448644353765341,1.5684315956770653e-18
XLY230421C00133000,2023-04-07,10:00:00,2023-04-21,11.05,10.9,11.2,133.0,14,c,10,0.3634050203562588,0.9311433229008514,0.01714877935654613,-0.04833458590799822,1,0.21751160663878366,-0.07977443609022572,0.272001772818964,9.902286147402686e-13,11.21014879465445,0.003536735461693535,2.976174567620878e-16
XLY230421C00134000,2023-04-07,10:00:00,2023-04-21,9.975,9.75,10.2,134.0,14,c,2,0.3210363715936744,0.9428906341658383,0.017495441806403278,-0.039073846275989865,1,0.1425116066387826,-0.07171641791044792,0.23026203135986953,2.876446542326159e-14,10.298095941841966,0.000721646108661164,1.7290566879119277e-18
XLY230421C00135000,2023-04-07,10:00:00,2023-04-21,9.2,9.05,9.35,135.0,14,c,19,0.3369457788674898,0.894129687523737,0.024555218551824964,-0.06025398196729448,5,0.36751160663878224,-0.06377777777777793,0.26245854236390515,3.514819534146179e-09,9.40208270890038,0.009622031387241223,2.007148760197032e-12
XLY230421C00136000,2023-04-07,10:00:00,2023-04-21,8.4,8.3,8.5,136.0,14,c,18,0.3393412798580776,0.8564310923237173,0.029197059809860093,-0.0739779837789385,9,0.5675116066387833,-0.055955882352941355,0.27337637725246733,7.026290783414474e-07,8.524851572121369,0.010838794667979827,3.8012072890486774e-10
XLY230421C00137000,2023-04-07,10:00:00,2023-04-21,7.425,7.3,7.55,137.0,14,c,27,0.314561672107599,0.8418200095043016,0.03375077379352831,-0.07306496837772691,2,0.5925116066387828,-0.04824817518248192,0.2522979096070836,3.78346704892299e-06,7.669731545381294,0.01879389788299582,3.0702705668379667e-09
XLY230421C00137500,2023-04-07,10:00:00,2023-04-21,7.050000000000001,6.95,7.15,137.5,14,c,200,0.3196906174239506,0.8193588579808342,0.03609574145357897,-0.07960759083664914,1,0.7175116066387837,-0.04443636363636383,0.25695358659051704,3.0433881604106464e-05,7.25168981519504,0.14888650225272454,1.829406726402958e-07
XLY230421C00138000,2023-04-07,10:00:00,2023-04-21,6.6,6.5,6.7,138.0,14,c,40,0.3093211789435854,0.8058294104984487,0.03876159646587496,-0.08080639366386855,1,0.7675116066387826,-0.040652173913043654,0.2502325172147757,9.329522771851179e-05,6.840739211151707,0.031976506297606344,1.1216112315197538e-07
XLY230421C00138500,2023-04-07,10:00:00,2023-04-21,6.25,6.15,6.35,138.5,14,c,18,0.3095958425181554,0.7809613091643186,0.040850551670246205,-0.08719108473676673,1,0.917511606638783,-0.036895306859205945,0.25504972814371496,0.0005173402050215508,6.437495931350863,0.015164908539111585,2.798798710249526e-07
XLY230421C00139000,2023-04-07,10:00:00,2023-04-21,5.85,5.75,5.95,139.0,14,c,63,0.304001773685026,0.7613698317045614,0.043316771103363294,-0.08997861564644971,1,1.0175116066387826,-0.03316546762589945,0.25240445856817434,0.0016527824443721873,6.042618742215855,0.05628154230404348,3.129530365233713e-06
XLY230421C00139500,2023-04-07,10:00:00,2023-04-21,5.425,5.35,5.5,139.5,14,c,17,0.2955155352003034,0.7434339150728775,0.04620097726615313,-0.09089728174067346,2,1.0925116066387828,-0.02946236559139792,0.24600881043409095,0.004227911438246889,5.656803906054571,0.01619830036588201,2.160218754124695e-06
XLY230421C00140000,2023-04-07,10:00:00,2023-04-21,5.075,5.0,5.15,140.0,14,c,751,0.2958330210868744,0.718600286213622,0.04825499496874386,-0.09473398013890577,27,1.2425116066387831,-0.0257857142857143,0.2467444446910868,0.012302507764184088,5.280777735432979,0.7473973885805105,0.00027768761724008997
XLY230421C00140500,2023-04-07,10:00:00,2023-04-21,4.699999999999999,4.6,4.8,140.5,14,c,81,0.2932412449933264,0.6954409953436436,0.05070433164000576,-0.09656770951176963,81,1.3675116066387822,-0.022135231316726012,0.2436222139028502,0.02829229109145826,4.915286743760829,0.08470312742138193,6.88772922956288e-05
XLY230421C00141000,2023-04-07,10:00:00,2023-04-21,4.300000000000001,4.2,4.4,141.0,14,c,178,0.2843350564767827,0.6730595663782868,0.05372723525631784,-0.09657714726973499,2,1.4675116066387837,-0.01851063829787236,0.2369800322886127,0.05543090917053825,4.561085502192777,0.19723494328398294,0.000296547954912997
XLY230421C00141500,2023-04-07,10:00:00,2023-04-21,3.975,3.9,4.05,141.5,14,c,93,0.2803299252370753,0.6455242303480269,0.05551470120046531,-0.0988266620956364,1,1.642511606638783,-0.01491166077738515,0.2365513569428897,0.10196119702332396,4.218922463198015,0.10647810652752607,0.00028499733774757784
XLY230421C00142000,2023-04-07,10:00:00,2023-04-21,3.675,3.6,3.75,142.0,14,c,295,0.2788717127445313,0.6167915857681949,0.05681297560844456,-0.10102033313342451,7,1.8425116066387828,-0.01133802816901408,0.23713758679255323,0.15532914761105734,3.889524159835391,0.34565187466473707,0.0013772028226148203
XLY230421C00142500,2023-04-07,10:00:00,2023-04-21,3.375,3.3,3.45,142.5,14,c,147,0.2774235531005053,0.5880368587485085,0.05811246466702613,-0.10215542576006342,1,2.042511606638783,-0.007789473684210568,0.2363801758486635,0.19033646620219102,3.573578324881474,0.17617975198885968,0.000840934685290882
XLY230421C00143000,2023-04-07,10:00:00,2023-04-21,3.05,3.0,3.1,143.0,14,c,268,0.2734830119456609,0.5593283403343641,0.060000409938254506,-0.10133836954408215,5,2.2175116066387828,-0.0042657342657344,0.23208919254690577,0.18122458969548816,3.27171658373057,0.3316334859733924,0.001459737780103945
XLY230421C00143500,2023-04-07,10:00:00,2023-04-21,2.78,2.71,2.85,143.5,14,c,200,0.2734733419279271,0.5291409849683237,0.06068408697323946,-0.10143619451010233,6,2.4475116066387828,-0.0007665505226481795,0.23143411582524406,0.10373064150495617,2.9844974490848424,0.25030768417557764,0.0006235337830770017
XLY230421C00144000,2023-04-07,10:00:00,2023-04-21,2.505,2.45,2.56,144.0,14,c,753,0.2673753032194085,0.4985689073848665,0.06149507185249092,-0.10024494434432274,10,2.672511606638783,0.0027083333333332016,0.22899903683299333,-0.021070742327987876,2.7123903760758323,0.9550028197579964,-0.00047686751824260076
