option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLY230616P00170000,XLY230616C00170000,153.0355342094257,0.255,26.6,170.0,143.61,70,0.2125316344076674,0.33200035882711243
XLY230519P00170000,XLY230519C00170000,102.19726430125,0.135,26.6,170.0,143.61,42,0.24879140480785095,0.38313433923435647
XLY230616P00160000,XLY230616C00160000,86.26873807945881,1.155,16.925,160.0,143.61,70,0.22094680847233963,0.25876560647807456
XLY230428P00149500,XLY230428C00149500,76.19709290370488,1.215,7.45,149.5,143.61,21,0.23160333349967188,0.29074552871344295
XLY230505P00156000,XLY230505C00156000,68.98636237951052,0.5,13.0,156.0,143.61,28,0.2309431000418978,0.2962620326533302
XLY230519P00160000,XLY230519C00160000,65.62683698941214,0.47,16.625,160.0,143.61,42,0.22391807610176262,0.27678360719219686
XLY230616P00158000,XLY230616C00158000,63.91537885346601,1.485,15.05,158.0,143.61,70,0.22219834579743797,0.24482415196400306
XLY230616P00157000,XLY230616C00157000,59.48869924046942,1.695,14.225,157.0,143.61,70,0.22385251195619785,0.2431186049094522
XLY230616P00155000,XLY230616C00155000,57.63534001447663,2.17,12.7,155.0,143.61,70,0.22678145198742733,0.24354642993639308
XLY230519P00159000,XLY230519C00159000,54.0697942582268,0.5549999999999999,15.6,159.0,143.61,42,0.22357482382354196,0.26285660165625274
XLY230616P00156000,XLY230616C00156000,54.06201962747321,1.94,13.425,156.0,143.61,70,0.2262353912182906,0.24194206998534284
XLY230519P00157000,XLY230519C00157000,51.95570879585922,0.79,13.825,157.0,143.61,42,0.22503193656708223,0.2570227001319772
XLY230519P00156000,XLY230519C00156000,49.89866606467679,0.93,12.95,156.0,143.61,42,0.22537913031283502,0.2536619889632973
XLY230616P00153000,XLY230616C00153000,47.78198078848099,2.75,11.2,153.0,143.61,70,0.23047423743168333,0.24172136668975375
XLY230616P00154000,XLY230616C00154000,46.20866040147753,2.45,11.875,154.0,143.61,70,0.22870674465868274,0.23962950516367745
