option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XOM230616P00135000,XOM230616C00135000,132.60174775454132,0.53,19.975,135.0,115.63,70,0.2501207842623291,0.31196014064202565
XOM230616P00130000,XOM230616C00130000,118.46834968955929,1.1,15.45,130.0,115.63,70,0.2540411804912526,0.2902742410025402
XOM230616P00125000,XOM230616C00125000,109.83495162457598,2.115,11.425,125.0,115.63,70,0.2596648635745868,0.28324490716547
XOM230519P00130000,XOM230519C00130000,103.41555505389621,0.395,15.075,130.0,115.63,42,0.24508673722769644,0.3212568613914387
XOM230616P00120000,XOM230616C00120000,101.70155355959255,3.75,8.025,120.0,115.63,70,0.2676323807915005,0.28410604550810703
XOM230519P00125000,XOM230519C00125000,95.13034139797583,1.05,10.675,125.0,115.63,42,0.25035100573047286,0.29622594639931443
XOM230526P00121000,XOM230526C00121000,94.0993059771836,2.35,7.875,121.0,115.63,49,0.2559446771796915,0.28491823439729547
XOM230519P00120000,XOM230519C00120000,83.84512774205675,2.41,6.949999999999999,120.0,115.63,42,0.25965151011764576,0.28809047733672494
XOM230526P00116000,XOM230526C00116000,83.35140077151486,4.5,4.949999999999999,116.0,115.63,49,0.2684913312990654,0.2890976282895151
XOM230512P00130000,XOM230512C00130000,76.87436963357221,0.315,14.85,130.0,115.63,35,0.2546718046981663,0.31902089345574614
XOM230512P00125000,XOM230512C00125000,68.05227849382067,0.93,10.4,125.0,115.63,35,0.262706783791791,0.29569267357913936
XOM230512P00124000,XOM230512C00124000,66.58786026587009,1.065,9.525,124.0,115.63,35,0.2586515170569058,0.2883573908639036
XOM230512P00127000,XOM230512C00127000,66.48111494972184,0.605,12.05,127.0,115.63,35,0.25755294846976634,0.295207379000786
XOM230512P00122000,XOM230512C00122000,51.15902380996884,1.585,7.9,122.0,115.63,35,0.26607827919237004,0.27962128017645776
