datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-02-21 09:45:00,XOM,NYSE,110.75,110.61,110.89,0.2911032165058371,0.4357332592726204,0.3502856177470608,0.2396207543934206,0.2935897932277865,0.2240702464991097,110.53838344816263,0.2666249418693935,0.3616081461595303,12.409208305023196,-0.740721072413808,109.56829626974742,0.3166125516383504,0.3019831629356908,17.181818181818183,-0.0156406079400801,0.0495504759851498,0.03190151,0.0467999999999999,1175665,16307970,114.19,112.38,110.81,0.578703251800877,0.4061407563665663
2023-02-21 14:00:00,XOM,NYSE,111.55,111.55,111.55,0.2994217814233637,0.4324691348118764,0.2962120615176765,0.2697841281380543,0.2916084516431105,0.2248439851602707,109.76534022661276,0.2567511289130259,0.3316411167887139,26.41439369945182,-0.506162656949014,107.92005787872708,0.2611558269485091,0.3314027090916798,15.272727273153183,-0.0258522210988414,0.0400856300198709,0.03190151,0.04693,7682476,16307970,110.81,112.38,110.81,0.5824299274800127,0.3767029484393349
2023-02-21 16:51:00,XOM,NYSE,111.17,111.17,111.17,0.2994217814233637,0.4324691348118764,0.2974111046147021,0.2777708858709456,0.293627609041055,0.2248439851602707,109.0903631034038,0.2580810470981852,0.3354820944376321,22.591581117439056,-0.5009732696486343,107.438437463637,0.2611558269485091,0.3314027090916798,15.27272727322798,-0.0258522210988183,0.0408394931227701,0.03190151,0.04688,11847224,16307970,110.81,112.38,110.81,0.5824299274800127,0.3767029484393349
2023-02-22 10:59:00,XOM,NYSE,108.98,108.97,108.99,0.2944659856229423,0.4307058103613159,0.311858545209607,0.2721832059108371,0.2954617118107129,0.2248401529975437,108.08963796292338,0.2594528317877754,0.3423197529428513,-0.135787563518491,-0.4132653989870061,108.47264559433688,0.2615626153865867,0.3209495830651961,15.272727272777043,-0.02585504726295,0.0431664215265893,0.031933077,0.047,4340553,16368630,110.48,110.97,108.64,0.5751588458829794,0.374715598950985
2023-02-22 14:16:00,XOM,NYSE,110.575,110.41,110.74,0.2944659856229423,0.4307058103613159,0.2699834370800839,0.294675714178011,0.292412317001969,0.2248401529975437,106.71324674209475,0.2540456666064459,0.3333581561029785,27.3407005372742,-0.4024839504243315,103.56041070464036,0.2615626153865867,0.3209495830651961,15.272727272727272,-0.02585504726295,0.0392585031910647,0.031933077,0.0469,8183606,16368630,110.48,110.97,108.64,0.5751588458829794,0.374715598950985
2023-02-22 15:45:00,XOM,NYSE,109.16,109.17,109.15,0.2944659856229423,0.4307058103613159,0.3044367839194907,0.2768982863666352,0.2947162682793273,0.2248401530065426,106.89087344767852,0.2565575524130573,0.3410590412271209,1.6946521337816445,-0.416722678380536,108.55373906376056,0.2615626153865867,0.3209495830651961,15.272727272727272,-0.025855047262548,0.041727319608241,0.031933077,0.04695,10618515,16368630,110.48,110.97,108.64,0.5751588458829794,0.374715598950985
2023-02-23 10:00:00,XOM,NYSE,110.615,110.63,110.6,0.293755058670886,0.4286347254611714,0.3302396000125509,0.2397242454145862,0.2853295370853578,0.2245696432713989,108.56930820705928,0.2606657776723859,0.3531071325596748,8.881337948093417,-0.534914595885334,107.12379593934186,0.291530947623224,0.3212682467342,15.27272729345176,-0.025905330748031,0.0451841137763434,0.032352135,0.0469,1449671,16164870,110.73,111.68,110.35,0.5756001764302986,0.3969650936620246
2023-02-24 10:00:00,XOM,NYSE,109.6,109.56,109.64,0.2930438642504563,0.4269289663549644,0.297153372743184,0.2837337188080264,0.2942169621653172,0.2167484259101215,108.05164077338544,0.2543547492247316,0.3483442895302447,-0.8422060491709633,-0.415998634047124,107.95118388232645,0.2878358793364772,0.3202096806485683,15.27272727277346,-0.0250265136076032,0.045853253198865,0.03205707,0.0471,1244470,15448070,109.33,109.81,109.02,0.5749190840128042,0.4019102767185341
2023-02-24 14:05:00,XOM,NYSE,110.22,110.2,110.24,0.2930438642504563,0.4269289663549644,0.2854500293795342,0.2734616120601543,0.2852545069048591,0.2167484259101215,107.2535952514258,0.2482654689385984,0.3234750408045774,-0.3874135723198937,-0.4125211882886667,108.15920985577948,0.2878358793364772,0.3202096806485683,15.272727277764035,-0.025026513605997,0.039496950591267,0.03205707,0.04698,7318092,15448070,109.33,110.69,109.02,0.5749190840128042,0.4019102767185341
2023-02-24 15:45:00,XOM,NYSE,110.83,110.82,110.84,0.2930438642504563,0.4269289663549644,0.2631060364890933,0.2842019865180888,0.2846256053571476,0.2167484259101215,107.3089903179492,0.2469668863520278,0.3204130918651593,10.16836399282102,-0.3785767416101961,108.14520840435053,0.2878358793364772,0.3202096806485683,15.2727272727273,-0.0245335770708366,0.0388136900595512,0.03205707,0.04703,9585216,15448070,109.33,110.96,109.02,0.5749190840128042,0.4019102767185341
